"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASN0025","2009-02","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","15","4,N","14","4,N","2","4,N","","","","","20090216",",4,N","","","37.6","4,,N,16,","218.0",",a,,N","",""
"US1CASN0025","2009-03","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","9",",N","6",",N","0",",N","","","","","20090302",",,N","","","19.6",",,N,02,","65.3",",,,N","",""
"US1CASN0025","2009-04","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","2","2,N","1","2,N","0","2,N","0","4,N","20090430","+,4,N","20090408",",2,N","0","4,,N,30,+","7.4","2,,N,08,","12.7",",a,,N","0","4,,,N"
"US1CASN0025","2009-05","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","6","1,N","3","1,N","0","1,N","","","","","20090505",",1,N","","","22.4","1,,N,05,","63.9","1,,,N","",""
"US1CASN0025","2009-06","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","2","3,N","0","3,N","0","3,N","","","","","20090604","+,3,N","","","0.8","3,,N,04,+","1.6","3,,,N","",""
"US1CASN0025","2009-07","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","1",",N","0",",N","0",",N","0","4,N","20090731","+,4,N","20090705",",,N","0","4,,N,31,+","0.3",",,N,05,","0.3",",,,N","0","4,,,N"
"US1CASN0025","2009-08","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","0","2,N","0","2,N","0","2,N","0","4,N","20090831","+,4,N","20090827","+,2,N","0","4,,N,31,+","0.0","2,T,N,27,+","0.0","2,T,,N","0","4,,,N"
"US1CASN0025","2009-09","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","1",",N","1",",N","0",",N","0","1,N","20090930","+,1,N","20090914",",,N","0","1,,N,30,+","3.6",",,N,14,","3.6",",,,N","0","1,,,N"
"US1CASN0025","2009-11","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","7","1,N","4","1,N","0","1,N","","","","","20091121",",1,N","","","12.2","1,,N,21,","28.6","1,,,N","",""
"US1CASN0025","2009-12","38.378076","-122.725308","28.7","SANTA ROSA 4.7 S, CA US","12","4,N","6","4,N","0","4,N","","","","","20091213",",4,N","","","23.6","4,,N,13,","93.5",",a,,N","",""
