"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CAVT0028","2019-12","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","9","1,N","7","1,N","2","1,N","","","","","20191226",",1,N","","","41.7","1,,N,26,","119.8","1,,,N","",""
"US1CAVT0028","2020-01","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","2",",N","1",",N","0",",N","","","","","20200117",",,N","","","10.7",",,N,17,","12.0",",,,N","",""
"US1CAVT0028","2020-02","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","1",",N","0",",N","0",",N","","","","","20200223",",,N","","","0.8",",,N,23,","0.8",",,,N","",""
"US1CAVT0028","2020-03","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","13",",N","7",",N","1",",N","","","","","20200313",",,N","","","40.4",",,N,13,","109.0",",,,N","",""
"US1CAVT0028","2021-01","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","5",",N","3",",N","1",",N","","","","","20210129",",,N","","","28.2",",,N,29,","37.3",",,,N","",""
"US1CAVT0028","2021-02","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","3",",N","0",",N","0",",N","0","3,N","20210228","+,3,N","20210212",",,N","0","3,,N,28,+","0.5",",,N,12,","1.1",",,,N","0","3,,,N"
"US1CAVT0028","2022-12","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","12",",N","6",",N","1",",N","","","","","20221211",",,N","","","34.5",",,N,11,","80.1",",,,N","",""
"US1CAVT0028","2023-01","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","13","1,N","10","1,N","3","1,N","","","","","20230110",",1,N","","","60.5","1,,N,10,","227.7","1,,,N","",""
"US1CAVT0028","2023-02","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","7",",N","4",",N","1",",N","","","","","20230225",",,N","","","63.0",",,N,25,","99.0",",,,N","",""
"US1CAVT0028","2023-03","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","17",",N","11",",N","3",",N","","","","","20230315",",,N","","","62.2",",,N,15,","233.4",",,,N","",""
"US1CAVT0028","2023-04","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","3",",N","0",",N","0",",N","0","3,N","20230430","+,3,N","20230413",",,N","0","3,,N,30,+","0.8",",,N,13,","1.6",",,,N","0","3,,,N"
"US1CAVT0028","2024-01","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","7",",N","4",",N","0",",N","","","","","20240122",",,N","","","13.7",",,N,22,","36.9",",,,N","",""
"US1CAVT0028","2024-02","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","12",",N","9",",N","3",",N","","","","","20240205",",,N","","","94.5",",,N,05,","257.7",",,,N","",""
"US1CAVT0028","2024-03","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","8",",N","7",",N","1",",N","","","","","20240330",",,N","","","27.9",",,N,30,","83.6",",,,N","",""
"US1CAVT0028","2024-04","34.222724","-118.863737","276.1","THOUSAND OAKS 2.1 N, CA US","5",",N","4",",N","0",",N","0","5,N","20240430","+,5,N","20240414",",,N","0","5,,N,30,+","15.0",",,N,14,","27.4",",,,N","0","5,,,N"
