"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COAD0261","2022-08","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","7","2,N","3","2,N","1","2,N","","","","","20220808",",2,N","","","43.4","2,,N,08,","61.7","2,,,N","",""
"US1COAD0261","2022-09","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","5",",N","2",",N","0",",N","","","","","20220910",",,N","","","10.2",",,N,10,","17.4",",,,N","",""
"US1COAD0261","2022-10","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","6",",N","3",",N","0",",N","0","5,N","20221028",",5,N","20221028",",,N","0","5,T,N,28,","5.1",",,N,28,","14.5",",,,N","0","5,T,,N"
"US1COAD0261","2022-11","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","4","2,N","4","2,N","0","2,N","4","2,N","20221118",",2,N","20221118",",2,N","114","2,,N,18,","7.1","2,,N,18,","19.3","2,,,N","267","2,,,N"
"US1COAD0261","2022-12","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","2","3,N","2","3,N","1","3,N","2","3,N","20221229",",3,N","20221229",",3,N","191","3,,N,29,","34.5","3,,N,29,","45.4","3,,,N","299","3,,,N"
"US1COAD0261","2023-01","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","4","5,N","1","5,N","0","5,N","3","5,N","20230118",",5,N","20230119",",5,N","89","5,,N,18,","9.9","5,,N,19,","15.3","3,a,,N","178","5,,,N"
"US1COAD0261","2023-02","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","","","","","","","","","","","","","","","","","9.2","4,a,,N","",""
"US1COAD0261","2023-06","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","12","4,N","9","4,N","0","4,N","","","","","20230630",",4,N","","","24.6","4,,N,30,","106.8","2,a,,N","",""
"US1COAD0261","2023-07","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","13","3,N","4","3,N","0","3,N","","","","","20230705",",3,N","","","18.5","3,,N,05,","48.2",",a,,N","",""
"US1COAD0261","2023-08","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","10",",N","3",",N","0",",N","","","","","20230826",",,N","","","8.4",",,N,26,","25.5",",,,N","",""
"US1COAD0261","2023-09","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","4",",N","2",",N","0",",N","","","","","20230915",",,N","","","16.3",",,N,15,","28.0",",,,N","",""
"US1COAD0261","2023-10","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","3",",N","2",",N","0",",N","1","4,N","20231029",",4,N","20231029",",,N","137","4,,N,29,","8.1",",,N,29,","13.0",",,,N","137","4,,,N"
"US1COAD0261","2023-11","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","0","3,N","0","3,N","0","3,N","0","4,N","20231130","+,4,N","20231109",",3,N","0","4,,N,30,+","0.0","3,T,N,09,","3.0",",a,,N","0","4,,,N"
"US1COAD0261","2023-12","39.8268","-105.0177","1614.8","WESTMINSTER 4.2 SSE, CO US","5","2,N","2","2,N","0","2,N","4","3,N","20231209",",3,N","20231209",",2,N","64","3,,N,09,","5.6","2,,N,09,","11.5","2,,,N","185","3,,,N"
