"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COAR0406","2022-05","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","6","1,N","3","1,N","0","1,N","","","","","20220521",",1,N","","","21.6","1,,N,21,","31.7","1,,,N","",""
"US1COAR0406","2022-06","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","4",",N","2",",N","0",",N","0","4,N","20220630","+,4,N","20220601",",,N","0","4,,N,30,+","19.8",",,N,01,","25.1",",,,N","0","4,,,N"
"US1COAR0406","2022-07","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","7",",N","6",",N","0",",N","","","","","20220707",",,N","","","9.7",",,N,07,","39.4",",,,N","",""
"US1COAR0406","2022-08","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","8","1,N","5","1,N","0","1,N","","","","","20220816",",1,N","","","20.8","1,,N,16,","41.1","1,,,N","",""
"US1COAR0406","2022-09","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","5","1,N","3","1,N","0","1,N","0","5,N","20220930","+,5,N","20220916",",1,N","0","5,,N,30,+","15.7","1,,N,16,","27.9","1,,,N","0","5,,,N"
"US1COAR0406","2022-10","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","4",",N","2",",N","0",",N","0","4,N","20221031","+,4,N","20221002",",,N","0","4,,N,31,+","8.6",",,N,02,","12.9",",,,N","0","4,,,N"
"US1COAR0406","2022-11","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","2",",N","1",",N","0",",N","1","1,N","20221118",",1,N","20221118",",,N","43","1,,N,18,","4.6",",,N,18,","5.6",",,,N","53","1,,,N"
"US1COAR0406","2022-12","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","3","2,N","1","2,N","0","2,N","2","2,N","20221229",",2,N","20221229",",2,N","89","2,,N,29,","21.6","2,,N,29,","25.2","2,,,N","145","2,,,N"
"US1COAR0406","2023-01","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","5",",N","3",",N","0",",N","4",",N","20230119",",,N","20230119",",,N","132",",,N,19,","11.4",",,N,19,","27.7",",,,N","328",",,,N"
"US1COAR0406","2023-02","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","4",",N","2",",N","0",",N","2",",N","20230216",",,N","20230216",",,N","102",",,N,16,","4.6",",,N,16,","9.4",",,,N","155",",,,N"
"US1COAR0406","2023-03","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","1",",N","1",",N","0",",N","1",",N","20230304",",,N","20230304",",,N","43",",,N,04,","5.6",",,N,04,","5.6",",,,N","43",",,,N"
"US1COAR0406","2023-04","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","5",",N","4",",N","0",",N","0","4,N","20230422",",4,N","20230426",",,N","15","4,,N,22,","19.3",",,N,26,","37.6",",,,N","15","4,,,N"
"US1COAR0406","2023-05","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","12",",N","9",",N","2",",N","","","","","20230512",",,N","","","90.7",",,N,12,","178.0",",,,N","",""
"US1COAR0406","2023-06","39.5758117","-104.3576083","1747.1","STRASBURG 11.4 SSW, CO US","","","","","","","","","","","","","","","","","134.4","1,a,,N","",""
