"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COBO0322","2012-07","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","17",",N","13",",N","3",",N","","","","","","","","","20120707",",,N","","","","","46.2",",,N,07,","222.5",",,,N","",""
"US1COBO0322","2012-08","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","10",",N","4",",N","0",",N","","","","","","","","","20120830",",,N","","","","","3.6",",,N,30,","18.8",",,,N","",""
"US1COBO0322","2012-09","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","7",",N","5",",N","0",",N","","","","","","","","","20120926",",,N","","","","","12.4",",,N,26,","43.1",",,,N","",""
"US1COBO0322","2012-10","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","6","2,N","3","2,N","0","2,N","","","","","","","","","20121025",",2,N","","","","","10.2","2,,N,25,","21.9",",a,,N","",""
"US1COBO0322","2012-11","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","1","4,N","0","4,N","0","4,N","","","0","4,N","","","20121111",",4,N","20121111",",4,N","","","3","4,,N,11,","1.3","4,,N,11,","1.3","4,,,N","3","4,,,N"
"US1COBO0322","2012-12","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","10",",N","5",",N","0",",N","16",",N","4","2,N","20121219",",,N","20121218",",2,N","20121218",",,N","267",",,N,19,","168","2,,N,18,","8.9",",,N,18,","35.2",",,,N","423","2,,,N"
"US1COBO0322","2013-01","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","6","1,N","0","1,N","0","1,N","10","1,N","1","3,N","20130102","+,1,N","20130129",",3,N","20130129",",1,N","64","1,,N,02,+","25","3,,N,29,","1.3","1,,N,29,","4.1","1,,,N","44","3,,,N"
"US1COBO0322","2013-02","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","12","2,N","5","2,N","0","2,N","","","6","2,N","","","20130225",",2,N","20130225",",2,N","","","229","2,,N,25,","9.4","2,,N,25,","36.4","2,,,N","679","2,,,N"
"US1COBO0322","2013-04","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","19",",N","8",",N","0",",N","15","4,N","10","3,N","20130418",",4,N","20130416",",3,N","20130416",",,N","406","4,,N,18,","292","3,,N,16,","20.1",",,N,16,","88.1",",,,N","1113","3,,,N"
"US1COBO0322","2013-05","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","13",",N","7",",N","1",",N","","","","","","","","","20130509",",,N","","","","","33.0",",,N,09,","84.8",",,,N","",""
"US1COBO0322","2013-06","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","5",",N","3",",N","0",",N","","","","","","","","","20130629",",,N","","","","","6.1",",,N,29,","15.1",",,,N","",""
"US1COBO0322","2013-07","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","18","2,N","9","2,N","1","2,N","","","","","","","","","20130713",",2,N","","","","","35.8","2,,N,13,","118.6",",a,,N","",""
"US1COBO0322","2013-08","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","17",",N","9",",N","0",",N","","","","","","","","","20130813",",,N","","","","","23.4",",,N,13,","93.1",",,,N","",""
"US1COBO0322","2013-09","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","14","3,N","9","3,N","4","3,N","","","","","","","","","20130912",",3,N","","","","","63.8","3,,N,12,","214.4",",a,,N","",""
"US1COBO0322","2013-10","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","8","2,N","2","2,N","0","2,N","","","2","4,N","","","20131018",",4,N","20131004",",2,N","","","155","4,,N,18,","11.9","2,,N,04,","28.3",",a,,N","206","4,,,N"
"US1COBO0322","2013-11","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","7",",N","2",",N","0",",N","7","1,N","2","2,N","20131117",",1,N","20131117",",2,N","20131117",",,N","102","1,,N,17,","102","2,,N,17,","8.4",",,N,17,","17.5",",,,N","210","2,,,N"
"US1COBO0322","2013-12","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","8","2,N","1","2,N","0","2,N","","","2","2,N","","","20131204",",2,N","20131204",",2,N","","","127","2,,N,04,","4.8","2,,N,04,","17.0",",a,,N","194","2,,,N"
"US1COBO0322","2014-01","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","16",",N","10",",N","0",",N","21",",N","12","1,N","20140131",",,N","20140128",",1,N","20140130",",,N","338",",,N,31,","168","1,,N,28,","10.7",",,N,30,","67.4",",,,N","981","1,,,N"
"US1COBO0322","2014-03","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","13","3,N","6","3,N","0","3,N","","","5","3,N","","","20140308",",3,N","20140308",",3,N","","","188","3,,N,08,","14.7","3,,N,08,","51.9",",a,,N","617","3,,,N"
"US1COBO0322","2014-04","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","10","1,N","4","1,N","0","1,N","9","1,N","6","1,N","20140403",",1,N","20140403",",1,N","20140403",",1,N","267","1,,N,03,","267","1,,N,03,","20.1","1,,N,03,","61.1","1,,,N","555","1,,,N"
"US1COBO0322","2014-05","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","","","","","","","","","","","","","","","","","","","","","","","114.0","5,a,,N","",""
"US1COBO0322","2014-06","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","9","5,N","0","5,N","0","5,N","","","","","","","","","20140609",",5,N","","","","","2.3","5,,N,09,","9.8","1,a,,N","",""
"US1COBO0322","2014-07","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","","","","","","","","","","","","","","","","","","","","","","","74.3","4,a,,N","",""
"US1COBO0322","2014-08","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","17",",N","6",",N","0",",N","","","","","","","","","20140811",",,N","","","","","13.7",",,N,11,","54.4",",,,N","",""
"US1COBO0322","2014-09","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","11","4,N","5","4,N","0","4,N","","","","","","","","","20140905",",4,N","","","","","11.7","4,,N,05,","39.1",",a,,N","",""
"US1COBO0322","2014-11","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","","","","","","","","","","","","","","","","","","","","","","","27.7",",a,,N","",""
"US1COBO0322","2014-12","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","","","","","","","","","","","","","","","","","","","","","","","30.7",",a,,N","",""
"US1COBO0322","2015-01","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","8",",N","1",",N","0",",N","11",",N","4",",N","20150101",",,N","20150122","+,,N","20150122",",,N","191",",,N,01,","56",",,N,22,+","2.5",",,N,22,","12.8",",,,N","236",",,,N"
"US1COBO0322","2015-02","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","12",",N","9",",N","0",",N","16",",N","9",",N","20150217","+,,N","20150216",",,N","20150216",",,N","279",",,N,17,+","279",",,N,16,","18.0",",,N,16,","71.1",",,,N","1065",",,,N"
"US1COBO0322","2015-03","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","12",",N","6",",N","0",",N","12",",N","4",",N","20150301",",,N","20150313",",,N","20150313",",,N","241",",,N,01,","64",",,N,13,","5.1",",,N,13,","27.4",",,,N","252",",,,N"
"US1COBO0322","2015-04","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","11","5,N","6","5,N","1","5,N","","","4","5,N","","","20150417",",5,N","20150417",",5,N","","","508","5,,N,17,","52.6","5,,N,17,","93.3",",a,,N","761","5,,,N"
"US1COBO0322","2015-05","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","21","2,N","15","2,N","1","2,N","2","3,N","2","2,N","20150510",",3,N","20150510",",2,N","20150509",",2,N","64","3,,N,10,","64","2,,N,10,","25.4","2,,N,09,","144.7","2,,,N","128","2,,,N"
"US1COBO0322","2015-06","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","13","4,N","5","4,N","0","4,N","","","","","","","","","20150625",",4,N","","","","","11.2","4,,N,25,","37.6","4,,,N","",""
"US1COBO0322","2015-07","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","15",",N","9",",N","0",",N","","","","","","","","","20150708",",,N","","","","","16.5",",,N,08,","79.2",",,,N","",""
"US1COBO0322","2015-09","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","6",",N","2",",N","0",",N","","","","","","","","","20150904",",,N","","","","","5.8",",,N,04,","14.1",",,,N","",""
"US1COBO0322","2015-10","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","10","5,N","5","5,N","0","5,N","","","","","","","","","20151023",",5,N","","","","","16.0","5,,N,23,","53.6","1,a,,N","",""
"US1COBO0322","2015-11","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","","","","","","","","","","","","","","","","","","","","","","","37.4","1,a,,N","",""
"US1COBO0322","2015-12","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","13",",N","3",",N","0",",N","20",",N","6",",N","20151216",",,N","20151215",",,N","20151215",",,N","183",",,N,16,","135",",,N,15,","7.6",",,N,15,","27.2",",,,N","423",",,,N"
"US1COBO0322","2016-01","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","7",",N","3",",N","0",",N","","","2","2,N","","","20160131","+,2,N","20160108",",,N","","","46","2,,N,31,+","4.1",",,N,08,","12.8",",,,N","130","2,,,N"
"US1COBO0322","2016-03","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","16",",N","11",",N","0",",N","16",",N","12",",N","20160319",",,N","20160318",",,N","20160323",",,N","335",",,N,19,","241",",,N,18,","14.0",",,N,23,","72.1",",,,N","1032",",,,N"
"US1COBO0322","2016-04","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","15",",N","8",",N","1",",N","11",",N","8","1,N","20160417",",,N","20160417",",1,N","20160417",",,N","762",",,N,17,","693","1,,N,17,","35.8",",,N,17,","95.4",",,,N","1331","1,,,N"
"US1COBO0322","2016-05","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","14",",N","9",",N","0",",N","3",",N","2",",N","20160501",",,N","20160501",",,N","20160516","+,,N","178",",,N,01,","51",",,N,01,","8.1",",,N,16,+","53.7",",,,N","94",",,,N"
"US1COBO0322","2016-06","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","10",",N","2",",N","0",",N","","","","","","","","","20160614",",,N","","","","","6.4",",,N,14,","17.6",",,,N","",""
"US1COBO0322","2016-07","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","8","1,N","5","1,N","0","1,N","","","","","","","","","20160719",",1,N","","","","","10.9","1,,N,19,","32.8","1,,,N","",""
"US1COBO0322","2016-09","39.96605","-105.51248","2450.6","NEDERLAND 0.4 WNW, CO US","7","4,N","4","4,N","0","4,N","","","","","","","","","201609","4,,N","","","","","3.3","4,,N,  ,","15.5",",a,,N","",""
