"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COBO0547","2021-06","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","10","1,N","5","1,N","1","1,N","","","","","20210626",",1,N","","","35.3","1,,N,26,","60.9","1,,,N","",""
"US1COBO0547","2021-07","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","7","5,N","4","5,N","0","5,N","","","","","20210702",",5,N","","","7.4","5,,N,02,","19.6","5,,,N","",""
"US1COBO0547","2022-04","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","1","1,N","0","1,N","0","1,N","0","2,N","20220430","+,2,N","20220410",",1,N","0","2,,N,30,+","2.3","1,,N,10,","2.3","1,,,N","0","2,,,N"
"US1COBO0547","2022-07","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","14","1,N","2","1,N","0","1,N","","","","","20220728",",1,N","","","9.9","1,,N,28,","26.7","1,,,N","",""
"US1COBO0547","2022-08","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","6","3,N","4","3,N","1","3,N","","","","","20220817",",3,N","","","36.6","3,,N,17,","51.5","3,,,N","",""
"US1COBO0547","2022-11","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","5","2,N","4","2,N","0","2,N","4","3,N","20221118",",3,N","20221118",",2,N","155","3,,N,18,","10.4","2,,N,18,","32.8","2,,,N","474","3,,,N"
"US1COBO0547","2023-06","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","20",",N","9",",N","2",",N","","","","","20230617",",,N","","","34.3",",,N,17,","147.5",",,,N","",""
"US1COBO0547","2023-07","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","17","2,N","8","2,N","0","2,N","","","","","20230705",",2,N","","","17.3","2,,N,05,","70.2","2,,,N","",""
"US1COBO0547","2023-08","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","10","1,N","4","1,N","0","1,N","","","","","20230801",",1,N","","","15.0","1,,N,01,","39.4","1,,,N","",""
"US1COBO0547","2023-09","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","5","5,N","2","5,N","1","5,N","","","","","20230915",",5,N","","","36.8","5,,N,15,","57.6","5,,,N","",""
"US1COBO0547","2023-10","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","5","3,N","1","3,N","0","3,N","","","","","20231029",",3,N","","","18.3","3,,N,29,","21.1","3,,,N","",""
"US1COBO0547","2023-12","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","5","2,N","3","2,N","0","2,N","","","","","20231209",",2,N","","","14.7","2,,N,09,","21.8","2,,,N","",""
"US1COBO0547","2024-01","40.05043","-105.24558","1627.6","BOULDER 1.7 N, CO US","5",",N","2",",N","0",",N","4",",N","20240113",",,N","20240113",",,N","91",",,N,13,","8.4",",,N,13,","12.3",",,,N","256",",,,N"
