"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COGF0090","2020-07","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","4","4,N","2","4,N","0","4,N","","","","","","","","","20200713",",4,N","","","","","2.8","4,,N,13,","6.9","4,,,N","",""
"US1COGF0090","2020-08","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","1",",N","0",",N","0",",N","","","0","1,N","","","20200831","+,1,N","20200830",",,N","","","0","1,,N,31,+","0.8",",,N,30,","0.8",",,,N","0","1,,,N"
"US1COGF0090","2020-11","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","7","2,N","2","2,N","0","2,N","","","","","","","","","20201108",",2,N","","","","","14.7","2,,N,08,","23.7","2,,,N","",""
"US1COGF0090","2020-12","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","6",",N","0",",N","0",",N","","","4","1,N","","","20201229",",1,N","20201219","+,,N","","","140","1,,N,29,","1.3",",,N,19,+","4.0",",,,N","303","1,,,N"
"US1COGF0090","2021-01","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","6","2,N","2","2,N","0","2,N","28","3,N","1","5,N","20210125",",3,N","20210125",",5,N","20210123",",2,N","178","3,,N,25,","140","5,,N,25,","8.4","2,,N,23,","22.4","2,,,N","161","5,,,N"
"US1COGF0090","2021-02","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","6","3,N","1","3,N","0","3,N","","","","","","","","","20210214",",3,N","","","","","19.3","3,,N,14,","24.7","3,,,N","",""
"US1COGF0090","2021-03","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","11",",N","5",",N","0",",N","","","","","","","","","20210314",",,N","","","","","7.6",",,N,14,","31.4",",,,N","",""
"US1COGF0090","2021-06","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","4","4,N","2","4,N","0","4,N","","","","","","","","","20210620",",4,N","","","","","6.4","4,,N,20,","14.3","4,,,N","",""
"US1COGF0090","2021-10","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","10","5,N","6","5,N","0","5,N","","","","","","","","","20211026",",5,N","","","","","11.7","5,,N,26,","62.0","2,a,,N","",""
"US1COGF0090","2021-11","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","","","","","","","","","","","","","","","","","","","","","","","8.7",",a,,N","",""
"US1COGF0090","2022-01","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","1","3,N","0","3,N","0","3,N","","","1","3,N","","","20220101",",3,N","20220121",",3,N","","","216","3,,N,01,","1.0","3,,N,21,","1.0","3,,,N","234","3,,,N"
"US1COGF0090","2022-02","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","5",",N","2",",N","0",",N","","","0","5,N","","","20220228","+,5,N","20220223",",,N","","","0","5,,N,28,+","5.6",",,N,23,","13.5",",,,N","0","5,,,N"
"US1COGF0090","2022-04","39.4485","-108.03802","1588.9","BATTLEMENT MESA 0.9 WNW, CO US","6",",N","4",",N","0",",N","","","1","5,N","","","20220412",",5,N","20220423",",,N","","","38","5,,N,12,","8.6",",,N,23,","23.2",",,,N","38","5,,,N"
