"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COJF0087","2002-08","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","13","5,N","4","5,N","0","5,N","0","5,N","0","5,N","20020831","+,5,N","20020831","+,5,N","20020806",",5,N","0","5,,N,31,+","0","5,,N,31,+","11.9","5,,N,06,","35.4","5,,,N","0","5,,,N"
"US1COJF0087","2002-09","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","10",",N","8",",N","1",",N","0",",N","0",",N","20020930","+,,N","20020930","+,,N","20020919",",,N","0",",,N,30,+","0",",,N,30,+","33.0",",,N,19,","94.3",",,,N","0",",,,N"
"US1COJF0087","2002-10","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","6","2,N","2","2,N","0","2,N","2","3,N","2","2,N","20021030",",3,N","20021029",",2,N","20021029",",2,N","127","3,,N,30,","102","2,,N,29,","7.1","2,,N,29,","15.2","2,,,N","178","2,,,N"
"US1COJF0087","2002-11","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","9",",N","3",",N","0",",N","","","2",",N","","","20021116",",,N","20021116",",,N","","","102",",,N,16,","5.6",",,N,16,","16.0",",,,N","153",",,,N"
"US1COJF0087","2002-12","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","3",",N","0",",N","0",",N","0",",N","0",",N","20021224",",,N","20021224",",,N","20021224",",,N","6",",,N,24,","6",",,N,24,","0.5",",,N,24,","1.1",",,,N","6",",,,N"
"US1COJF0087","2003-01","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","3","1,N","1","1,N","0","1,N","1","2,N","1","1,N","20030106",",2,N","20030106",",1,N","20030106",",1,N","44","2,,N,06,","44","1,,N,06,","6.1","1,,N,06,","7.4","1,,,N","44","1,,,N"
"US1COJF0087","2003-02","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","10","2,N","6","2,N","0","2,N","0","2,N","7","2,N","20030228","+,2,N","20030203",",2,N","20030203",",2,N","0","2,,N,28,+","140","2,,N,03,","10.2","2,,N,03,","35.9","2,,,N","494","2,,,N"
"US1COJF0087","2003-03","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","12",",N","6",",N","3",",N","0","1,N","","","20030331","+,1,N","","","20030319",",,N","0","1,,N,31,+","","","113.8",",,N,19,","212.9",",,,N","",""
"US1COJF0087","2003-04","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","10",",N","5",",N","0",",N","0",",N","3","5,N","20030430","+,,N","20030419",",5,N","20030420",",,N","0",",,N,30,+","89","5,,N,19,","18.5",",,N,20,","42.4",",,,N","190","5,,,N"
"US1COJF0087","2003-05","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","8",",N","2",",N","0",",N","0",",N","1",",N","20030531","+,,N","20030510",",,N","20030516",",,N","0",",,N,31,+","108",",,N,10,","23.9",",,N,16,","46.5",",,,N","108",",,,N"
"US1COJF0087","2003-06","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","15",",N","4",",N","0",",N","0",",N","0",",N","20030630","+,,N","20030630","+,,N","20030605",",,N","0",",,N,30,+","0",",,N,30,+","11.4",",,N,05,","47.0",",,,N","0",",,,N"
"US1COJF0087","2003-07","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","10",",N","4",",N","0",",N","0",",N","0",",N","20030731","+,,N","20030731","+,,N","20030719",",,N","0",",,N,31,+","0",",,N,31,+","8.1",",,N,19,","26.2",",,,N","0",",,,N"
"US1COJF0087","2003-08","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","16",",N","6",",N","0",",N","0",",N","0",",N","20030831","+,,N","20030831","+,,N","20030830",",,N","0",",,N,31,+","0",",,N,31,+","15.5",",,N,30,","59.7",",,,N","0",",,,N"
"US1COJF0087","2003-10","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","2",",N","1",",N","0",",N","0",",N","0",",N","20031031","+,,N","20031031","+,,N","20031003",",,N","0",",,N,31,+","0",",,N,31,+","4.6",",,N,03,","5.6",",,,N","0",",,,N"
"US1COJF0087","2003-11","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","2","1,N","1","1,N","0","1,N","1","1,N","1","1,N","20031123",",1,N","20031123",",1,N","20031123",",1,N","102","1,,N,23,","102","1,,N,23,","7.6","1,,N,23,","8.4","1,,,N","102","1,,,N"
"US1COJF0087","2003-12","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","4",",N","2",",N","0",",N","1",",N","3",",N","20031209",",,N","20031209",",,N","20031209",",,N","121",",,N,09,","121",",,N,09,","10.2",",,N,09,","18.6",",,,N","235",",,,N"
"US1COJF0087","2004-01","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","6",",N","4",",N","0",",N","0",",N","5",",N","20040131","+,,N","20040103",",,N","20040126",",,N","0",",,N,31,+","178",",,N,03,","6.6",",,N,26,","23.1",",,,N","406",",,,N"
"US1COJF0087","2004-02","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","9",",N","8",",N","0",",N","0",",N","8",",N","20040229","+,,N","20040229","+,,N","20040229",",,N","0",",,N,29,+","127",",,N,29,+","13.2",",,N,29,","48.3",",,,N","584",",,,N"
"US1COJF0087","2004-03","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","4",",N","1",",N","0",",N","0",",N","2",",N","20040331","+,,N","20040305",",,N","20040305",",,N","0",",,N,31,+","178",",,N,05,","16.3",",,N,05,","19.3",",,,N","203",",,,N"
"US1COJF0087","2004-04","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","13",",N","12",",N","0",",N","0",",N","5",",N","20040430","+,,N","20040423",",,N","20040408",",,N","0",",,N,30,+","203",",,N,23,","20.3",",,N,08,","136.3",",,,N","522",",,,N"
"US1COJF0087","2004-05","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","6",",N","3",",N","0",",N","0",",N","1",",N","20040531","+,,N","20040501",",,N","20040513",",,N","0",",,N,31,+","25",",,N,01,","14.7",",,N,13,","29.2",",,,N","25",",,,N"
"US1COJF0087","2004-06","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","16","1,N","10","1,N","1","1,N","0","1,N","0","1,N","20040630","+,1,N","20040630","+,1,N","20040627",",1,N","0","1,,N,30,+","0","1,,N,30,+","30.0","1,,N,27,","119.4","1,,,N","0","1,,,N"
"US1COJF0087","2004-07","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","18",",N","9",",N","0",",N","0",",N","0",",N","20040731","+,,N","20040731","+,,N","20040717",",,N","0",",,N,31,+","0",",,N,31,+","18.8",",,N,17,","88.7",",,,N","0",",,,N"
"US1COJF0087","2004-08","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","18",",N","8",",N","0",",N","0",",N","0",",N","20040831","+,,N","20040831","+,,N","20040819",",,N","0",",,N,31,+","0",",,N,31,+","17.3",",,N,19,","68.4",",,,N","0",",,,N"
"US1COJF0087","2004-09","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","8","3,N","4","3,N","0","3,N","0","3,N","0","3,N","20040930","+,3,N","20040930","+,3,N","20040922",",3,N","0","3,,N,30,+","0","3,,N,30,+","10.4","3,,N,22,","26.4","3,,,N","0","3,,,N"
"US1COJF0087","2004-11","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","13","3,N","7","3,N","0","3,N","1","5,N","6","3,N","20041121",",5,N","20041101",",3,N","20041101",",3,N","127","5,,N,21,","152","3,,N,01,","14.2","3,,N,01,","58.9","3,,,N","507","3,,,N"
"US1COJF0087","2005-01","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","6",",N","4",",N","0",",N","1",",N","4",",N","20050105",",,N","20050130",",,N","20050130",",,N","64",",,N,05,","178",",,N,30,","6.1",",,N,30,","17.9",",,,N","484",",,,N"
"US1COJF0087","2005-02","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","2","1,N","1","1,N","1","1,N","0","1,N","1","1,N","20050228","+,1,N","20050216",",1,N","20050216",",1,N","0","1,,N,28,+","25","1,,N,16,","26.9","1,,N,16,","27.7","1,,,N","25","1,,,N"
"US1COJF0087","2005-03","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","10",",N","5",",N","0",",N","0",",N","5",",N","20050331","+,,N","20050331",",,N","20050331",",,N","0",",,N,31,+","127",",,N,31,","7.9",",,N,31,","33.8",",,,N","434",",,,N"
"US1COJF0087","2005-05","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","9","2,N","3","2,N","0","2,N","","","2","2,N","","","20050502","+,2,N","20050531",",2,N","","","25","2,,N,02,+","10.4","2,,N,31,","32.2","2,,,N","50","2,,,N"
"US1COJF0087","2005-06","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","14",",N","6",",N","0",",N","","","0",",N","","","20050630","+,,N","20050612",",,N","","","0",",,N,30,+","11.9",",,N,12,","51.8",",,,N","0",",,,N"
"US1COJF0087","2005-07","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","8",",N","3",",N","0",",N","","","0",",N","","","20050731","+,,N","20050726",",,N","","","0",",,N,31,+","11.7",",,N,26,","29.6",",,,N","0",",,,N"
"US1COJF0087","2005-09","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","8","1,N","4","1,N","0","1,N","","","0","1,N","","","20050930","+,1,N","20050928",",1,N","","","0","1,,N,30,+","9.1","1,,N,28,","27.9","1,,,N","0","1,,,N"
"US1COJF0087","2005-10","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","7",",N","5",",N","0",",N","","","0",",N","","","20051031","+,,N","20051011",",,N","","","0",",,N,31,+","24.9",",,N,11,","56.2",",,,N","0",",,,N"
"US1COJF0087","2005-11","39.5356","-105.3058","2510.9","CONIFER 1.0 N, CO US","3","2,N","3","2,N","0","2,N","","","2","2,N","","","20051115",",2,N","20051115",",2,N","","","127","2,,N,15,","11.2","2,,N,15,","20.9","2,,,N","203","2,,,N"
