"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COKC0084","2003-05","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","10","3,N","6","3,N","1","3,N","0","1,N","0","1,N","20030531","+,1,N","20030531","+,1,N","20030525",",3,N","0","1,,N,31,+","0","1,,N,31,+","34.8","3,,N,25,","72.2","3,,,N","0","1,,,N"
"US1COKC0084","2003-06","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","14","4,N","8","4,N","1","4,N","0","3,N","0","3,N","20030630","+,3,N","20030630","+,3,N","20030607",",4,N","0","3,,N,30,+","0","3,,N,30,+","26.9","4,,N,07,","104.6","4,,,N","0","3,,,N"
"US1COKC0084","2003-07","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","5","5,N","2","5,N","0","5,N","0","4,N","0","4,N","20030731","+,4,N","20030731","+,4,N","20030720",",5,N","0","4,,N,31,+","0","4,,N,31,+","7.6","5,,N,20,","13.7","5,,,N","0","4,,,N"
"US1COKC0084","2003-08","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","9","2,N","4","2,N","0","2,N","0","2,N","0","2,N","20030831","+,2,N","20030831","+,2,N","20030819",",2,N","0","2,,N,31,+","0","2,,N,31,+","6.4","2,,N,19,","18.5","2,,,N","0","2,,,N"
"US1COKC0084","2003-09","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","1",",N","1",",N","0",",N","0",",N","0",",N","20030930","+,,N","20030930","+,,N","20030908",",,N","0",",,N,30,+","0",",,N,30,+","11.9",",,N,08,","11.9",",,,N","0",",,,N"
"US1COKC0084","2003-10","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","2",",N","0",",N","0",",N","0",",N","0",",N","20031031","+,,N","20031031","+,,N","20031031",",,N","0",",,N,31,+","0",",,N,31,+","2.0",",,N,31,","3.0",",,,N","0",",,,N"
"US1COKC0084","2003-11","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","2",",N","1",",N","0",",N","1",",N","1",",N","20031123",",,N","20031123",",,N","20031123",",,N","51",",,N,23,","51",",,N,23,","3.0",",,N,23,","5.0",",,,N","51",",,,N"
"US1COKC0084","2003-12","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","2",",N","2",",N","0",",N","2",",N","2",",N","20031216",",,N","20031216",",,N","20031216",",,N","67",",,N,16,","67",",,N,16,","11.4",",,N,16,","18.3",",,,N","118",",,,N"
"US1COKC0084","2004-01","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","1",",N","0",",N","0",",N","0",",N","0",",N","20040104",",,N","20040104",",,N","20040104",",,N","6",",,N,04,","6",",,N,04,","1.0",",,N,04,","1.0",",,,N","9",",,,N"
"US1COKC0084","2004-02","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","5",",N","3",",N","0",",N","6","2,N","3","1,N","20040205",",2,N","20040205",",1,N","20040205",",,N","127","2,,N,05,","102","1,,N,05,","10.2",",,N,05,","19.4",",,,N","171","1,,,N"
"US1COKC0084","2004-03","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","4",",N","2",",N","0",",N","1",",N","1",",N","20040301",",,N","20040301",",,N","20040301",",,N","64",",,N,01,","64",",,N,01,","14.7",",,N,01,","20.5",",,,N","82",",,,N"
"US1COKC0084","2004-04","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","12",",N","8",",N","0",",N","0",",N","2",",N","20040430","+,,N","20040410",",,N","20040424",",,N","0",",,N,30,+","89",",,N,10,","17.3",",,N,24,","64.9",",,,N","132",",,,N"
"US1COKC0084","2004-05","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","7",",N","3",",N","0",",N","0",",N","0",",N","20040531","+,,N","20040531","+,,N","20040513",",,N","0",",,N,31,+","0",",,N,31,+","8.4",",,N,13,","19.2",",,,N","0",",,,N"
"US1COKC0084","2004-06","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","","","","","","","","","","","","","","","","","","","","","","","54.6","1,a,,N","",""
"US1COKC0084","2004-07","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","15","4,N","5","4,N","0","4,N","0","4,N","0","4,N","20040731","+,4,N","20040731","+,4,N","20040701",",4,N","0","4,,N,31,+","0","4,,N,31,+","16.5","4,,N,01,","69.7",",a,,N","0","4,,,N"
"US1COKC0084","2004-08","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","13",",N","5",",N","0",",N","0",",N","0",",N","20040831","+,,N","20040831","+,,N","20040806",",,N","0",",,N,31,+","0",",,N,31,+","11.9",",,N,06,","45.8",",,,N","0",",,,N"
"US1COKC0084","2004-09","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","6",",N","3",",N","1",",N","0",",N","0",",N","20040930","+,,N","20040930","+,,N","20040922",",,N","0",",,N,30,+","0",",,N,30,+","27.4",",,N,22,","36.4",",,,N","0",",,,N"
"US1COKC0084","2004-10","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","5","5,N","0","5,N","0","5,N","0","5,N","0","5,N","20041031","+,5,N","20041031","+,5,N","20041002","+,5,N","0","5,,N,31,+","0","5,,N,31,+","2.0","5,,N,02,+","13.7","1,a,,N","0","5,,,N"
"US1COKC0084","2004-11","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","11","2,N","5","2,N","0","2,N","2","1,N","3","1,N","20041130","+,1,N","20041102",",1,N","20041102",",2,N","81","1,,N,30,+","83","1,,N,02,","8.1","2,,N,02,","35.4","2,,,N","242","1,,,N"
"US1COKC0084","2004-12","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","3",",N","3",",N","0",",N","8",",N","1",",N","20041223",",,N","20041223",",,N","20041223",",,N","152",",,N,23,","152",",,N,23,","6.6",",,N,23,","12.1",",,,N","167",",,,N"
"US1COKC0084","2005-01","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","5",",N","1",",N","0",",N","3",",N","1",",N","20050108","+,,N","20050106",",,N","20050105",",,N","25",",,N,08,+","25",",,N,06,","2.5",",,N,05,","5.8",",,,N","51",",,,N"
"US1COKC0084","2005-02","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","3","1,N","0","1,N","0","1,N","0","1,N","0","1,N","20050228","+,1,N","20050209",",1,N","20050217",",1,N","0","1,,N,28,+","5","1,,N,09,","1.0","1,,N,17,","2.3","1,,,N","5","1,,,N"
"US1COKC0084","2005-03","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","8",",N","2",",N","0",",N","1","2,N","1","1,N","20050313",",2,N","20050313",",1,N","20050331",",,N","38","2,,N,13,","38","1,,N,13,","5.3",",,N,31,","12.7",",,,N","44","1,,,N"
"US1COKC0084","2005-04","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","10","3,N","6","3,N","0","3,N","","","1","3,N","","","20050411",",3,N","20050411",",3,N","","","89","3,,N,11,","20.6","3,,N,11,","51.7","3,,,N","97","3,,,N"
"US1COKC0084","2005-05","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","10","2,N","4","2,N","0","2,N","","","1","2,N","","","20050501",",2,N","20050531",",2,N","","","51","2,,N,01,","16.0","2,,N,31,","37.2","2,,,N","51","2,,,N"
"US1COKC0084","2005-06","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","10","4,N","6","4,N","1","4,N","","","0","4,N","","","20050630","+,4,N","20050603",",4,N","","","0","4,,N,30,+","54.4","4,,N,03,","99.6","1,a,,N","0","4,,,N"
"US1COKC0084","2005-07","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","7","3,N","3","3,N","0","3,N","","","0","3,N","","","20050731","+,3,N","20050726",",3,N","","","0","3,,N,31,+","14.5","3,,N,26,","24.2","3,,,N","0","3,,,N"
"US1COKC0084","2005-08","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","9",",N","5",",N","2",",N","","","0",",N","","","20050831","+,,N","20050811",",,N","","","0",",,N,31,+","54.4",",,N,11,","100.9",",,,N","0",",,,N"
"US1COKC0084","2005-09","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","3","2,N","0","2,N","0","2,N","","","0","2,N","","","20050930","+,2,N","20050928",",2,N","","","0","2,,N,30,+","1.5","2,,N,28,","2.1","2,,,N","0","2,,,N"
"US1COKC0084","2005-10","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","6",",N","3",",N","2",",N","","","0",",N","","","20051031","+,,N","20051011",",,N","","","0",",,N,31,+","55.4",",,N,11,","106.0",",,,N","0",",,,N"
"US1COKC0084","2005-11","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","3",",N","2",",N","0",",N","","","1",",N","","","20051128",",,N","20051128",",,N","","","89",",,N,28,","13.5",",,N,28,","17.3",",,,N","89",",,,N"
"US1COKC0084","2005-12","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","4",",N","0",",N","0",",N","","","4",",N","","","20051207",",,N","20051207",",,N","","","28",",,N,07,","2.3",",,N,07,","4.6",",,,N","121",",,,N"
"US1COKC0084","2006-01","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","2",",N","1",",N","0",",N","","","1",",N","","","20060120",",,N","20060120",",,N","","","66",",,N,20,","5.3",",,N,20,","7.1",",,,N","66",",,,N"
"US1COKC0084","2006-02","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","3","3,N","0","3,N","0","3,N","","","0","3,N","","","20060217","+,3,N","20060217",",3,N","","","13","3,,N,17,+","1.3","3,,N,17,","2.1","3,,,N","34","3,,,N"
"US1COKC0084","2006-03","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","6","1,N","1","1,N","0","1,N","","","1","1,N","","","20060321",",1,N","20060321",",1,N","","","89","1,,N,21,","11.9","1,,N,21,","17.3","1,,,N","102","1,,,N"
"US1COKC0084","2006-04","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","5",",N","2",",N","0",",N","","","0",",N","","","20060430","+,,N","20060416",",,N","","","0",",,N,30,+","9.1",",,N,16,","14.1",",,,N","0",",,,N"
"US1COKC0084","2006-05","39.3045","-102.6089","1349.0","STRATTON .25 WNW, CO US","10",",N","2",",N","0",",N","","","0",",N","","","20060531","+,,N","20060523",",,N","","","0",",,N,31,+","16.5",",,N,23,","32.3",",,,N","0",",,,N"
