"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COLR0225","2001-06","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","4","4,N","2","4,N","0","4,N","0","4,N","0","4,N","20010630","+,4,N","20010630","+,4,N","20010604",",4,N","0","4,,N,30,+","0","4,,N,30,+","5.1","4,,N,04,","12.7","4,,,N","0","4,,,N"
"US1COLR0225","2001-07","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","14","1,N","7","1,N","0","1,N","0","1,N","0","1,N","20010731","+,1,N","20010731","+,1,N","20010708",",1,N","0","1,,N,31,+","0","1,,N,31,+","7.6","1,,N,08,","39.9","1,,,N","0","1,,,N"
"US1COLR0225","2001-08","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","15",",N","6",",N","1",",N","0",",N","0",",N","20010831","+,,N","20010831","+,,N","20010810",",,N","0",",,N,31,+","0",",,N,31,+","25.9",",,N,10,","92.6",",,,N","0",",,,N"
"US1COLR0225","2001-09","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","10","2,N","2","2,N","0","2,N","0","2,N","0","2,N","20010930","+,2,N","20010930","+,2,N","20010909",",2,N","0","2,,N,30,+","0","2,,N,30,+","12.7","2,,N,09,","26.2","2,,,N","0","2,,,N"
"US1COLR0225","2002-06","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","7","3,N","4","3,N","0","3,N","0","3,N","0","3,N","20020630","+,3,N","20020630","+,3,N","20020604",",3,N","0","3,,N,30,+","0","3,,N,30,+","21.1","3,,N,04,","36.7","3,,,N","0","3,,,N"
"US1COLR0225","2002-07","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","6","5,N","1","5,N","0","5,N","0","5,N","0","5,N","20020731","+,5,N","20020731","+,5,N","20020721",",5,N","0","5,,N,31,+","0","5,,N,31,+","2.5","5,,N,21,","9.6","5,,,N","0","5,,,N"
"US1COLR0225","2003-10","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","1","3,N","0","3,N","0","3,N","0","3,N","0","3,N","20031031","+,3,N","20031031","+,3,N","20031003",",3,N","0","3,,N,31,+","0","3,T,N,31,+","1.0","3,,N,03,","1.0","3,,,N","0","3,T,,N"
"US1COLR0225","2004-04","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","14","4,N","10","4,N","0","4,N","","","2","5,N","","","20040411",",5,N","20040410",",4,N","","","70","5,,N,11,","18.5","4,,N,10,","88.7","4,,,N","114","5,,,N"
"US1COLR0225","2004-08","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","15","4,N","8","4,N","1","4,N","0","4,N","0","4,N","20040831","+,4,N","20040831","+,4,N","20040819",",4,N","0","4,,N,31,+","0","4,,N,31,+","74.4","4,,N,19,","132.9","4,,,N","0","4,,,N"
"US1COLR0225","2004-09","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","10","5,N","6","5,N","1","5,N","0","5,N","0","5,N","20040930","+,5,N","20040930","+,5,N","20040928",",5,N","0","5,,N,30,+","0","5,,N,30,+","31.5","5,,N,28,","71.9","5,,,N","0","5,,,N"
"US1COLR0225","2004-10","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","6","4,N","4","4,N","0","4,N","0","4,N","0","4,N","20041031","+,4,N","20041031","+,4,N","20041001",",4,N","0","4,,N,31,+","0","4,,N,31,+","21.1","4,,N,01,","38.0","4,,,N","0","4,,,N"
"US1COLR0225","2004-11","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","","","","","","","","","","","","","","","","","","","","","","","45.7","4,a,,N","",""
"US1COLR0225","2005-04","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","","","","","","","","","","","","","","","","","","","","","","","67.7","4,a,,N","",""
"US1COLR0225","2005-06","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","8","4,N","7","4,N","1","4,N","","","0","4,N","","","20050630","+,4,N","20050604",",4,N","","","0","4,,N,30,+","27.2","4,,N,04,","77.9","4,,,N","0","4,,,N"
"US1COLR0225","2005-08","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","","","","","","","","","","","","","","","","","","","","","","","37.8","4,a,,N","",""
"US1COLR0225","2006-03","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","","","","","","","","","","","","","","","","","","","","","","","34.9","4,a,,N","",""
"US1COLR0225","2006-08","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","18","2,N","3","2,N","0","2,N","","","0","2,N","","","20060831","+,2,N","20060816",",2,N","","","0","2,,N,31,+","8.4","2,,N,16,","29.6","2,,,N","0","2,,,N"
"US1COLR0225","2006-09","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","","","","","","","","","0",",N","","","20060930","+,,N","","","","","0",",,N,30,+","","","","","0",",,,N"
"US1COLR0225","2006-10","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","5",",N","5",",N","0",",N","","","2",",N","","","20061026","+,,N","20061010",",,N","","","127",",,N,26,+","13.5",",,N,10,","53.6",",,,N","257",",,,N"
"US1COLR0225","2006-11","40.47","-105.3092","2058.0","DRAKE 3.0 NNE, CO US","2",",N","2",",N","0",",N","","","2",",N","","","20061129",",,N","20061129",",,N","","","198",",,N,29,","13.2",",,N,29,","18.3",",,,N","289",",,,N"
