"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COLR1139","2017-09","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","9","4,N","4","4,N","0","4,N","","","","","20170924",",4,N","","","23.1","4,,N,24,","54.5","2,a,,N","",""
"US1COLR1139","2017-10","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","","","","","","","","","","","","","","","","","24.0","2,a,,N","",""
"US1COLR1139","2017-11","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","","","","","","","","","","","","","","","","","20.6",",a,,N","",""
"US1COLR1139","2018-01","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","3","4,N","2","4,N","0","4,N","","","","","20180121",",4,N","","","11.2","4,,N,21,","14.2",",a,,N","",""
"US1COLR1139","2018-02","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","","","","","","","","","","","","","","","","","13.0","3,a,,N","",""
"US1COLR1139","2018-03","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","3","5,N","1","5,N","0","5,N","","","","","20180329",",5,N","","","8.6","5,,N,29,","11.7",",a,,N","",""
"US1COLR1139","2018-04","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","8","5,N","1","5,N","0","5,N","","","","","20180421",",5,N","","","13.7","5,,N,21,","20.0",",a,,N","",""
"US1COLR1139","2018-07","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","","","","","","","","","","","","","","","","","57.7","1,a,,N","",""
"US1COLR1139","2018-08","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","5","4,N","1","4,N","0","4,N","","","","","20180815",",4,N","","","5.8","4,,N,15,","11.8","1,a,,N","",""
"US1COLR1139","2018-09","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","7",",N","1",",N","0",",N","","","","","20180920",",,N","","","3.3",",,N,20,","6.0",",,,N","",""
"US1COLR1139","2018-10","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","11","2,N","4","2,N","0","2,N","","","","","20181014",",2,N","","","9.7","2,,N,14,","29.9",",a,,N","",""
"US1COLR1139","2018-11","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4",",N","2",",N","0",",N","","","","","20181111",",,N","","","6.9",",,N,11,","14.8",",,,N","",""
"US1COLR1139","2018-12","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","3",",N","0",",N","0",",N","","","","","20181201",",,N","","","1.0",",,N,01,","1.8",",,,N","",""
"US1COLR1139","2019-01","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","5","5,N","3","5,N","0","5,N","","","","","201901","5,,N","","","5.6","5,,N,  ,","14.2","3,a,,N","",""
"US1COLR1139","2019-02","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","2","5,N","1","5,N","0","5,N","","","","","20190207",",5,N","","","3.0","5,,N,07,","3.3","5,,,N","",""
"US1COLR1139","2019-03","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","","","","","","","","","","","","","","","","","46.7",",a,,N","",""
"US1COLR1139","2019-04","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","6","3,N","3","3,N","0","3,N","","","","","20190411",",3,N","","","20.1","3,,N,11,","37.4",",a,,N","",""
"US1COLR1139","2019-05","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","","","","","","","","","","","","","","","","","65.5","2,a,,N","",""
"US1COLR1139","2019-06","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","13","2,N","8","2,N","0","2,N","","","","","20190622",",2,N","","","21.8","2,,N,22,","62.9",",a,,N","",""
"US1COLR1139","2019-07","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","8","3,N","4","3,N","0","3,N","","","","","20190725",",3,N","","","7.1","3,,N,25,","20.1",",a,,N","",""
"US1COLR1139","2019-08","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","7","2,N","0","2,N","0","2,N","","","","","20190808",",2,N","","","1.8","2,,N,08,","12.3",",a,,N","",""
"US1COLR1139","2019-09","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4","2,N","2","2,N","0","2,N","","","","","20190909",",2,N","","","6.9","2,,N,09,","15.1",",a,,N","",""
"US1COLR1139","2019-10","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4","4,N","2","4,N","0","4,N","","","","","20191028",",4,N","","","5.6","4,,N,28,","33.8",",a,,N","",""
"US1COLR1139","2019-11","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4","5,N","2","5,N","0","5,N","","","","","20191121",",5,N","","","3.0","5,,N,21,","8.0","5,,,N","",""
"US1COLR1139","2019-12","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4","5,N","1","5,N","0","5,N","","","","","20191206",",5,N","","","4.1","5,,N,06,","14.5","1,a,,N","",""
"US1COLR1139","2020-01","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","0",",N","0",",N","0",",N","","","","","20200131","+,,N","","","0.0",",T,N,31,+","0.0",",T,,N","",""
"US1COLR1139","2020-02","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","6","3,N","2","3,N","0","3,N","","","","","20200208",",3,N","","","4.8","3,,N,08,","22.6",",a,,N","",""
"US1COLR1139","2020-04","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","10",",N","3",",N","1",",N","","","","","20200416",",,N","","","33.0",",,N,16,","54.5",",,,N","",""
"US1COLR1139","2020-05","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","12",",N","7",",N","0",",N","","","","","20200525",",,N","","","18.3",",,N,25,","50.5",",,,N","",""
"US1COLR1139","2020-06","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","11",",N","4",",N","0",",N","","","","","20200609",",,N","","","13.2",",,N,09,","44.9",",,,N","",""
"US1COLR1139","2020-07","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","8",",N","4",",N","0",",N","","","","","20200729",",,N","","","8.1",",,N,29,","20.6",",,,N","",""
"US1COLR1139","2020-08","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","9",",N","0",",N","0",",N","","","","","20200804",",,N","","","1.0",",,N,04,","5.3",",,,N","",""
"US1COLR1139","2020-09","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4",",N","2",",N","1",",N","","","","","20200908",",,N","","","27.7",",,N,08,","38.7",",,,N","",""
"US1COLR1139","2020-10","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","5",",N","2",",N","0",",N","","","","","20201025",",,N","","","19.6",",,N,25,","23.5",",,,N","",""
"US1COLR1139","2020-11","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","3",",N","2",",N","0",",N","","","","","20201124",",,N","","","7.1",",,N,24,","12.7",",,,N","",""
"US1COLR1139","2020-12","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4","3,N","1","3,N","0","3,N","","","","","20201212",",3,N","","","3.8","3,,N,12,","7.8","3,,,N","",""
"US1COLR1139","2021-01","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4","2,N","1","2,N","0","2,N","","","","","20210110",",2,N","","","5.1","2,,N,10,","8.1","2,,,N","",""
"US1COLR1139","2021-02","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","6",",N","3",",N","0",",N","","","","","20210225",",,N","","","8.1",",,N,25,","21.2",",,,N","",""
"US1COLR1139","2021-03","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","7","2,N","3","2,N","1","2,N","","","","","20210314",",2,N","","","58.4","2,,N,14,","83.3",",a,,N","",""
"US1COLR1139","2021-04","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","7",",N","4",",N","0",",N","","","","","20210428",",,N","","","21.1",",,N,28,","55.4",",,,N","",""
"US1COLR1139","2021-05","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","12","2,N","7","2,N","2","2,N","","","","","20210511",",2,N","","","35.3","2,,N,11,","125.3",",a,,N","",""
"US1COLR1139","2021-06","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","6",",N","1",",N","0",",N","","","","","20210626",",,N","","","16.5",",,N,26,","19.9",",,,N","",""
"US1COLR1139","2021-07","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","7",",N","3",",N","0",",N","","","","","20210731",",,N","","","18.5",",,N,31,","27.3",",,,N","",""
"US1COLR1139","2021-08","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","3",",N","3",",N","0",",N","","","","","20210820",",,N","","","9.4",",,N,20,","17.5",",,,N","",""
"US1COLR1139","2021-09","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","5",",N","2",",N","0",",N","","","","","20210914","+,,N","","","2.8",",,N,14,+","8.7",",,,N","",""
"US1COLR1139","2021-10","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","3",",N","0",",N","0",",N","0","5,N","20211031","+,5,N","20211015","+,,N","0","5,,N,31,+","1.0",",,N,15,+","2.3",",,,N","0","5,,,N"
"US1COLR1139","2021-11","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","5",",N","1",",N","0",",N","","","","","20211101",",,N","","","3.0",",,N,01,","6.2",",,,N","",""
"US1COLR1139","2021-12","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","1",",N","0",",N","0",",N","0","5,N","20211231","+,5,N","20211224",",,N","0","5,,N,31,+","0.5",",,N,24,","0.5",",,,N","0","5,,,N"
"US1COLR1139","2022-01","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","5",",N","4",",N","0",",N","","","","","20220101",",,N","","","15.2",",,N,01,","36.0",",,,N","",""
"US1COLR1139","2022-02","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4","2,N","2","2,N","0","2,N","","","","","20220202",",2,N","","","14.7","2,,N,02,","26.4",",a,,N","",""
"US1COLR1139","2022-03","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","5","3,N","2","3,N","0","3,N","","","","","20220317",",3,N","","","9.1","3,,N,17,","23.2","1,a,,N","",""
"US1COLR1139","2022-04","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","1","1,N","0","1,N","0","1,N","0","4,N","20220430","+,4,N","20220406",",1,N","0","4,,N,30,+","1.5","1,,N,06,","1.5","1,,,N","0","4,,,N"
"US1COLR1139","2022-05","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","12",",N","7",",N","0",",N","","","","","20220504",",,N","","","16.0",",,N,04,","60.8",",,,N","",""
"US1COLR1139","2022-06","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","4","2,N","2","2,N","0","2,N","","","","","20220607",",2,N","","","11.9","2,,N,07,","23.3","2,,,N","",""
"US1COLR1139","2022-07","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","13","3,N","5","3,N","1","3,N","","","","","20220728",",3,N","","","28.2","3,,N,28,","63.4","1,a,,N","",""
"US1COLR1139","2022-08","40.543694","-105.098436","1552.0","FORT COLLINS 1.8 WSW, CO US","7","2,N","1","2,N","0","2,N","","","","","20220814",",2,N","","","2.5","2,,N,14,","7.4","2,,,N","",""
