"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COME0008","2003-05","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","5",",N","5",",N","0",",N","0",",N","0",",N","20030531","+,,N","20030531","+,,N","20030503",",,N","0",",,N,31,+","0",",,N,31,+","20.6",",,N,03,","46.0",",,,N","0",",,,N"
"US1COME0008","2003-06","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","4","4,N","3","4,N","0","4,N","0","3,N","0","3,N","20030630","+,3,N","20030630","+,3,N","20030619","+,4,N","0","3,,N,30,+","0","3,,N,30,+","3.3","4,,N,19,+","10.9","4,,,N","0","3,,,N"
"US1COME0008","2003-07","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","3",",N","0",",N","0",",N","0",",N","0",",N","20030731","+,,N","20030731","+,,N","20030729",",,N","0",",,N,31,+","0",",,N,31,+","1.5",",,N,29,","2.3",",,,N","0",",,,N"
"US1COME0008","2003-08","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","6",",N","1",",N","0",",N","0",",N","0",",N","20030831","+,,N","20030831","+,,N","20030813",",,N","0",",,N,31,+","0",",,N,31,+","9.9",",,N,13,","14.4",",,,N","0",",,,N"
"US1COME0008","2003-09","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","4",",N","3",",N","0",",N","0",",N","0",",N","20030930","+,,N","20030930","+,,N","20030910",",,N","0",",,N,30,+","0",",,N,30,+","14.5",",,N,10,","40.6",",,,N","0",",,,N"
"US1COME0008","2003-10","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","3",",N","1",",N","0",",N","0",",N","0",",N","20031031","+,,N","20031031","+,,N","20031002",",,N","0",",,N,31,+","0",",,N,31,+","4.1",",,N,02,","5.6",",,,N","0",",,,N"
"US1COME0008","2003-11","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","8",",N","4",",N","0",",N","1","2,N","0","1,N","20031124",",2,N","20031127",",1,N","20031123",",,N","25","2,,N,24,","8","1,,N,27,","7.6",",,N,23,","25.7",",,,N","8","1,,,N"
"US1COME0008","2003-12","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","5",",N","1",",N","0",",N","1",",N","1",",N","20031208",",,N","20031208",",,N","20031208",",,N","25",",,N,08,","25",",,N,08,","6.6",",,N,08,","9.2",",,,N","38",",,,N"
"US1COME0008","2004-01","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","6",",N","1",",N","0",",N","5",",N","2",",N","20040104",",,N","20040103",",,N","20040103",",,N","51",",,N,04,","38",",,N,03,","10.2",",,N,03,","15.3",",,,N","76",",,,N"
"US1COME0008","2004-05","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","4",",N","2",",N","0",",N","0",",N","0",",N","20040531","+,,N","20040531","+,,N","20040513",",,N","0",",,N,31,+","0",",,N,31,+","4.6",",,N,13,","9.6",",,,N","0",",,,N"
"US1COME0008","2004-06","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","2",",N","1",",N","0",",N","0",",N","0",",N","20040630","+,,N","20040630","+,,N","20040627",",,N","0",",,N,30,+","0",",,N,30,+","3.6",",,N,27,","4.9",",,,N","0",",,,N"
"US1COME0008","2004-07","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","2",",N","0",",N","0",",N","0",",N","0",",N","20040731","+,,N","20040731","+,,N","20040722","+,,N","0",",,N,31,+","0",",,N,31,+","0.3",",,N,22,+","0.6",",,,N","0",",,,N"
"US1COME0008","2004-08","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","1",",N","0",",N","0",",N","0",",N","0",",N","20040831","+,,N","20040831","+,,N","20040821",",,N","0",",,N,31,+","0",",,N,31,+","0.3",",,N,21,","0.3",",,,N","0",",,,N"
"US1COME0008","2004-09","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","8",",N","7",",N","0",",N","0",",N","0",",N","20040930","+,,N","20040930","+,,N","20040905",",,N","0",",,N,30,+","0",",,N,30,+","17.0",",,N,05,","51.7",",,,N","0",",,,N"
"US1COME0008","2004-10","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","10",",N","3",",N","0",",N","0",",N","0",",N","20041031","+,,N","20041031","+,,N","20041029",",,N","0",",,N,31,+","0",",,N,31,+","5.8",",,N,29,","18.3",",,,N","0",",,,N"
"US1COME0008","2004-11","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","8",",N","7",",N","0",",N","3",",N","3",",N","20041129",",,N","20041129",",,N","20041129",",,N","191",",,N,29,","140",",,N,29,","18.8",",,N,29,","67.9",",,,N","281",",,,N"
"US1COME0008","2004-12","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","5",",N","1",",N","0",",N","10",",N","2",",N","20041206",",,N","20041206","+,,N","20041230",",,N","140",",,N,06,","25",",,N,06,+","10.2",",,N,30,","13.5",",,,N","50",",,,N"
"US1COME0008","2005-01","39.0724","-108.4435","1417.3","CLIFTON 1.4 SSE, CO US","8",",N","2",",N","0",",N","5",",N","2",",N","20050112",",,N","20050112",",,N","20050112",",,N","76",",,N,12,","76",",,N,12,","23.4",",,N,12,","32.5",",,,N","114",",,,N"
