"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COME0153","2018-08","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","4",",N","2",",N","0",",N","0",",N","20180831","+,,N","20180822",",,N","0",",,N,31,+","12.2",",,N,22,","20.8",",,,N","0",",,,N"
"US1COME0153","2018-09","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","0",",N","0",",N","0",",N","0",",N","20180930","+,,N","20180930","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1COME0153","2018-11","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","2","3,N","0","3,N","0","3,N","0","4,N","20181130","+,4,N","20181130",",3,N","0","4,,N,30,+","0.8","3,,N,30,","3.6",",a,,N","0","4,,,N"
"US1COME0153","2018-12","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","5",",N","4",",N","0",",N","3",",N","20181231",",,N","20181226",",,N","58",",,N,31,","7.4",",,N,26,","20.1",",,,N","137",",,,N"
"US1COME0153","2019-01","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","5",",N","1",",N","0",",N","1","1,N","20190101",",1,N","20190122",",,N","38","1,,N,01,","4.1",",,N,22,","10.3",",,,N","72","1,,,N"
"US1COME0153","2019-02","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","10",",N","4",",N","0",",N","1",",N","20190216",",,N","20190215",",,N","30",",,N,16,","7.6",",,N,15,","20.6",",,,N","82",",,,N"
"US1COME0153","2019-03","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","8",",N","5",",N","1",",N","0","2,N","20190331","+,2,N","20190313",",,N","0","2,,N,31,+","25.4",",,N,13,","57.1",",,,N","0","2,,,N"
"US1COME0153","2019-04","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","7",",N","1",",N","0",",N","0","3,N","20190430","+,3,N","20190430",",,N","0","3,,N,30,+","24.9",",,N,30,","31.9",",,,N","0","3,,,N"
"US1COME0153","2019-05","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","9",",N","4",",N","0",",N","","","","","20190524",",,N","","","6.9",",,N,24,","23.0",",,,N","",""
"US1COME0153","2019-06","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","6","2,N","3","2,N","0","2,N","0","4,N","20190630","+,4,N","20190622",",2,N","0","4,,N,30,+","11.2","2,,N,22,","22.9","2,,,N","0","4,,,N"
"US1COME0153","2019-07","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","6","4,N","0","4,N","0","4,N","0","4,N","20190731","+,4,N","20190727",",4,N","0","4,,N,31,+","2.3","4,,N,27,","4.9","4,,,N","0","4,,,N"
"US1COME0153","2019-08","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","2",",N","0",",N","0",",N","0",",N","20190831","+,,N","20190801",",,N","0",",,N,31,+","2.3",",,N,01,","3.8",",,,N","0",",,,N"
"US1COME0153","2019-09","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","3",",N","0",",N","0",",N","0","3,N","20190930","+,3,N","20190928","+,,N","0","3,,N,30,+","1.5",",,N,28,+","4.3",",,,N","0","3,,,N"
"US1COME0153","2019-10","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","1",",N","0",",N","0",",N","0",",N","20191030",",,N","20191030",",,N","3",",,N,30,","0.3",",,N,30,","0.3",",,,N","3",",,,N"
"US1COME0153","2019-11","39.0757","-108.4417","1417.9","CLIFTON 1.2 E, CO US","4",",N","3",",N","0",",N","1",",N","20191126",",,N","20191126",",,N","122",",,N,26,","10.4",",,N,26,","24.4",",,,N","127",",,,N"
