"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COMT0027","2010-05","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","7",",N","1",",N","0",",N","","","","","20100502",",,N","","","3.0",",,N,02,","8.4",",,,N","",""
"US1COMT0027","2010-07","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","8","1,N","4","1,N","0","1,N","","","","","20100722",",1,N","","","11.9","1,,N,22,","34.0","1,,,N","",""
"US1COMT0027","2010-10","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","","","","","","","","","","","","","","","","","41.7","1,a,,N","",""
"US1COMT0027","2010-11","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","6","2,N","1","2,N","0","2,N","1","3,N","20101129",",3,N","20101129",",2,N","71","3,,N,29,","4.1","2,,N,29,","10.3","2,,,N","99","3,,,N"
"US1COMT0027","2010-12","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","3","1,N","2","1,N","0","1,N","1","4,N","20101231",",4,N","20101231",",1,N","76","4,,N,31,","4.8","1,,N,31,","8.1","1,,,N","76","4,,,N"
"US1COMT0027","2011-01","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","7",",N","3",",N","0",",N","2",",N","20110110",",,N","20110110",",,N","89",",,N,10,","6.4",",,N,10,","15.4",",,,N","187",",,,N"
"US1COMT0027","2011-02","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","6",",N","3",",N","0",",N","3",",N","20110208",",,N","20110208",",,N","64",",,N,08,","6.9",",,N,08,","19.4",",,,N","198",",,,N"
"US1COMT0027","2011-03","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","7",",N","1",",N","0",",N","0","5,N","20110322","+,5,N","20110318",",,N","0","5,T,N,22,+","8.6",",,N,18,","13.2",",,,N","0","5,T,,N"
"US1COMT0027","2011-04","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","9",",N","4",",N","0",",N","","","","","20110425",",,N","","","11.4",",,N,25,","35.4",",,,N","",""
"US1COMT0027","2011-05","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","7","3,N","3","3,N","0","3,N","","","","","20110512",",3,N","","","11.9","3,,N,12,","28.7","3,,,N","",""
"US1COMT0027","2011-06","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","3",",N","1",",N","0",",N","0","4,N","20110630","+,4,N","20110620",",,N","0","4,,N,30,+","7.9",",,N,20,","9.2",",,,N","0","4,,,N"
"US1COMT0027","2011-07","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","15","2,N","5","2,N","0","2,N","","","","","20110710",",2,N","","","5.6","2,,N,10,","28.6","2,,,N","",""
"US1COMT0027","2011-08","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","12","1,N","2","1,N","0","1,N","","","","","20110830",",1,N","","","11.2","1,,N,30,","27.6","1,,,N","",""
"US1COMT0027","2011-11","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","3","3,N","2","3,N","0","3,N","","","","","20111105",",3,N","","","5.8","3,,N,05,","10.6","3,,,N","",""
"US1COMT0027","2011-12","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","7","5,N","5","5,N","0","5,N","5","5,N","20111214",",5,N","20111214",",5,N","127","5,,N,14,","13.7","5,,N,14,","29.0","5,,,N","317","5,,,N"
"US1COMT0027","2012-02","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","7","2,N","3","2,N","0","2,N","2","2,N","20120220",",2,N","20120220",",2,N","38","2,,N,20,","3.8","2,,N,20,","11.9","2,,,N","104","2,,,N"
"US1COMT0027","2012-03","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","5","2,N","3","2,N","0","2,N","1","2,N","20120302",",2,N","20120302",",2,N","71","2,,N,02,","6.9","2,,N,02,","13.3","2,,,N","97","2,,,N"
"US1COMT0027","2012-04","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","6","4,N","2","4,N","0","4,N","","","","","20120403",",4,N","","","6.6","4,,N,03,","13.3",",a,,N","",""
"US1COMT0027","2012-05","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","2","5,N","0","5,N","0","5,N","","","","","20120508",",5,N","","","2.0","5,,N,08,","2.8","5,,,N","",""
"US1COMT0027","2012-09","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","7","5,N","3","5,N","0","5,N","","","","","20120912",",5,N","","","16.3","5,,N,12,","32.1","2,a,,N","",""
"US1COMT0027","2012-12","38.4822","-107.835117","1817.8","MONTROSE 2.0 E, CO US","10","3,N","5","3,N","0","3,N","5","5,N","20121220",",5,N","20121220",",3,N","165","5,,N,20,","13.7","3,,N,20,","43.2","3,,,N","507","5,,,N"
