"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COOT0037","2015-03","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","4",",N","1",",N","0",",N","0","5,N","20150331","+,5,N","20150320",",,N","0","5,,N,31,+","4.1",",,N,20,","7.4",",,,N","0","5,,,N"
"US1COOT0037","2015-04","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","6",",N","3",",N","0",",N","","","","","20150417",",,N","","","8.6",",,N,17,","21.1",",,,N","",""
"US1COOT0037","2015-05","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","16",",N","11",",N","1",",N","","","","","20150519",",,N","","","39.1",",,N,19,","152.6",",,,N","",""
"US1COOT0037","2015-06","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","5",",N","3",",N","0",",N","0","5,N","20150630","+,5,N","20150612",",,N","0","5,,N,30,+","11.9",",,N,12,","30.2",",,,N","0","5,,,N"
"US1COOT0037","2015-07","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","3",",N","1",",N","0",",N","0","4,N","20150731","+,4,N","20150702",",,N","0","4,,N,31,+","4.8",",,N,02,","6.4",",,,N","0","4,,,N"
"US1COOT0037","2015-08","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","3",",N","3",",N","0",",N","0","3,N","20150831","+,3,N","20150814",",,N","0","3,,N,31,+","22.9",",,N,14,","35.1",",,,N","0","3,,,N"
"US1COOT0037","2015-09","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","1","1,N","0","1,N","0","1,N","0","2,N","20150930","+,2,N","20150923",",1,N","0","2,,N,30,+","1.0","1,,N,23,","1.0","1,,,N","0","2,,,N"
"US1COOT0037","2015-11","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","3","1,N","2","1,N","0","1,N","0","4,N","20151127",",4,N","20151127","+,1,N","13","4,,N,27,","3.3","1,,N,27,+","7.6","1,,,N","13","4,,,N"
"US1COOT0037","2015-12","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","1",",N","0",",N","0",",N","0","1,N","20151215",",1,N","20151215",",,N","13","1,,N,15,","1.5",",,N,15,","1.5",",,,N","13","1,,,N"
"US1COOT0037","2016-01","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","1","1,N","1","1,N","0","1,N","1","1,N","20160109",",1,N","20160109",",1,N","38","1,,N,09,","3.8","1,,N,09,","3.8","1,,,N","38","1,,,N"
"US1COOT0037","2016-02","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","3",",N","2",",N","0",",N","2","1,N","20160202",",1,N","20160202",",,N","76","1,,N,02,","13.2",",,N,02,","19.3",",,,N","127","1,,,N"
"US1COOT0037","2016-03","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","4","1,N","3","1,N","0","1,N","","","","","20160324",",1,N","","","4.6","1,,N,24,","13.2","1,,,N","",""
"US1COOT0037","2016-04","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","4","4,N","4","4,N","1","4,N","","","","","20160411",",4,N","","","27.9","4,,N,11,","64.5","4,,,N","",""
"US1COOT0037","2016-06","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","6",",N","4",",N","1",",N","","","","","20160601",",,N","","","37.1",",,N,01,","87.1",",,,N","",""
"US1COOT0037","2016-07","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","8",",N","6",",N","0",",N","","","","","20160726",",,N","","","23.6",",,N,26,","54.1",",,,N","",""
"US1COOT0037","2016-08","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","7",",N","3",",N","0",",N","","","","","20160820",",,N","","","23.4",",,N,20,","42.7",",,,N","",""
"US1COOT0037","2016-09","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","1",",N","1",",N","0",",N","0","1,N","20160930","+,1,N","20160907",",,N","0","1,,N,30,+","10.4",",,N,07,","10.4",",,,N","0","1,,,N"
"US1COOT0037","2016-10","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","0",",N","0",",N","0",",N","0",",N","20161031","+,,N","20161031","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1COOT0037","2016-11","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","3","3,N","1","3,N","0","3,N","","","","","20161123",",3,N","","","18.0","3,,N,23,","21.3","3,,,N","",""
"US1COOT0037","2016-12","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","2",",N","1",",N","0",",N","1","1,N","20161217",",1,N","20161217",",,N","51","1,,N,17,","2.8",",,N,17,","3.1",",,,N","51","1,,,N"
"US1COOT0037","2017-01","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","5",",N","3",",N","0",",N","2","1,N","20170106",",1,N","20170117",",,N","119","1,,N,06,","11.9",",,N,17,","32.7",",,,N","165","1,,,N"
"US1COOT0037","2017-02","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","3","2,N","1","2,N","0","2,N","0","5,N","20170228","+,5,N","20170213",",2,N","0","5,,N,28,+","3.6","2,,N,13,","6.1","2,,,N","0","5,,,N"
"US1COOT0037","2017-03","38.046182","-103.71652","127.7","ROCKY FORD 0.4 SE, CO US","6",",N","3",",N","0",",N","","","","","20170325",",,N","","","7.1",",,N,25,","17.4",",,,N","",""
