"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1CTHR0055","2018-07","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","12",",N","7",",N","2",",N","20180726",",,N","52.1",",,N,26,","149.0",",,,N"
"US1CTHR0055","2018-08","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","18","2,N","11","2,N","0","2,N","20180814",",2,N","21.6","2,,N,14,","134.7","2,,,N"
"US1CTHR0055","2018-09","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","15","4,N","9","4,N","2","4,N","20180926",",4,N","68.8","4,,N,26,","196.4","1,a,,N"
"US1CTHR0055","2018-10","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","14",",N","7",",N","2",",N","20181003",",,N","44.5",",,N,03,","124.5",",,,N"
"US1CTHR0055","2018-11","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","15",",N","10",",N","3",",N","20181103",",,N","49.0",",,N,03,","204.7",",,,N"
"US1CTHR0055","2018-12","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","11",",N","6",",N","2",",N","20181222",",,N","54.6",",,N,22,","156.1",",,,N"
"US1CTHR0055","2019-01","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","11",",N","9",",N","4",",N","20190125",",,N","52.8",",,N,25,","187.0",",,,N"
"US1CTHR0055","2019-02","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","8",",N","7",",N","1",",N","20190213",",,N","25.4",",,N,13,","82.0",",,,N"
"US1CTHR0055","2019-03","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","9",",N","7",",N","1",",N","20190304",",,N","28.2",",,N,04,","88.8",",,,N"
"US1CTHR0055","2019-05","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","24",",N","12",",N","0",",N","20190529",",,N","20.1",",,N,29,","144.1",",,,N"
"US1CTHR0055","2019-06","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","14",",N","9",",N","2",",N","20190611",",,N","32.5",",,N,11,","93.9",",,,N"
"US1CTHR0055","2019-07","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","7",",N","4",",N","1",",N","20190723",",,N","31.8",",,N,23,","54.0",",,,N"
"US1CTHR0055","2019-08","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","13",",N","6",",N","1",",N","20190801",",,N","53.3",",,N,01,","95.4",",,,N"
"US1CTHR0055","2019-09","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","12","1,N","4","1,N","0","1,N","20190927",",1,N","12.2","1,,N,27,","32.5","1,,,N"
"US1CTHR0055","2019-10","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","19",",N","10",",N","2",",N","20191017",",,N","56.9",",,N,17,","188.9",",,,N"
"US1CTHR0055","2019-11","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","13","2,N","5","2,N","0","2,N","20191125",",2,N","20.8","2,,N,25,","78.8",",a,,N"
"US1CTHR0055","2019-12","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","","","","","","","","","","","190.3","2,a,,N"
"US1CTHR0055","2020-01","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","7","5,N","6","5,N","1","5,N","20200126",",5,N","48.3","5,,N,26,","77.4","1,a,,N"
"US1CTHR0055","2020-02","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","","","","","","","","","","","77.3","1,a,,N"
"US1CTHR0055","2020-03","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","12","5,N","8","5,N","1","5,N","20200324",",5,N","31.8","5,,N,24,","121.7","1,a,,N"
"US1CTHR0055","2020-04","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","19","2,N","11","2,N","1","2,N","20200414",",2,N","42.9","2,,N,14,","128.0",",a,,N"
"US1CTHR0055","2020-05","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","13","2,N","5","2,N","1","2,N","20200501",",2,N","32.0","2,,N,01,","84.7",",a,,N"
"US1CTHR0055","2020-06","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","7",",N","5",",N","1",",N","20200612",",,N","27.9",",,N,12,","54.5",",,,N"
"US1CTHR0055","2020-07","41.6061","-72.9089","63.4","SOUTHINGTON 1.7 WNW, CT US","15",",N","5",",N","0",",N","20200704",",,N","6.9",",,N,04,","30.8",",,,N"
