"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CTLT0028","2018-11","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","9","4,N","9","4,N","2","4,N","","","","","20181113",",4,N","","","27.7","4,,N,13,","123.9","2,a,,N","",""
"US1CTLT0028","2018-12","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","4","5,N","4","5,N","0","5,N","2","4,N","20181202",",4,N","20181202",",5,N","64","4,,N,02,","18.3","5,,N,02,","61.5","5,,,N","115","4,,,N"
"US1CTLT0028","2019-01","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","4","1,N","4","1,N","1","1,N","2","3,N","20190130",",3,N","20190125",",1,N","127","3,,N,30,","46.0","1,,N,25,","87.9","1,,,N","229","3,,,N"
"US1CTLT0028","2019-02","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","5","3,N","4","3,N","0","3,N","3","5,N","20190212",",5,N","20190206",",3,N","89","5,,N,12,","23.4","3,,N,06,","56.4","3,,,N","203","5,,,N"
"US1CTLT0028","2019-03","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","","","","","","","4","2,N","20190303",",2,N","","","127","2,,N,03,","","","","","223","2,,,N"
"US1CTLT0028","2019-04","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","14","1,N","9","1,N","2","1,N","","","","","20190415",",1,N","","","32.8","1,,N,15,","155.4","1,,,N","",""
"US1CTLT0028","2019-05","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","17","1,N","12","1,N","0","1,N","","","","","20190513",",1,N","","","15.2","1,,N,13,","100.5","1,,,N","",""
"US1CTLT0028","2019-06","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","8","1,N","5","1,N","0","1,N","","","","","20190610",",1,N","","","10.4","1,,N,10,","34.2","1,,,N","",""
"US1CTLT0028","2019-07","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","7",",N","4",",N","2",",N","","","","","20190722",",,N","","","41.9",",,N,22,","94.0",",,,N","",""
"US1CTLT0028","2019-08","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","10",",N","6",",N","1",",N","","","","","20190821",",,N","","","31.0",",,N,21,","102.4",",,,N","",""
"US1CTLT0028","2019-09","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","8","3,N","5","3,N","0","3,N","","","","","20190912",",3,N","","","14.0","3,,N,12,","47.2","3,,,N","",""
"US1CTLT0028","2019-10","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","11","3,N","7","3,N","2","3,N","","","","","20191031",",3,N","","","38.4","3,,N,31,","215.3",",a,,N","",""
"US1CTLT0028","2019-11","42.009638","-73.256032","253.9","CANAAN 4.2 ESE, CT US","8","1,N","5","1,N","0","1,N","","","","","20191124",",1,N","","","22.4","1,,N,24,","68.9","1,,,N","",""
