"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLCY0007","2007-11","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","2","5,N","1","5,N","0","5,N","","","","","20071123",",5,N","","","7.1","5,,N,23,","8.9","5,,,N","",""
"US1FLCY0007","2007-12","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","5",",N","3",",N","0",",N","0",",N","20071231","+,,N","20071216",",,N","0",",,N,31,+","23.1",",,N,16,","37.1",",,,N","0",",,,N"
"US1FLCY0007","2008-01","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","10",",N","8",",N","0",",N","0",",N","20080131","+,,N","20080119",",,N","0",",,N,31,+","25.1",",,N,19,","91.0",",,,N","0",",,,N"
"US1FLCY0007","2008-02","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","9","1,N","7","1,N","2","1,N","0","1,N","20080229","+,1,N","20080213",",1,N","0","1,,N,29,+","49.8","1,,N,13,","170.1","1,,,N","0","1,,,N"
"US1FLCY0007","2008-03","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","5",",N","4",",N","1",",N","0",",N","20080331","+,,N","20080308",",,N","0",",,N,31,+","74.7",",,N,08,","95.3",",,,N","0",",,,N"
"US1FLCY0007","2008-04","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","9","1,N","5","1,N","3","1,N","0","1,N","20080430","+,1,N","20080407",",1,N","0","1,,N,30,+","30.7","1,,N,07,","92.8","1,,,N","0","1,,,N"
"US1FLCY0007","2008-05","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","2",",N","2",",N","0",",N","0",",N","20080531","+,,N","20080524",",,N","0",",,N,31,+","21.6",",,N,24,","30.7",",,,N","0",",,,N"
"US1FLCY0007","2008-06","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","12","2,N","9","2,N","2","2,N","0","2,N","20080630","+,2,N","20080611",",2,N","0","2,,N,30,+","66.0","2,,N,11,","151.3","2,,,N","0","2,,,N"
"US1FLCY0007","2008-07","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","19",",N","14",",N","2",",N","0",",N","20080731","+,,N","20080707",",,N","0",",,N,31,+","35.1",",,N,07,","187.5",",,,N","0",",,,N"
"US1FLCY0007","2008-08","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","18",",N","14",",N","2",",N","0",",N","20080831","+,,N","20080823",",,N","0",",,N,31,+","73.4",",,N,23,","273.9",",,,N","0",",,,N"
"US1FLCY0007","2008-09","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","9",",N","5",",N","0",",N","0",",N","20080930","+,,N","20080911",",,N","0",",,N,30,+","13.7",",,N,11,","43.2",",,,N","0",",,,N"
"US1FLCY0007","2008-10","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","6",",N","6",",N","0",",N","0",",N","20081031","+,,N","20081010",",,N","0",",,N,31,+","21.6",",,N,10,","73.2",",,,N","0",",,,N"
"US1FLCY0007","2008-11","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","4",",N","2",",N","0",",N","0",",N","20081130","+,,N","20081115",",,N","0",",,N,30,+","5.3",",,N,15,","11.7",",,,N","0",",,,N"
"US1FLCY0007","2008-12","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","5",",N","3",",N","1",",N","0","2,N","20081231","+,2,N","20081201",",,N","0","2,,N,31,+","31.5",",,N,01,","52.0",",,,N","0","2,,,N"
"US1FLCY0007","2009-01","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","8","1,N","7","1,N","1","1,N","","","","","20090129",",1,N","","","32.8","1,,N,29,","86.7","1,,,N","",""
"US1FLCY0007","2009-02","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","7",",N","2",",N","1",",N","","","","","20090203",",,N","","","29.0",",,N,03,","48.6",",,,N","",""
"US1FLCY0007","2009-03","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","4",",N","3",",N","1",",N","0","4,N","20090331","+,4,N","20090329",",,N","0","4,,N,31,+","89.9",",,N,29,","113.2",",,,N","0","4,,,N"
"US1FLCY0007","2009-04","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","7",",N","6",",N","2",",N","","","","","20090401",",,N","","","39.9",",,N,01,","110.0",",,,N","",""
"US1FLCY0007","2009-05","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","16",",N","13",",N","4",",N","","","","","20090525",",,N","","","97.0",",,N,25,","404.9",",,,N","",""
"US1FLCY0007","2009-06","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","11",",N","8",",N","4",",N","","","","","20090614",",,N","","","50.0",",,N,14,","196.0",",,,N","",""
"US1FLCY0007","2009-07","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","15",",N","12",",N","2",",N","","","","","20090711",",,N","","","45.2",",,N,11,","185.3",",,,N","",""
"US1FLCY0007","2009-08","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","12",",N","8",",N","1",",N","","","","","20090828",",,N","","","27.7",",,N,28,","91.0",",,,N","",""
"US1FLCY0007","2009-09","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","9","5,N","6","5,N","1","5,N","","","","","20090913",",5,N","","","31.0","5,,N,13,","104.1","5,,,N","",""
"US1FLCY0007","2009-10","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","10",",N","2",",N","0",",N","","","","","20091027",",,N","","","9.7",",,N,27,","21.8",",,,N","",""
"US1FLCY0007","2009-11","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","6",",N","5",",N","1",",N","","","","","20091125",",,N","","","33.5",",,N,25,","61.1",",,,N","",""
"US1FLCY0007","2009-12","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","8","4,N","5","4,N","1","4,N","","","","","20091205",",4,N","","","35.3","4,,N,05,","74.1","4,,,N","",""
"US1FLCY0007","2010-01","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","8",",N","5",",N","1",",N","","","","","20100122",",,N","","","123.7",",,N,22,","169.1",",,,N","",""
"US1FLCY0007","2010-02","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","8",",N","8",",N","1",",N","","","","","20100213",",,N","","","34.0",",,N,13,","98.2",",,,N","",""
"US1FLCY0007","2010-03","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","8",",N","8",",N","0",",N","","","","","20100312",",,N","","","20.6",",,N,12,","101.3",",,,N","",""
"US1FLCY0007","2010-04","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","4",",N","2",",N","0",",N","","","","","20100428","+,,N","","","4.8",",,N,28,+","12.7",",,,N","",""
"US1FLCY0007","2010-05","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","5",",N","4",",N","1",",N","0","5,N","20100531","+,5,N","20100501",",,N","0","5,,N,31,+","27.7",",,N,01,","70.1",",,,N","0","5,,,N"
"US1FLCY0007","2010-06","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","12","2,N","10","2,N","1","2,N","","","","","20100622",",2,N","","","31.0","2,,N,22,","131.4","2,,,N","",""
"US1FLCY0007","2010-07","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","13",",N","9",",N","2",",N","","","","","20100702",",,N","","","91.7",",,N,02,","232.9",",,,N","",""
"US1FLCY0007","2010-08","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","15",",N","9",",N","0",",N","","","","","20100812",",,N","","","25.1",",,N,12,","129.2",",,,N","",""
"US1FLCY0007","2010-09","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","12",",N","5",",N","0",",N","","","","","20100929",",,N","","","15.2",",,N,29,","42.5",",,,N","",""
"US1FLCY0007","2010-10","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","1",",N","0",",N","0",",N","0","1,N","20101031","+,1,N","20101029",",,N","0","1,,N,31,+","1.3",",,N,29,","1.3",",,,N","0","1,,,N"
"US1FLCY0007","2010-11","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","6",",N","4",",N","0",",N","","","","","20101105",",,N","","","4.3",",,N,05,","15.5",",,,N","",""
"US1FLCY0007","2010-12","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","6",",N","2",",N","0",",N","","","","","20101226",",,N","","","9.9",",,N,26,","15.9",",,,N","",""
"US1FLCY0007","2011-01","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","10",",N","5",",N","1",",N","","","","","20110126",",,N","","","54.1",",,N,26,","103.4",",,,N","",""
"US1FLCY0007","2011-02","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","7",",N","5",",N","0",",N","","","","","20110208",",,N","","","24.4",",,N,08,","83.5",",,,N","",""
"US1FLCY0007","2011-03","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","5",",N","3",",N","0",",N","0","5,N","20110331","+,5,N","20110331",",,N","0","5,,N,31,+","18.3",",,N,31,","40.9",",,,N","0","5,,,N"
"US1FLCY0007","2011-04","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","7",",N","5",",N","0",",N","","","","","20110421",",,N","","","21.1",",,N,21,","62.5",",,,N","",""
"US1FLCY0007","2011-05","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","2",",N","2",",N","1",",N","0","3,N","20110531","+,3,N","20110515",",,N","0","3,,N,31,+","76.5",",,N,15,","82.6",",,,N","0","3,,,N"
"US1FLCY0007","2011-06","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","10",",N","7",",N","2",",N","","","","","20110613",",,N","","","56.9",",,N,13,","140.9",",,,N","",""
"US1FLCY0007","2011-07","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","16",",N","10",",N","1",",N","","","","","20110708",",,N","","","37.3",",,N,08,","108.4",",,,N","",""
"US1FLCY0007","2011-08","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","16","1,N","12","1,N","0","1,N","","","","","20110802",",1,N","","","23.4","1,,N,02,","123.7","1,,,N","",""
"US1FLCY0007","2011-09","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","12",",N","4",",N","1",",N","","","","","20110922",",,N","","","37.3",",,N,22,","73.0",",,,N","",""
"US1FLCY0007","2011-10","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","11",",N","8",",N","1",",N","","","","","20111010",",,N","","","42.4",",,N,10,","109.7",",,,N","",""
"US1FLCY0007","2011-11","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","9",",N","4",",N","0",",N","","","","","20111117",",,N","","","22.6",",,N,17,","39.7",",,,N","",""
"US1FLCY0007","2011-12","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","3",",N","2",",N","0",",N","0","3,N","20111231","+,3,N","20111213",",,N","0","3,,N,31,+","4.8",",,N,13,","9.6",",,,N","0","3,,,N"
"US1FLCY0007","2012-01","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","3",",N","3",",N","0",",N","0","3,N","20120131","+,3,N","20120119",",,N","0","3,,N,31,+","5.6",",,N,19,","11.9",",,,N","0","3,,,N"
"US1FLCY0007","2012-02","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","7",",N","5",",N","0",",N","","","","","20120227",",,N","","","12.4",",,N,27,","35.1",",,,N","",""
"US1FLCY0007","2012-03","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","5",",N","2",",N","0",",N","0","5,N","20120331","+,5,N","20120304",",,N","0","5,,N,31,+","21.1",",,N,04,","27.3",",,,N","0","5,,,N"
"US1FLCY0007","2012-04","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","5",",N","2",",N","1",",N","0","5,N","20120430","+,5,N","20120401",",,N","0","5,,N,30,+","66.3",",,N,01,","91.0",",,,N","0","5,,,N"
"US1FLCY0007","2012-05","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","11",",N","9",",N","4",",N","","","","","20120528",",,N","","","91.7",",,N,28,","267.3",",,,N","",""
"US1FLCY0007","2012-06","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","19",",N","11",",N","4",",N","","","","","20120625",",,N","","","210.6",",,N,25,","460.6",",,,N","",""
"US1FLCY0007","2012-07","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","12",",N","9",",N","2",",N","","","","","20120703",",,N","","","51.1",",,N,03,","166.2",",,,N","",""
"US1FLCY0007","2012-08","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","25",",N","16",",N","5",",N","","","","","20120821",",,N","","","48.8",",,N,21,","301.6",",,,N","",""
"US1FLCY0007","2012-09","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","9",",N","5",",N","0",",N","","","","","20120919",",,N","","","20.8",",,N,19,","47.5",",,,N","",""
"US1FLCY0007","2012-10","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","11",",N","4",",N","1",",N","","","","","20121001",",,N","","","25.7",",,N,01,","80.2",",,,N","",""
"US1FLCY0007","2012-11","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","4",",N","0",",N","0",",N","0","4,N","20121130","+,4,N","20121106",",,N","0","4,,N,30,+","1.8",",,N,06,","4.1",",,,N","0","4,,,N"
"US1FLCY0007","2012-12","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","10",",N","6",",N","1",",N","","","","","20121211",",,N","","","87.1",",,N,11,","155.6",",,,N","",""
"US1FLCY0007","2013-01","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","6",",N","2",",N","0",",N","","","","","20130104",",,N","","","4.3",",,N,04,","10.9",",,,N","",""
"US1FLCY0007","2013-03","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","8",",N","5",",N","1",",N","","","","","20130324",",,N","","","31.8",",,N,24,","59.7",",,,N","",""
"US1FLCY0007","2013-04","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","12",",N","8",",N","1",",N","","","","","20130415",",,N","","","48.5",",,N,15,","114.7",",,,N","",""
"US1FLCY0007","2013-05","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","11",",N","9",",N","2",",N","","","","","20130503",",,N","","","99.8",",,N,03,","253.0",",,,N","",""
"US1FLCY0007","2013-06","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","17","1,N","10","1,N","1","1,N","","","","","20130607",",1,N","","","43.4","1,,N,07,","147.9","1,,,N","",""
"US1FLCY0007","2013-07","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","21",",N","13",",N","3",",N","","","","","20130714",",,N","","","103.1",",,N,14,","274.6",",,,N","",""
"US1FLCY0007","2013-08","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","20",",N","10",",N","3",",N","","","","","20130801",",,N","","","39.9",",,N,01,","159.7",",,,N","",""
"US1FLCY0007","2013-09","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","12",",N","5",",N","0",",N","","","","","20130924",",,N","","","13.0",",,N,24,","41.5",",,,N","",""
"US1FLCY0007","2013-10","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","6",",N","3",",N","0",",N","","","","","20131022",",,N","","","12.4",",,N,22,","25.4",",,,N","",""
"US1FLCY0007","2013-11","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","8",",N","5",",N","2",",N","","","","","20131127",",,N","","","44.5",",,N,27,","92.0",",,,N","",""
"US1FLCY0007","2013-12","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","6",",N","4",",N","1",",N","","","","","20131215",",,N","","","42.2",",,N,15,","79.5",",,,N","",""
"US1FLCY0007","2014-01","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","14","1,N","7","1,N","2","1,N","","","","","20140114",",1,N","","","48.3","1,,N,14,","144.2","1,,,N","",""
"US1FLCY0007","2014-02","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","13","1,N","9","1,N","1","1,N","","","","","20140224",",1,N","","","30.7","1,,N,24,","127.3","1,,,N","",""
"US1FLCY0007","2014-03","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","10",",N","6",",N","3",",N","","","","","20140318",",,N","","","45.0",",,N,18,","155.9",",,,N","",""
"US1FLCY0007","2014-04","29.798056","-81.978811","39.0","KEYSTONE HEIGHTS 3.5 ENE, FL US","7",",N","5",",N","0",",N","","","","","20140409",",,N","","","17.5",",,N,09,","52.1",",,,N","",""
