"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLDV0059","2012-07","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","6","5,N","4","5,N","1","5,N","","","","","20120705",",5,N","","","43.2","5,,N,05,","72.4","5,,,N","",""
"US1FLDV0059","2012-08","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","18","1,N","16","1,N","3","1,N","","","","","20120821",",1,N","","","80.0","1,,N,21,","273.8","1,,,N","",""
"US1FLDV0059","2012-10","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","14","4,N","6","4,N","1","4,N","","","","","20121001",",4,N","","","28.4","4,,N,01,","96.4","4,,,N","",""
"US1FLDV0059","2012-11","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","","","","","","","","","","","","","","","","","23.2","2,a,,N","",""
"US1FLDV0059","2013-01","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","8","5,N","4","5,N","0","5,N","","","","","20130107",",5,N","","","13.7","5,,N,07,","27.7","5,,,N","",""
"US1FLDV0059","2013-03","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","5","3,N","3","3,N","1","3,N","","","","","20130324",",3,N","","","58.4","3,,N,24,","77.2","3,,,N","",""
"US1FLDV0059","2013-04","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","9","3,N","8","3,N","1","3,N","","","","","20130415",",3,N","","","33.5","3,,N,15,","96.0","3,,,N","",""
"US1FLDV0059","2013-07","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","18","3,N","13","3,N","3","3,N","","","","","20130729",",3,N","","","47.5","3,,N,29,","222.0","3,,,N","",""
"US1FLDV0059","2013-08","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","15","2,N","10","2,N","4","2,N","","","","","20130802",",2,N","","","103.4","2,,N,02,","310.0","2,,,N","",""
"US1FLDV0059","2013-09","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","17","5,N","9","5,N","2","5,N","","","","","20130919",",5,N","","","50.5","5,,N,19,","157.0","5,,,N","",""
"US1FLDV0059","2013-10","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","7","3,N","5","3,N","1","3,N","","","","","20131008",",3,N","","","37.3","3,,N,08,","82.9","3,,,N","",""
"US1FLDV0059","2014-01","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","","","","","","","","","","","","","","","","","157.8","3,a,,N","",""
"US1FLDV0059","2015-02","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","","","","","","","","","","","","","","","","","63.8","4,a,,N","",""
"US1FLDV0059","2015-03","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","11","4,N","6","4,N","0","4,N","","","","","20150327",",4,N","","","18.8","4,,N,27,","51.4","4,,,N","",""
"US1FLDV0059","2015-06","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","17","1,N","9","1,N","4","1,N","","","","","20150623",",1,N","","","66.3","1,,N,23,","233.3","1,,,N","",""
"US1FLDV0059","2016-02","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","6","1,N","5","1,N","1","1,N","","","","","20160205",",1,N","","","68.6","1,,N,05,","110.2","1,,,N","",""
"US1FLDV0059","2016-03","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","9","4,N","6","4,N","0","4,N","","","","","20160318",",4,N","","","16.0","4,,N,18,","61.2","4,,,N","",""
"US1FLDV0059","2016-04","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","9","2,N","5","2,N","2","2,N","","","","","20160423",",2,N","","","39.4","2,,N,23,","102.0","2,,,N","",""
"US1FLDV0059","2016-05","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","4","5,N","3","5,N","1","5,N","","","","","20160518",",5,N","","","62.2","5,,N,18,","94.8","5,,,N","",""
"US1FLDV0059","2016-07","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","14","4,N","7","4,N","0","4,N","","","","","20160729",",4,N","","","11.9","4,,N,29,","60.2","4,,,N","",""
"US1FLDV0059","2016-09","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","11",",N","7",",N","2",",N","","","","","20160914",",,N","","","40.4",",,N,14,","138.5",",,,N","",""
"US1FLDV0059","2017-04","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","3","1,N","2","1,N","1","1,N","0","4,N","20170430","+,4,N","20170404",",1,N","0","4,,N,30,+","41.9","1,,N,04,","61.2","1,,,N","0","4,,,N"
"US1FLDV0059","2017-05","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","","","","","","","","","","","","","","","","","242.0","3,a,,N","",""
"US1FLDV0059","2017-07","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","16","4,N","11","4,N","3","4,N","","","","","20170728",",4,N","","","83.1","4,,N,28,","293.5","4,,,N","",""
"US1FLDV0059","2017-09","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","8","3,N","5","3,N","1","3,N","","","","","20170911",",3,N","","","248.9","3,,N,11,","277.2","3,,,N","",""
"US1FLDV0059","2017-11","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","","","","","","","","","","","","","","","","","59.1","2,a,,N","",""
"US1FLDV0059","2018-01","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","14","2,N","8","2,N","1","2,N","","","","","20180129",",2,N","","","43.4","2,,N,29,","92.8","2,,,N","",""
"US1FLDV0059","2018-02","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","6","5,N","3","5,N","0","5,N","","","","","20180205",",5,N","","","21.8","5,,N,05,","40.1","5,,,N","",""
"US1FLDV0059","2018-04","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","8","4,N","6","4,N","1","4,N","","","","","20180411",",4,N","","","32.8","4,,N,11,","115.2","4,,,N","",""
"US1FLDV0059","2018-07","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","20","3,N","12","3,N","1","3,N","","","","","20180701",",3,N","","","52.8","3,,N,01,","171.4","3,,,N","",""
"US1FLDV0059","2018-08","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","18",",N","7",",N","1",",N","","","","","20180803",",,N","","","42.4",",,N,03,","112.4",",,,N","",""
"US1FLDV0059","2018-09","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","7","4,N","7","4,N","1","4,N","","","","","20180903",",4,N","","","41.7","4,,N,03,","96.8","4,,,N","",""
"US1FLDV0059","2018-10","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","8","2,N","5","2,N","1","2,N","","","","","20181001",",2,N","","","25.9","2,,N,01,","63.5","2,,,N","",""
"US1FLDV0059","2019-01","30.375792","-81.604721","8.5","JACKSONVILLE 4.2 NE, FL US","6","3,N","4","3,N","2","3,N","","","","","20190124",",3,N","","","39.4","3,,N,24,","101.7","3,,,N","",""
