"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLFR0008","2018-09","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","11","1,N","10","1,N","2","1,N","","","","","20180907",",1,N","","","39.1","1,,N,07,","167.1","1,,,N","",""
"US1FLFR0008","2018-10","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","5",",N","5",",N","2",",N","0","5,N","20181031","+,5,N","20181026",",,N","0","5,,N,31,+","60.5",",,N,26,","135.9",",,,N","0","5,,,N"
"US1FLFR0008","2018-11","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","3",",N","3",",N","0",",N","0","3,N","20181130","+,3,N","20181109",",,N","0","3,,N,30,+","22.6",",,N,09,","48.0",",,,N","0","3,,,N"
"US1FLFR0008","2018-12","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","10",",N","8",",N","3",",N","","","","","20181201",",,N","","","94.0",",,N,01,","277.5",",,,N","",""
"US1FLFR0008","2019-02","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","5","1,N","3","1,N","1","1,N","","","","","20190227",",1,N","","","31.8","1,,N,27,","61.3","1,,,N","",""
"US1FLFR0008","2019-03","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","3","1,N","3","1,N","1","1,N","0","4,N","20190331","+,4,N","20190302",",1,N","0","4,,N,31,+","38.1","1,,N,02,","55.1","1,,,N","0","4,,,N"
"US1FLFR0008","2019-04","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","6",",N","4",",N","1",",N","","","","","20190426",",,N","","","41.7",",,N,26,","77.1",",,,N","",""
"US1FLFR0008","2019-05","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","2","1,N","2","1,N","0","1,N","0","3,N","20190531","+,3,N","20190531",",1,N","0","3,,N,31,+","5.6","1,,N,31,","10.4","1,,,N","0","3,,,N"
"US1FLFR0008","2020-01","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","3","1,N","3","1,N","0","1,N","0","4,N","20200131","+,4,N","20200122",",1,N","0","4,,N,31,+","21.8","1,,N,22,","45.2","1,,,N","0","4,,,N"
"US1FLFR0008","2020-02","29.670924","-84.841815","3.0","EASTPOINT 5.8 SSE, FL US","4",",N","4",",N","1",",N","0","4,N","20200229","+,4,N","20200215",",,N","0","4,,N,29,+","25.4",",,N,15,","75.9",",,,N","0","4,,,N"
