"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLHB0140","2018-06","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","15",",N","9",",N","1",",N","","","","","20180620",",,N","","","37.8",",,N,20,","144.0",",,,N","",""
"US1FLHB0140","2018-07","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","23",",N","17",",N","6",",N","","","","","20180706",",,N","","","87.4",",,N,06,","384.8",",,,N","",""
"US1FLHB0140","2018-08","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","20",",N","12",",N","3",",N","","","","","20180830","+,,N","","","45.2",",,N,30,+","225.0",",,,N","",""
"US1FLHB0140","2018-09","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","20",",N","14",",N","3",",N","","","","","20180921",",,N","","","64.3",",,N,21,","256.7",",,,N","",""
"US1FLHB0140","2018-10","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","11",",N","4",",N","0",",N","","","","","20181027",",,N","","","17.3",",,N,27,","48.6",",,,N","",""
"US1FLHB0140","2018-11","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","5",",N","3",",N","0",",N","","","","","20181103",",,N","","","10.4",",,N,03,","23.9",",,,N","",""
"US1FLHB0140","2018-12","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","7",",N","7",",N","4",",N","","","","","20181210",",,N","","","65.3",",,N,10,","229.2",",,,N","",""
"US1FLHB0140","2019-01","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","7",",N","6",",N","1",",N","","","","","20190128",",,N","","","38.6",",,N,28,","90.5",",,,N","",""
"US1FLHB0140","2019-02","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","6",",N","4",",N","1",",N","","","","","20190227",",,N","","","50.0",",,N,27,","79.3",",,,N","",""
"US1FLHB0140","2019-03","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","5",",N","2",",N","0",",N","","","","","20190304",",,N","","","22.9",",,N,04,","28.3",",,,N","",""
"US1FLHB0140","2019-04","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","8",",N","6",",N","0",",N","","","","","20190420",",,N","","","18.3",",,N,20,","60.7",",,,N","",""
"US1FLHB0140","2019-05","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","5",",N","4",",N","1",",N","","","","","20190514",",,N","","","28.4",",,N,14,","65.3",",,,N","",""
"US1FLHB0140","2019-06","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","17",",N","15",",N","5",",N","","","","","20190614",",,N","","","37.8",",,N,14,","233.3",",,,N","",""
"US1FLHB0140","2019-07","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","22",",N","19",",N","8",",N","","","","","20190706",",,N","","","47.8",",,N,06,","393.5",",,,N","",""
"US1FLHB0140","2019-08","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","18",",N","14",",N","5",",N","","","","","20190817",",,N","","","36.3",",,N,17,","254.9",",,,N","",""
"US1FLHB0140","2019-09","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","7",",N","4",",N","0",",N","","","","","20190919",",,N","","","20.1",",,N,19,","50.3",",,,N","",""
"US1FLHB0140","2019-10","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","13",",N","8",",N","3",",N","","","","","20191009",",,N","","","60.7",",,N,09,","211.4",",,,N","",""
"US1FLHB0140","2019-11","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","6",",N","3",",N","0",",N","","","","","20191124",",,N","","","13.5",",,N,24,","26.0",",,,N","",""
"US1FLHB0140","2019-12","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","10",",N","6",",N","1",",N","","","","","20191223",",,N","","","54.6",",,N,23,","105.8",",,,N","",""
"US1FLHB0140","2020-01","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","5",",N","1",",N","0",",N","","","","","20200105",",,N","","","22.6",",,N,05,","24.5",",,,N","",""
"US1FLHB0140","2020-02","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","10",",N","4",",N","0",",N","","","","","20200207",",,N","","","17.8",",,N,07,","47.9",",,,N","",""
"US1FLHB0140","2020-03","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","0",",N","0",",N","0",",N","","","","","20200312","+,,N","","","0.0",",T,N,12,+","0.0",",T,,N","",""
"US1FLHB0140","2020-04","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","8",",N","8",",N","2",",N","","","","","20200430",",,N","","","38.9",",,N,30,","134.2",",,,N","",""
"US1FLHB0140","2020-05","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","7",",N","4",",N","1",",N","","","","","20200530",",,N","","","27.4",",,N,30,","78.4",",,,N","",""
"US1FLHB0140","2020-06","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","13",",N","10",",N","2",",N","","","","","20200607",",,N","","","72.1",",,N,07,","205.9",",,,N","",""
"US1FLHB0140","2020-07","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","19",",N","12",",N","1",",N","","","","","20200716",",,N","","","70.6",",,N,16,","164.6",",,,N","",""
"US1FLHB0140","2020-08","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","24",",N","11",",N","3",",N","","","","","20200821",",,N","","","64.3",",,N,21,","254.8",",,,N","",""
"US1FLHB0140","2020-09","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","16",",N","12",",N","1",",N","","","","","20200910",",,N","","","37.6",",,N,10,","192.7",",,,N","",""
"US1FLHB0140","2020-10","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","9",",N","6",",N","0",",N","","","","","20201011",",,N","","","9.1",",,N,11,","32.8",",,,N","",""
"US1FLHB0140","2020-11","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","8",",N","4",",N","1",",N","","","","","20201112",",,N","","","127.3",",,N,12,","154.3",",,,N","",""
"US1FLHB0140","2020-12","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","8",",N","4",",N","0",",N","","","","","20201225","+,,N","","","12.4",",,N,25,+","46.1",",,,N","",""
"US1FLHB0140","2021-01","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","6",",N","3",",N","0",",N","","","","","20210128",",,N","","","8.1",",,N,28,","21.1",",,,N","",""
"US1FLHB0140","2021-02","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","9",",N","6",",N","3",",N","","","","","20210214",",,N","","","38.6",",,N,14,","119.8",",,,N","",""
"US1FLHB0140","2021-03","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","5",",N","2",",N","0",",N","","","","","20210330",",,N","","","11.7",",,N,30,","20.6",",,,N","",""
"US1FLHB0140","2021-04","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","6",",N","6",",N","2",",N","","","","","20210421",",,N","","","37.3",",,N,21,","117.6",",,,N","",""
"US1FLHB0140","2021-05","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","2",",N","0",",N","0",",N","0","3,N","20210531","+,3,N","20210531",",,N","0","3,,N,31,+","1.3",",,N,31,","1.8",",,,N","0","3,,,N"
"US1FLHB0140","2021-06","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","17",",N","10",",N","6",",N","","","","","20210625",",,N","","","100.1",",,N,25,","391.8",",,,N","",""
"US1FLHB0140","2021-07","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","20",",N","15",",N","8",",N","","","","","20210707",",,N","","","52.1",",,N,07,","366.4",",,,N","",""
"US1FLHB0140","2021-08","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","22",",N","12",",N","4",",N","","","","","20210805",",,N","","","77.5",",,N,05,","260.9",",,,N","",""
"US1FLHB0140","2021-09","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","20",",N","12",",N","3",",N","","","","","20210902",",,N","","","38.4",",,N,02,","190.0",",,,N","",""
"US1FLHB0140","2021-10","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","9",",N","5",",N","1",",N","","","","","20211025",",,N","","","32.3",",,N,25,","71.9",",,,N","",""
"US1FLHB0140","2021-11","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","8",",N","4",",N","1",",N","","","","","20211106",",,N","","","75.7",",,N,06,","101.5",",,,N","",""
"US1FLHB0140","2021-12","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","4",",N","4",",N","0",",N","","","","","20211222",",,N","","","15.2",",,N,22,","26.3",",,,N","",""
"US1FLHB0140","2022-01","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","8",",N","4",",N","0",",N","","","","","20220126",",,N","","","21.6",",,N,26,","45.6",",,,N","",""
"US1FLHB0140","2022-02","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","7",",N","1",",N","0",",N","","","","","20220209",",,N","","","9.9",",,N,09,","15.1",",,,N","",""
"US1FLHB0140","2022-03","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","7",",N","5",",N","2",",N","","","","","20220325",",,N","","","50.5",",,N,25,","108.6",",,,N","",""
"US1FLHB0140","2022-04","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","7",",N","6",",N","4",",N","","","","","20220430",",,N","","","60.2",",,N,30,","203.0",",,,N","",""
"US1FLHB0140","2022-05","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","11",",N","6",",N","1",",N","","","","","20220501",",,N","","","47.2",",,N,01,","98.1",",,,N","",""
"US1FLHB0140","2022-06","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","15",",N","10",",N","1",",N","","","","","20220611",",,N","","","26.2",",,N,11,","125.4",",,,N","",""
"US1FLHB0140","2022-07","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","17",",N","12",",N","4",",N","","","","","20220701",",,N","","","44.5",",,N,01,","211.8",",,,N","",""
"US1FLHB0140","2022-08","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","18",",N","10",",N","1",",N","","","","","20220810",",,N","","","35.8",",,N,10,","136.4",",,,N","",""
"US1FLHB0140","2022-09","28.086432","-82.515349","18.0","GREATER NORTHDALE 1.2 S, FL US","19",",N","15",",N","5",",N","","","","","20220902",",,N","","","82.3",",,N,02,","348.1",",,,N","",""
