"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLMD0049","2016-07","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","16",",N","5",",N","0",",N","","","","","20160716",",,N","","","15.5",",,N,16,","53.2",",,,N","",""
"US1FLMD0049","2016-08","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","20",",N","18",",N","2",",N","","","","","20160803",",,N","","","90.9",",,N,03,","258.9",",,,N","",""
"US1FLMD0049","2016-09","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","15",",N","9",",N","1",",N","","","","","20160905",",,N","","","25.9",",,N,05,","122.0",",,,N","",""
"US1FLMD0049","2016-10","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","18",",N","12",",N","3",",N","","","","","20161001",",,N","","","47.5",",,N,01,","213.0",",,,N","",""
"US1FLMD0049","2016-11","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","8",",N","3",",N","0",",N","","","","","20161104",",,N","","","11.4",",,N,04,","29.1",",,,N","",""
"US1FLMD0049","2016-12","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","6",",N","5",",N","0",",N","","","","","20161211",",,N","","","19.8",",,N,11,","57.7",",,,N","",""
"US1FLMD0049","2017-01","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","10",",N","5",",N","0",",N","","","","","20170104",",,N","","","16.5",",,N,04,","53.0",",,,N","",""
"US1FLMD0049","2017-02","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","2",",N","1",",N","1",",N","0","3,N","20170228","+,3,N","20170223",",,N","0","3,,N,28,+","29.7",",,N,23,","30.0",",,,N","0","3,,,N"
"US1FLMD0049","2017-04","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","9",",N","4",",N","2",",N","","","","","20170424",",,N","","","49.8",",,N,24,","108.0",",,,N","",""
"US1FLMD0049","2017-05","25.560043","-80.357536","2.1","CUTLER RIDGE 1.7 SSW, FL US","8","4,N","7","4,N","0","4,N","","","","","20170503",",4,N","","","11.2","4,,N,03,","50.5","4,,,N","",""
