"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1FLSL0058","2023-04","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","18",",N","12",",N","2",",N","20230425",",,N","83.3",",,N,25,","251.9",",,,N"
"US1FLSL0058","2023-05","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","9","2,N","8","2,N","4","2,N","20230527",",2,N","60.5","2,,N,27,","188.5","2,,,N"
"US1FLSL0058","2023-06","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","21","1,N","13","1,N","1","1,N","20230626",",1,N","88.9","1,,N,26,","232.8","1,,,N"
"US1FLSL0058","2023-08","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","20","2,N","15","2,N","3","2,N","20230814",",2,N","45.0","2,,N,14,","243.2",",a,,N"
"US1FLSL0058","2023-09","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","14","4,N","10","4,N","3","4,N","20230927",",4,N","83.6","4,,N,27,","227.3","1,a,,N"
"US1FLSL0058","2023-10","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","","","","","","","","","","","136.2","2,a,,N"
"US1FLSL0058","2023-12","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","13","2,N","7","2,N","1","2,N","20231217",",2,N","72.6","2,,N,17,","115.0",",a,,N"
"US1FLSL0058","2024-01","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","","","","","","","","","","","126.7","1,a,,N"
"US1FLSL0058","2024-02","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","","","","","","","","","","","57.3","2,a,,N"
"US1FLSL0058","2024-03","27.3475361","-80.3638205","5.5","PORT ST. LUCIE 4.7 N, FL US","","","","","","","","","","","39.5","4,a,,N"
