"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1FLSS0073","2021-05","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","","","","","","","","","","","15.2","4,a,,N"
"US1FLSS0073","2021-06","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","18","2,N","14","2,N","4","2,N","20210625",",2,N","53.3","2,,N,25,","273.1",",a,,N"
"US1FLSS0073","2021-07","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","16","1,N","12","1,N","2","1,N","20210707",",1,N","50.5","1,,N,07,","170.9","1,,,N"
"US1FLSS0073","2021-08","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","","","","","","","","","","","250.0","2,a,,N"
"US1FLSS0073","2021-09","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","17","1,N","13","1,N","1","1,N","20210903",",1,N","33.8","1,,N,03,","139.6","1,,,N"
"US1FLSS0073","2021-10","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","5","5,N","3","5,N","1","5,N","20211029",",5,N","62.7","5,,N,29,","86.3","3,a,,N"
"US1FLSS0073","2021-11","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","6","3,N","3","3,N","1","3,N","20211106",",3,N","40.6","3,,N,06,","57.9","3,,,N"
"US1FLSS0073","2022-01","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","5","5,N","3","5,N","0","5,N","20220116",",5,N","17.3","5,,N,16,","28.2","5,,,N"
"US1FLSS0073","2022-03","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","5","4,N","2","4,N","0","4,N","20220316",",4,N","8.4","4,,N,16,","28.2","2,a,,N"
"US1FLSS0073","2022-04","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","6","4,N","3","4,N","0","4,N","20220430",",4,N","18.0","4,,N,30,","42.4","4,,,N"
"US1FLSS0073","2022-05","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","11",",N","6",",N","2",",N","20220507",",,N","35.3",",,N,07,","116.6",",,,N"
"US1FLSS0073","2022-07","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","15","5,N","14","5,N","2","5,N","20220715",",5,N","77.7","5,,N,15,","236.5","1,a,,N"
"US1FLSS0073","2022-08","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","16","3,N","14","3,N","3","3,N","20220826",",3,N","35.8","3,,N,26,","197.6","1,a,,N"
"US1FLSS0073","2022-09","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","15","2,N","14","2,N","5","2,N","20220929",",2,N","156.2","2,,N,29,","436.4","2,,,N"
"US1FLSS0073","2022-11","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","","","","","","","","","","","138.7","2,a,,N"
"US1FLSS0073","2023-01","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","","","","","","","","","","","30.7","4,a,,N"
"US1FLSS0073","2023-02","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","","","","","","","","","","","4.0","3,a,,N"
"US1FLSS0073","2023-03","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","","","","","","","","","","","13.2","3,a,,N"
"US1FLSS0073","2023-04","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","","","","","","","","","","","74.2","1,a,,N"
"US1FLSS0073","2023-05","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","6","2,N","5","2,N","2","2,N","20230525",",2,N","77.2","2,,N,25,","156.0",",a,,N"
"US1FLSS0073","2023-08","27.319344","-82.408625","14.3","SARASOTA SPRINGS 4.4 E, FL US","13","2,N","12","2,N","2","2,N","20230831",",2,N","96.3","2,,N,31,","251.5","2,,,N"
