"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1GACT0070","2014-06","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","17",",N","11",",N","1",",N","","","","","20140624",",,N","","","82.0",",,N,24,","176.0",",,,N","",""
"US1GACT0070","2014-08","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","11","1,N","7","1,N","2","1,N","","","","","20140809",",1,N","","","59.9","1,,N,09,","128.0","1,,,N","",""
"US1GACT0070","2014-09","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","16","5,N","7","5,N","2","5,N","","","","","20140916",",5,N","","","34.3","5,,N,16,","196.1",",a,,N","",""
"US1GACT0070","2014-10","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","4",",N","3",",N","0",",N","","","","","20141015",",,N","","","24.4",",,N,15,","54.2",",,,N","",""
"US1GACT0070","2014-11","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","6",",N","5",",N","1",",N","","","","","20141125",",,N","","","55.6",",,N,25,","132.3",",,,N","",""
"US1GACT0070","2014-12","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","10",",N","6",",N","1",",N","","","","","20141224",",,N","","","36.6",",,N,24,","104.8",",,,N","",""
"US1GACT0070","2015-01","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","14",",N","4",",N","1",",N","","","","","20150124",",,N","","","41.9",",,N,24,","96.8",",,,N","",""
"US1GACT0070","2015-02","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","12","1,N","5","1,N","1","1,N","","","","","20150226",",1,N","","","51.8","1,,N,26,","96.8","1,,,N","",""
"US1GACT0070","2015-03","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","16",",N","6",",N","0",",N","","","","","20150323",",,N","","","15.0",",,N,23,","62.4",",,,N","",""
"US1GACT0070","2015-04","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","15",",N","8",",N","2",",N","","","","","20150426",",,N","","","77.2",",,N,26,","165.3",",,,N","",""
"US1GACT0070","2015-06","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","15",",N","8",",N","1",",N","","","","","20150601",",,N","","","49.0",",,N,01,","152.2",",,,N","",""
"US1GACT0070","2015-07","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","12",",N","6",",N","2",",N","","","","","20150706",",,N","","","45.2",",,N,06,","134.2",",,,N","",""
"US1GACT0070","2015-08","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","18",",N","12",",N","0",",N","","","","","20150803",",,N","","","17.5",",,N,03,","116.1",",,,N","",""
"US1GACT0070","2015-09","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","20",",N","10",",N","2",",N","","","","","20150909",",,N","","","33.3",",,N,09,","110.7",",,,N","",""
"US1GACT0070","2015-10","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","13",",N","6",",N","0",",N","","","","","20151002",",,N","","","22.4",",,N,02,","72.1",",,,N","",""
"US1GACT0070","2015-11","32.107819","-81.251111","6.4","POOLER 0.4 ENE, GA US","11",",N","6",",N","1",",N","","","","","20151104",",,N","","","32.3",",,N,04,","91.5",",,,N","",""
