"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1GADG0003","2009-11","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","8","1,N","6","1,N","1","1,N","","","","","20091111",",1,N","","","38.1","1,,N,11,","87.3","1,,,N","",""
"US1GADG0003","2009-12","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","15","2,N","11","2,N","4","2,N","","","","","20091215",",2,N","","","86.4","2,,N,15,","304.9","2,,,N","",""
"US1GADG0003","2010-01","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","7","2,N","7","2,N","4","2,N","","","","","20100117",",2,N","","","49.0","2,,N,17,","186.7","2,,,N","",""
"US1GADG0003","2010-02","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","9",",N","5",",N","1",",N","","","","","20100206",",,N","","","30.0",",,N,06,","68.9",",,,N","",""
"US1GADG0003","2010-03","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","10","3,N","7","3,N","1","3,N","","","","","20100312",",3,N","","","25.4","3,,N,12,","68.6","3,,,N","",""
"US1GADG0003","2010-04","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","4","1,N","4","1,N","0","1,N","0","5,N","20100430","+,5,N","20100425",",1,N","0","5,,N,30,+","22.4","1,,N,25,","49.9","1,,,N","0","5,,,N"
"US1GADG0003","2010-06","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","14",",N","6",",N","1",",N","","","","","20100601",",,N","","","27.7",",,N,01,","91.2",",,,N","",""
"US1GADG0003","2010-07","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","11","4,N","4","4,N","0","4,N","","","","","20100713",",4,N","","","16.8","4,,N,13,","52.7","4,,,N","",""
"US1GADG0003","2010-08","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","16",",N","9",",N","2",",N","","","","","20100823",",,N","","","49.5",",,N,23,","171.6",",,,N","",""
"US1GADG0003","2010-09","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","5",",N","3",",N","1",",N","0","5,N","20100930","+,5,N","20100927",",,N","0","5,,N,30,+","46.2",",,N,27,","81.5",",,,N","0","5,,,N"
"US1GADG0003","2010-10","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","4","2,N","3","2,N","0","2,N","","","","","20101028",",2,N","","","7.6","2,,N,28,","22.1","2,,,N","",""
"US1GADG0003","2010-11","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","5","1,N","5","1,N","0","1,N","","","","","20101117",",1,N","","","19.1","1,,N,17,","47.8","1,,,N","",""
"US1GADG0003","2010-12","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","6",",N","5",",N","0",",N","","","","","20101218",",,N","","","19.1",",,N,18,","44.8",",,,N","",""
"US1GADG0003","2011-01","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","9",",N","9",",N","1",",N","","","","","20110126",",,N","","","27.9",",,N,26,","117.1",",,,N","",""
"US1GADG0003","2011-02","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","7","2,N","5","2,N","2","2,N","","","","","20110202",",2,N","","","64.0","2,,N,02,","159.7","2,,,N","",""
"US1GADG0003","2011-03","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","10",",N","5",",N","2",",N","","","","","20110328",",,N","","","46.2",",,N,28,","126.0",",,,N","",""
"US1GADG0003","2011-04","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","4",",N","2",",N","0",",N","0","4,N","20110430","+,4,N","20110405",",,N","0","4,,N,30,+","21.1",",,N,05,","31.1",",,,N","0","4,,,N"
"US1GADG0003","2011-05","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","5",",N","4",",N","0",",N","0","5,N","20110531","+,5,N","20110527",",,N","0","5,,N,31,+","7.9",",,N,27,","25.5",",,,N","0","5,,,N"
"US1GADG0003","2011-06","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","8","2,N","4","2,N","1","2,N","","","","","20110616",",2,N","","","59.9","2,,N,16,","98.3","2,,,N","",""
"US1GADG0003","2011-07","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","9","1,N","7","1,N","2","1,N","","","","","20110716",",1,N","","","39.9","1,,N,16,","130.8","1,,,N","",""
"US1GADG0003","2011-08","32.249733","-83.141417","81.7","EASTMAN 4.3 NNE, GA US","7","3,N","6","3,N","0","3,N","","","","","20110805",",3,N","","","9.4","3,,N,05,","33.1","3,,,N","",""
