"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1GADK0049","2017-09","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","8",",N","5",",N","1",",N","","","","","20170912",",,N","","","85.9",",,N,12,","116.3",",,,N","",""
"US1GADK0049","2017-10","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","6","1,N","4","1,N","0","1,N","","","","","20171029",",1,N","","","17.8","1,,N,29,","38.7","1,,,N","",""
"US1GADK0049","2017-11","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","9",",N","3",",N","1",",N","","","","","20171105",",,N","","","36.1",",,N,05,","55.0",",,,N","",""
"US1GADK0049","2017-12","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","13",",N","8",",N","2",",N","","","","","20171221",",,N","","","33.3",",,N,21,","95.9",",,,N","",""
"US1GADK0049","2018-01","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","8",",N","7",",N","1",",N","","","","","20180129",",,N","","","30.0",",,N,29,","83.9",",,,N","",""
"US1GADK0049","2018-02","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","16",",N","7",",N","1",",N","","","","","20180208",",,N","","","26.4",",,N,08,","131.6",",,,N","",""
"US1GADK0049","2018-03","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","14",",N","12",",N","0",",N","","","","","20180320",",,N","","","24.1",",,N,20,","128.2",",,,N","",""
"US1GADK0049","2018-04","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","11",",N","7",",N","2",",N","","","","","20180424",",,N","","","52.1",",,N,24,","130.2",",,,N","",""
"US1GADK0049","2018-05","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","13","1,N","8","1,N","0","1,N","","","","","20180529",",1,N","","","24.4","1,,N,29,","108.5","1,,,N","",""
"US1GADK0049","2018-06","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","12",",N","8",",N","1",",N","","","","","20180612",",,N","","","43.9",",,N,12,","148.3",",,,N","",""
"US1GADK0049","2018-08","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","12",",N","9",",N","3",",N","","","","","20180803",",,N","","","33.3",",,N,03,","149.0",",,,N","",""
"US1GADK0049","2018-09","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","9",",N","6",",N","1",",N","","","","","20180927",",,N","","","28.7",",,N,27,","78.0",",,,N","",""
"US1GADK0049","2018-10","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","9",",N","3",",N","1",",N","","","","","20181011",",,N","","","84.3",",,N,11,","112.6",",,,N","",""
"US1GADK0049","2018-11","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","18",",N","12",",N","2",",N","","","","","20181113",",,N","","","62.7",",,N,13,","188.6",",,,N","",""
"US1GADK0049","2018-12","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","17",",N","12",",N","5",",N","","","","","20181228",",,N","","","90.2",",,N,28,","318.2",",,,N","",""
"US1GADK0049","2019-01","33.76714","-84.25896","305.7","AVONDALE ESTATES 0.4 ESE, GA US","10",",N","9",",N","1",",N","","","","","20190124",",,N","","","45.2",",,N,24,","153.6",",,,N","",""
