"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1IAWP0013","2023-02","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","6","2,N","6","2,N","0","2,N","3","4,N","20230217",",4,N","20230227",",2,N","142","4,,N,17,","23.1","2,,N,27,","78.0","2,,,N","259","4,,,N"
"US1IAWP0013","2023-03","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","7","2,N","6","2,N","0","2,N","2","4,N","20230312","+,4,N","20230325",",2,N","38","4,,N,12,+","14.0","2,,N,25,","52.8","2,,,N","115","4,,,N"
"US1IAWP0013","2023-04","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","8","4,N","6","4,N","0","4,N","","","","","20230420",",4,N","","","24.1","4,,N,20,","62.6","4,,,N","",""
"US1IAWP0013","2023-05","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","4","3,N","2","3,N","0","3,N","","","","","20230512",",3,N","","","10.9","3,,N,12,","22.9","3,,,N","",""
"US1IAWP0013","2023-06","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","9","5,N","8","5,N","0","5,N","","","","","20230619",",5,N","","","24.4","5,,N,19,","79.7","5,,,N","",""
"US1IAWP0013","2023-07","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","9",",N","7",",N","0",",N","","","","","20230729",",,N","","","15.5",",,N,29,","81.4",",,,N","",""
"US1IAWP0013","2023-08","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","9","3,N","6","3,N","0","3,N","","","","","20230807",",3,N","","","24.6","3,,N,07,","59.9","3,,,N","",""
"US1IAWP0013","2023-09","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","6","2,N","4","2,N","0","2,N","","","","","20230911",",2,N","","","20.1","2,,N,11,","37.3","2,,,N","",""
"US1IAWP0013","2023-10","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","10","3,N","6","3,N","0","3,N","","","","","20231026",",3,N","","","18.5","3,,N,26,","55.7","3,,,N","",""
"US1IAWP0013","2023-11","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","4","1,N","2","1,N","0","1,N","1","3,N","20231126",",3,N","20231121",",1,N","36","3,,N,26,","8.4","1,,N,21,","15.0","1,,,N","56","3,,,N"
"US1IAWP0013","2023-12","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","12",",N","10",",N","0",",N","","","","","20231223",",,N","","","18.8",",,N,23,","69.4",",,,N","",""
"US1IAWP0013","2024-01","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","11","3,N","8","3,N","1","3,N","","","","","20240110",",3,N","","","26.7","3,,N,10,","110.9","3,,,N","",""
"US1IAWP0013","2024-02","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","2","1,N","0","1,N","0","1,N","1","2,N","20240217",",2,N","20240215",",1,N","25","2,,N,17,","2.0","1,,N,15,","3.5","1,,,N","25","2,,,N"
"US1IAWP0013","2024-03","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","7",",N","5",",N","0",",N","","","","","20240314",",,N","","","23.9",",,N,14,","53.6",",,,N","",""
"US1IAWP0013","2024-04","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","13",",N","11",",N","2",",N","","","","","20240428",",,N","","","39.9",",,N,28,","201.5",",,,N","",""
"US1IAWP0013","2024-05","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","16",",N","12",",N","1",",N","","","","","20240503",",,N","","","70.9",",,N,03,","164.3",",,,N","",""
"US1IAWP0013","2024-06","41.033208","-92.380738","248.1","OTTUMWA 2.2 ENE, IA US","10",",N","5",",N","1",",N","","","","","20240629",",,N","","","26.9",",,N,29,","51.9",",,,N","",""
