"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILKN0086","2011-06","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","12","3,N","6","3,N","1","3,N","","","","","20110609",",3,N","","","72.4","3,,N,09,","142.8",",a,,N","",""
"US1ILKN0086","2011-07","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","10",",N","6",",N","2",",N","","","","","20110723",",,N","","","40.9",",,N,23,","125.1",",,,N","",""
"US1ILKN0086","2011-08","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","11","2,N","9","2,N","3","2,N","","","","","20110821",",2,N","","","41.1","2,,N,21,","159.7","2,,,N","",""
"US1ILKN0086","2011-11","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","12",",N","6",",N","1",",N","","","","","20111109",",,N","","","28.7",",,N,09,","89.7",",,,N","",""
"US1ILKN0086","2012-04","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","10","1,N","6","1,N","0","1,N","","","","","20120415",",1,N","","","25.1","1,,N,15,","67.0","1,,,N","",""
"US1ILKN0086","2012-05","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","10","1,N","4","1,N","0","1,N","","","","","20120507",",1,N","","","20.6","1,,N,07,","40.1","1,,,N","",""
"US1ILKN0086","2012-06","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","3",",N","3",",N","2",",N","0","4,N","20120630","+,4,N","20120601",",,N","0","4,,N,30,+","36.1",",,N,01,","71.4",",,,N","0","4,,,N"
"US1ILKN0086","2012-07","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","10",",N","4",",N","0",",N","","","","","20120724",",,N","","","14.0",",,N,24,","34.3",",,,N","",""
"US1ILKN0086","2012-08","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","10","1,N","6","1,N","0","1,N","","","","","20120805",",1,N","","","12.2","1,,N,05,","50.5","1,,,N","",""
"US1ILKN0086","2012-09","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","8",",N","5",",N","0",",N","","","","","20120918",",,N","","","16.8",",,N,18,","43.0",",,,N","",""
"US1ILKN0086","2012-10","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","13",",N","10",",N","1",",N","","","","","20121018",",,N","","","29.2",",,N,18,","101.9",",,,N","",""
"US1ILKN0086","2013-05","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","13",",N","9",",N","0",",N","","","","","20130523",",,N","","","19.3",",,N,23,","99.8",",,,N","",""
"US1ILKN0086","2013-06","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","15",",N","8",",N","1",",N","","","","","20130622",",,N","","","35.3",",,N,22,","86.1",",,,N","",""
"US1ILKN0086","2013-07","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","11",",N","8",",N","1",",N","","","","","20130709",",,N","","","27.9",",,N,09,","81.4",",,,N","",""
"US1ILKN0086","2013-08","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","9",",N","5",",N","0",",N","","","","","20130831",",,N","","","20.6",",,N,31,","55.2",",,,N","",""
"US1ILKN0086","2013-09","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","9",",N","5",",N","0",",N","","","","","20130916",",,N","","","21.6",",,N,16,","67.3",",,,N","",""
"US1ILKN0086","2013-10","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","13",",N","7",",N","0",",N","","","","","20131031",",,N","","","18.5",",,N,31,","56.3",",,,N","",""
"US1ILKN0086","2014-05","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","15","1,N","9","1,N","0","1,N","","","","","20140528",",1,N","","","22.6","1,,N,28,","91.8","1,,,N","",""
"US1ILKN0086","2014-06","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","16",",N","10",",N","4",",N","","","","","20140622",",,N","","","38.1",",,N,22,","190.9",",,,N","",""
"US1ILKN0086","2014-07","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","11","2,N","8","2,N","1","2,N","","","","","20140701",",2,N","","","67.8","2,,N,01,","153.8",",a,,N","",""
"US1ILKN0086","2014-08","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","14",",N","8",",N","2",",N","","","","","20140821",",,N","","","45.5",",,N,21,","140.1",",,,N","",""
"US1ILKN0086","2014-09","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","7","2,N","5","2,N","0","2,N","","","","","20140910",",2,N","","","23.4","2,,N,10,","85.7",",a,,N","",""
"US1ILKN0086","2014-10","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","11",",N","5",",N","1",",N","","","","","20141003",",,N","","","29.5",",,N,03,","78.7",",,,N","",""
"US1ILKN0086","2015-04","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","11",",N","8",",N","0",",N","","","","","20150409",",,N","","","21.3",",,N,09,","94.0",",,,N","",""
"US1ILKN0086","2015-06","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","15","4,N","10","4,N","2","4,N","","","","","20150616",",4,N","","","62.7","4,,N,16,","199.5","4,,,N","",""
"US1ILKN0086","2015-07","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","9",",N","6",",N","1",",N","","","","","20150707",",,N","","","63.2",",,N,07,","111.4",",,,N","",""
"US1ILKN0086","2015-08","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","9",",N","6",",N","0",",N","","","","","20150819",",,N","","","16.5",",,N,19,","69.5",",,,N","",""
"US1ILKN0086","2015-09","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","7",",N","4",",N","1",",N","","","","","20150919",",,N","","","30.0",",,N,19,","86.3",",,,N","",""
"US1ILKN0086","2015-10","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","8",",N","5",",N","0",",N","","","","","20151024",",,N","","","17.0",",,N,24,","46.5",",,,N","",""
"US1ILKN0086","2015-11","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","9","3,N","6","3,N","1","3,N","","","","","20151118",",3,N","","","50.0","3,,N,18,","112.9","3,,,N","",""
"US1ILKN0086","2015-12","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","13","3,N","10","3,N","2","3,N","","","","","20151214",",3,N","","","43.4","3,,N,14,","167.3",",a,,N","",""
"US1ILKN0086","2016-03","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","12","5,N","6","5,N","0","5,N","","","","","20160325",",5,N","","","21.6","5,,N,25,","82.8","5,,,N","",""
"US1ILKN0086","2016-04","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","16",",N","7",",N","0",",N","","","","","20160428",",,N","","","23.4",",,N,28,","81.9",",,,N","",""
"US1ILKN0086","2016-06","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","8","3,N","3","3,N","1","3,N","","","","","20160615",",3,N","","","33.0","3,,N,15,","78.8","1,a,,N","",""
"US1ILKN0086","2016-07","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","9",",N","8",",N","2",",N","","","","","20160729",",,N","","","35.8",",,N,29,","145.2",",,,N","",""
"US1ILKN0086","2016-08","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","13",",N","8",",N","0",",N","","","","","20160805",",,N","","","16.8",",,N,05,","97.3",",,,N","",""
"US1ILKN0086","2016-09","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","10","2,N","5","2,N","0","2,N","","","","","20160922",",2,N","","","13.2","2,,N,22,","62.2",",a,,N","",""
"US1ILKN0086","2016-10","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","15",",N","8",",N","1",",N","","","","","20161027",",,N","","","33.3",",,N,27,","92.3",",,,N","",""
"US1ILKN0086","2016-11","42.000521","-88.424628","280.1","ELGIN 7.5 WSW, IL US","7","3,N","4","3,N","0","3,N","","","","","20161129",",3,N","","","21.8","3,,N,29,","72.1",",a,,N","",""
