"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILWD0005","2007-05","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","6",",N","4",",N","0",",N","","","0",",N","","","20070531","+,,N","20070527",",,N","","","0",",,N,31,+","21.8",",,N,27,","35.7",",,,N","0",",,,N"
"US1ILWD0005","2007-06","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","13",",N","10",",N","1",",N","0","5,N","0",",N","20070630","+,5,N","20070630","+,,N","20070602",",,N","0","5,,N,30,+","0",",,N,30,+","32.0",",,N,02,","137.5",",,,N","0",",,,N"
"US1ILWD0005","2007-07","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","9","1,N","5","1,N","3","1,N","","","0","1,N","","","20070731","+,1,N","20070704",",1,N","","","0","1,,N,31,+","37.8","1,,N,04,","135.4","1,,,N","0","1,,,N"
"US1ILWD0005","2007-08","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","19",",N","9",",N","2",",N","","","0",",N","","","20070831","+,,N","20070824",",,N","","","0",",,N,31,+","41.4",",,N,24,","149.5",",,,N","0",",,,N"
"US1ILWD0005","2007-09","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","6","1,N","4","1,N","0","1,N","","","0","1,N","","","20070930","+,1,N","20070907",",1,N","","","0","1,,N,30,+","10.2","1,,N,07,","24.4","1,,,N","0","1,,,N"
"US1ILWD0005","2007-10","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","9",",N","4",",N","0",",N","","","0",",N","","","20071031","+,,N","20071018",",,N","","","0",",,N,31,+","17.0",",,N,18,","42.6",",,,N","0",",,,N"
"US1ILWD0005","2007-11","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","3",",N","2",",N","0",",N","","","0",",N","","","20071122",",,N","20071122",",,N","","","5",",,N,22,","6.9",",,N,22,","12.2",",,,N","5",",,,N"
"US1ILWD0005","2007-12","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","14",",N","10",",N","0",",N","","","7",",N","","","20071229",",,N","20071202",",,N","","","173",",,N,29,","16.5",",,N,02,","90.4",",,,N","542",",,,N"
"US1ILWD0005","2008-01","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","13",",N","5",",N","0",",N","","","5",",N","","","20080122",",,N","20080122",",,N","","","165",",,N,22,","11.4",",,N,22,","51.9",",,,N","372",",,,N"
"US1ILWD0005","2008-02","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","13",",N","10",",N","0",",N","29",",N","9",",N","20080208","+,,N","20080207",",,N","20080217",",,N","305",",,N,08,+","157",",,N,07,","22.1",",,N,17,","104.2",",,,N","741",",,,N"
"US1ILWD0005","2008-03","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","7",",N","5",",N","0",",N","","","0",",N","","","20080328","+,,N","20080303",",,N","","","0",",T,N,28,+","16.0",",,N,03,","35.8",",,,N","0",",T,,N"
"US1ILWD0005","2008-04","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","17",",N","9",",N","1",",N","","","0",",N","","","20080430","+,,N","20080409",",,N","","","0",",,N,30,+","25.4",",,N,09,","126.0",",,,N","0",",,,N"
"US1ILWD0005","2008-05","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","14",",N","9",",N","2",",N","","","0",",N","","","20080531","+,,N","20080526",",,N","","","0",",,N,31,+","66.0",",,N,26,","137.7",",,,N","0",",,,N"
"US1ILWD0005","2008-06","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","14",",N","9",",N","1",",N","","","0",",N","","","20080630","+,,N","20080613",",,N","","","0",",,N,30,+","33.0",",,N,13,","111.0",",,,N","0",",,,N"
"US1ILWD0005","2008-07","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","13",",N","7",",N","0",",N","","","0",",N","","","20080731","+,,N","20080712",",,N","","","0",",,N,31,+","21.1",",,N,12,","103.0",",,,N","0",",,,N"
"US1ILWD0005","2008-08","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","9",",N","6",",N","0",",N","","","0",",N","","","20080831","+,,N","20080805",",,N","","","0",",,N,31,+","22.4",",,N,05,","51.2",",,,N","0",",,,N"
"US1ILWD0005","2008-09","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","11",",N","8",",N","3",",N","","","0",",N","","","20080930","+,,N","20080913",",,N","","","0",",,N,30,+","62.0",",,N,13,","191.9",",,,N","0",",,,N"
"US1ILWD0005","2008-10","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","9",",N","5",",N","1",",N","","","0",",N","","","20081031","+,,N","20081008",",,N","","","0",",,N,31,+","26.7",",,N,08,","54.9",",,,N","0",",,,N"
"US1ILWD0005","2008-11","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","9",",N","6",",N","0",",N","","","0",",N","","","20081130",",,N","20081114",",,N","","","20",",,N,30,","8.6",",,N,14,","40.9",",,,N","20",",,,N"
"US1ILWD0005","2008-12","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","14",",N","11",",N","0",",N","","","8","2,N","","","20081217",",2,N","20081228",",,N","","","107","2,,N,17,","24.4",",,N,28,","105.3",",,,N","476","2,,,N"
"US1ILWD0005","2009-01","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","12",",N","4",",N","0",",N","","","6","1,N","","","20090113",",1,N","20090104",",,N","","","74","1,,N,13,","5.1",",,N,04,","22.4",",,,N","325","1,,,N"
"US1ILWD0005","2009-02","41.816004","-89.904","224.0","MORRISON 3.2 E, IL US","9",",N","5",",N","1",",N","","","2","5,N","","","20090221",",5,N","20090227",",,N","","","56","5,,N,21,","29.2",",,N,27,","54.1",",,,N","122","5,,,N"
