"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1INJY0023","2021-05","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","13",",N","10",",N","2",",N","20210509",",,N","32.3",",,N,09,","111.5",",,,N"
"US1INJY0023","2021-06","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","11",",N","6",",N","1",",N","20210619",",,N","36.6",",,N,19,","81.8",",,,N"
"US1INJY0023","2021-07","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","13",",N","7",",N","2",",N","20210717",",,N","32.5",",,N,17,","118.9",",,,N"
"US1INJY0023","2021-08","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","9",",N","4",",N","1",",N","20210830",",,N","62.0",",,N,30,","78.9",",,,N"
"US1INJY0023","2021-09","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","11",",N","6",",N","3",",N","20210915",",,N","48.3",",,N,15,","141.3",",,,N"
"US1INJY0023","2021-10","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","18",",N","10",",N","2",",N","20211025",",,N","67.3",",,N,25,","171.0",",,,N"
"US1INJY0023","2022-03","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","12",",N","8",",N","2",",N","20220307",",,N","34.8",",,N,07,","107.3",",,,N"
"US1INJY0023","2022-04","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","19","2,N","7","2,N","0","2,N","20220425",",2,N","15.0","2,,N,25,","77.4",",a,,N"
"US1INJY0023","2022-05","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","12",",N","9",",N","1",",N","20220504",",,N","26.4",",,N,04,","126.4",",,,N"
"US1INJY0023","2022-06","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","7",",N","5",",N","0",",N","20220609",",,N","18.3",",,N,09,","45.9",",,,N"
"US1INJY0023","2022-07","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","12",",N","9",",N","0",",N","20220728",",,N","22.9",",,N,28,","152.9",",,,N"
"US1INJY0023","2022-08","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","11",",N","6",",N","0",",N","20220829",",,N","18.3",",,N,29,","48.1",",,,N"
"US1INJY0023","2022-09","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","7","3,N","3","3,N","1","3,N","20220912",",3,N","27.9","3,,N,12,","42.1",",a,,N"
"US1INJY0023","2022-10","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","5",",N","2",",N","0",",N","20221031",",,N","9.9",",,N,31,","23.1",",,,N"
"US1INJY0023","2023-04","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","10",",N","6",",N","0",",N","20230430",",,N","14.0",",,N,30,","73.9",",,,N"
"US1INJY0023","2023-08","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","7",",N","5",",N","0",",N","20230810",",,N","21.3",",,N,10,","65.0",",,,N"
"US1INJY0023","2023-09","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","6",",N","3",",N","1",",N","20230928",",,N","33.5",",,N,28,","45.2",",,,N"
"US1INJY0023","2023-10","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","12",",N","9",",N","1",",N","20231014",",,N","27.4",",,N,14,","97.0",",,,N"
"US1INJY0023","2023-11","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","7",",N","4",",N","0",",N","20231117",",,N","11.4",",,N,17,","31.1",",,,N"
"US1INJY0023","2024-03","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","8",",N","3",",N","1",",N","20240315",",,N","29.2",",,N,15,","42.7",",,,N"
"US1INJY0023","2024-04","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","18",",N","13",",N","3",",N","20240411",",,N","47.8",",,N,11,","202.5",",,,N"
"US1INJY0023","2024-05","40.34238","-85.144846","295.4","REDKEY 0.6 SE, IN US","11",",N","6",",N","0",",N","20240527",",,N","23.4",",,N,27,","60.2",",,,N"
