"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSCQ0003","2021-01","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","9",",N","5",",N","3",",N","","","","","20210125",",,N","","","36.3",",,N,25,","108.2",",,,N","",""
"US1KSCQ0003","2021-02","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","7",",N","4",",N","0",",N","3","5,N","20210217",",5,N","20210217",",,N","97","5,,N,17,","8.4",",,N,17,","26.8",",,,N","263","5,,,N"
"US1KSCQ0003","2021-03","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","15",",N","6",",N","3",",N","","","","","20210313",",,N","","","50.0",",,N,13,","153.0",",,,N","",""
"US1KSCQ0003","2021-04","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","8",",N","4",",N","0",",N","","","","","20210410",",,N","","","14.2",",,N,10,","46.8",",,,N","",""
"US1KSCQ0003","2021-05","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","18",",N","10",",N","2",",N","","","","","20210528",",,N","","","40.1",",,N,28,","161.7",",,,N","",""
"US1KSCQ0003","2021-07","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","7","1,N","7","1,N","3","1,N","","","","","20210711",",1,N","","","51.8","1,,N,11,","135.5","1,,,N","",""
"US1KSCQ0003","2021-08","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","8",",N","4",",N","1",",N","","","","","20210816",",,N","","","26.4",",,N,16,","48.7",",,,N","",""
"US1KSCQ0003","2021-09","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","4",",N","1",",N","0",",N","0","4,N","20210930","+,4,N","20210908",",,N","0","4,,N,30,+","2.5",",,N,08,","6.8",",,,N","0","4,,,N"
"US1KSCQ0003","2021-10","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","11",",N","8",",N","1",",N","","","","","20211011",",,N","","","66.3",",,N,11,","134.0",",,,N","",""
"US1KSCQ0003","2021-11","37.0406615","-96.0916452","264.9","PERU 2.8 S, KS US","4",",N","3",",N","0",",N","0","5,N","20211130","+,5,N","20211111",",,N","0","5,,N,30,+","8.1",",,N,11,","18.0",",,,N","0","5,,,N"
