"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSKW0013","2013-10","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","7","5,N","5","5,N","1","5,N","","","","","20131029",",5,N","","","33.8","5,,N,29,","62.2","5,,,N","",""
"US1KSKW0013","2013-11","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4","3,N","2","3,N","1","3,N","","","","","20131106",",3,N","","","26.7","3,,N,06,","31.6","3,,,N","",""
"US1KSKW0013","2013-12","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","2","4,N","1","4,N","0","4,N","2","5,N","20131222",",5,N","20131222",",4,N","107","5,,N,22,","8.6","4,,N,22,","10.1","4,,,N","137","5,,,N"
"US1KSKW0013","2014-02","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","6","2,N","3","2,N","0","2,N","3","4,N","20140205",",4,N","20140205",",2,N","140","4,,N,05,","10.7","2,,N,05,","20.6","2,,,N","270","4,,,N"
"US1KSKW0013","2014-03","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","3","2,N","2","2,N","0","2,N","","","","","20140303",",2,N","","","8.1","2,,N,03,","11.4","2,,,N","",""
"US1KSKW0013","2014-04","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5","5,N","1","5,N","0","5,N","","","","","20140414",",5,N","","","3.8","5,,N,14,","6.9","5,,,N","",""
"US1KSKW0013","2014-05","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5","2,N","3","2,N","0","2,N","","","","","20140508",",2,N","","","15.5","2,,N,08,","32.0","2,,,N","",""
"US1KSKW0013","2014-06","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","11","5,N","10","5,N","3","5,N","","","","","20140607",",5,N","","","41.9","5,,N,07,","215.4","5,,,N","",""
"US1KSKW0013","2014-07","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","9","4,N","4","4,N","2","4,N","","","","","20140730",",4,N","","","94.0","4,,N,30,","173.9","4,,,N","",""
"US1KSKW0013","2014-08","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","7","2,N","6","2,N","0","2,N","","","","","20140819",",2,N","","","24.9","2,,N,19,","72.8","2,,,N","",""
"US1KSKW0013","2014-09","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4","1,N","3","1,N","0","1,N","","","","","20140924",",1,N","","","8.4","1,,N,24,","19.4","1,,,N","",""
"US1KSKW0013","2014-10","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","7","2,N","7","2,N","1","2,N","","","","","20141010",",2,N","","","30.2","2,,N,10,","74.9","2,,,N","",""
"US1KSKW0013","2014-11","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","2","1,N","1","1,N","0","1,N","1","2,N","20141116",",2,N","20141116",",1,N","61","2,,N,16,","2.8","1,,N,16,","4.1","1,,,N","61","2,,,N"
"US1KSKW0013","2014-12","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","10",",N","3",",N","0",",N","","","","","20141205",",,N","","","15.7",",,N,05,","27.9",",,,N","",""
"US1KSKW0013","2015-01","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4","3,N","2","3,N","0","3,N","1","4,N","20150104",",4,N","20150131",",3,N","33","4,,N,04,","7.1","3,,N,31,","13.5","3,,,N","33","4,,,N"
"US1KSKW0013","2015-02","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","3","5,N","1","5,N","0","5,N","","","","","20150201",",5,N","","","5.8","5,,N,01,","10.4","5,,,N","",""
"US1KSKW0013","2015-03","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5","1,N","2","1,N","0","1,N","1","5,N","20150304",",5,N","20150326",",1,N","64","5,,N,04,","6.9","1,,N,26,","18.6","1,,,N","64","5,,,N"
"US1KSKW0013","2015-04","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","8","1,N","3","1,N","1","1,N","","","","","20150417",",1,N","","","48.8","1,,N,17,","75.7","1,,,N","",""
"US1KSKW0013","2015-05","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","15","2,N","11","2,N","1","2,N","","","","","20150524",",2,N","","","27.2","2,,N,24,","162.9","2,,,N","",""
"US1KSKW0013","2015-06","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","3","1,N","3","1,N","2","1,N","0","4,N","20150630","+,4,N","20150612",",1,N","0","4,,N,30,+","59.9","1,,N,12,","94.4","1,,,N","0","4,,,N"
"US1KSKW0013","2015-07","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","10",",N","6",",N","1",",N","","","","","20150730",",,N","","","51.8",",,N,30,","97.8",",,,N","",""
"US1KSKW0013","2015-08","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5","1,N","4","1,N","0","1,N","0","5,N","20150831","+,5,N","20150818",",1,N","0","5,,N,31,+","22.1","1,,N,18,","43.7","1,,,N","0","5,,,N"
"US1KSKW0013","2015-09","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","7","2,N","3","2,N","1","2,N","","","","","20150908",",2,N","","","36.1","2,,N,08,","51.9","2,,,N","",""
"US1KSKW0013","2015-10","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","9",",N","4",",N","0",",N","","","","","20151031",",,N","","","21.3",",,N,31,","44.7",",,,N","",""
"US1KSKW0013","2015-11","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","9","1,N","7","1,N","1","1,N","","","","","20151117",",1,N","","","28.4","1,,N,17,","82.5","1,,,N","",""
"US1KSKW0013","2015-12","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4","3,N","2","3,N","2","3,N","","","","","20151213",",3,N","","","27.2","3,,N,13,","55.9","3,,,N","",""
"US1KSKW0013","2016-01","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4",",N","2",",N","0",",N","0","3,N","20160116",",3,N","20160108",",,N","5","3,,N,16,","9.1",",,N,08,","15.7",",,,N","5","3,,,N"
"US1KSKW0013","2016-02","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","1",",N","1",",N","0",",N","0","1,N","20160229","+,1,N","20160202",",,N","0","1,,N,29,+","9.7",",,N,02,","9.7",",,,N","0","1,,,N"
"US1KSKW0013","2016-03","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5",",N","1",",N","0",",N","1","4,N","20160327",",4,N","20160327",",,N","97","4,,N,27,","11.2",",,N,27,","13.3",",,,N","97","4,,,N"
"US1KSKW0013","2016-04","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","9",",N","7",",N","4",",N","","","","","20160411",",,N","","","50.5",",,N,11,","200.3",",,,N","",""
"US1KSKW0013","2016-05","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","8",",N","7",",N","0",",N","","","","","20160517",",,N","","","17.0",",,N,17,","56.1",",,,N","",""
"US1KSKW0013","2016-06","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5","3,N","3","3,N","1","3,N","","","","","20160618",",3,N","","","30.0","3,,N,18,","57.5","3,,,N","",""
"US1KSKW0013","2016-07","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","12","3,N","8","3,N","1","3,N","","","","","20160729",",3,N","","","54.1","3,,N,29,","116.9","3,,,N","",""
"US1KSKW0013","2016-08","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","8",",N","6",",N","2",",N","","","","","20160826",",,N","","","52.3",",,N,26,","135.0",",,,N","",""
"US1KSKW0013","2016-09","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5",",N","4",",N","1",",N","0","5,N","20160930","+,5,N","20160909",",,N","0","5,,N,30,+","36.6",",,N,09,","55.1",",,,N","0","5,,,N"
"US1KSKW0013","2016-10","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5","1,N","3","1,N","1","1,N","0","5,N","20161031","+,5,N","20161002",",1,N","0","5,,N,31,+","46.0","1,,N,02,","81.9","1,,,N","0","5,,,N"
"US1KSKW0013","2016-11","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5","1,N","2","1,N","0","1,N","0","5,N","20161130","+,5,N","20161107",",1,N","0","5,,N,30,+","15.2","1,,N,07,","20.3","1,,,N","0","5,,,N"
"US1KSKW0013","2016-12","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","6","1,N","2","1,N","0","1,N","","","","","20161204",",1,N","","","8.9","1,,N,04,","21.9","1,,,N","",""
"US1KSKW0013","2017-01","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4","1,N","3","1,N","1","1,N","0","5,N","20170106",",5,N","20170116",",1,N","20","5,,N,06,","40.9","1,,N,16,","69.9","1,,,N","20","5,,,N"
"US1KSKW0013","2017-02","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","1",",N","1",",N","0",",N","0","2,N","20170228","+,2,N","20170214",",,N","0","2,,N,28,+","4.8",",,N,14,","4.8",",,,N","0","2,,,N"
"US1KSKW0013","2017-03","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4","1,N","3","1,N","1","1,N","0","5,N","20170331","+,5,N","20170329",",1,N","0","5,,N,31,+","46.7","1,,N,29,","66.0","1,,,N","0","5,,,N"
"US1KSKW0013","2017-04","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","12","2,N","6","2,N","2","2,N","","","","","20170430",",2,N","","","44.2","2,,N,30,","129.8","2,,,N","",""
"US1KSKW0013","2017-05","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","11",",N","5",",N","1",",N","","","","","20170503",",,N","","","27.9",",,N,03,","60.5",",,,N","",""
"US1KSKW0013","2017-06","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","8",",N","5",",N","0",",N","","","","","20170607",",,N","","","16.8",",,N,07,","51.9",",,,N","",""
"US1KSKW0013","2017-07","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4","3,N","3","3,N","0","3,N","","","","","20170708",",3,N","","","13.7","3,,N,08,","28.9","3,,,N","",""
"US1KSKW0013","2017-08","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","7",",N","4",",N","2",",N","","","","","20170811",",,N","","","33.0",",,N,11,","78.6",",,,N","",""
"US1KSKW0013","2017-09","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","6","2,N","3","2,N","1","2,N","","","","","20170926",",2,N","","","79.8","2,,N,26,","90.8","2,,,N","",""
"US1KSKW0013","2017-10","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","4","3,N","2","3,N","0","3,N","","","","","20171007",",3,N","","","18.8","3,,N,07,","24.9","3,,,N","",""
"US1KSKW0013","2017-11","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","5","1,N","0","1,N","0","1,N","0","5,N","20171130","+,5,N","20171112",",1,N","0","5,,N,30,+","0.8","1,,N,12,","2.4","1,,,N","0","5,,,N"
"US1KSKW0013","2017-12","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","0","1,N","0","1,N","0","1,N","0","1,N","20171231","+,1,N","20171231","+,1,N","0","1,,N,31,+","0.0","1,,N,31,+","0.0","1,,,N","0","1,,,N"
"US1KSKW0013","2018-01","37.504075","-99.029868","589.5","CROFT 2.4 WNW, KS US","1","1,N","0","1,N","0","1,N","0","1,N","20180111",",1,N","20180111",",1,N","20","1,,N,11,","1.5","1,,N,11,","1.5","1,,,N","20","1,,,N"
