"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSMS0021","2023-05","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","8","1,N","6","1,N","0","1,N","","","","","20230515",",1,N","","","18.8","1,,N,15,","54.7","1,,,N","",""
"US1KSMS0021","2023-06","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","9",",N","6",",N","0",",N","","","","","20230629",",,N","","","24.4",",,N,29,","59.0",",,,N","",""
"US1KSMS0021","2023-07","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","8",",N","6",",N","2",",N","","","","","20230701",",,N","","","27.4",",,N,01,","99.7",",,,N","",""
"US1KSMS0021","2023-08","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","8","3,N","6","3,N","1","3,N","","","","","20230826",",3,N","","","48.0","3,,N,26,","92.4","3,,,N","",""
"US1KSMS0021","2023-09","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","4","1,N","2","1,N","1","1,N","0","5,N","20230930","+,5,N","20230922",",1,N","0","5,,N,30,+","38.9","1,,N,22,","58.2","1,,,N","0","5,,,N"
"US1KSMS0021","2023-10","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","7",",N","4",",N","0",",N","","","","","20231004",",,N","","","18.0",",,N,04,","39.7",",,,N","",""
"US1KSMS0021","2023-11","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","6","3,N","3","3,N","0","3,N","","","","","20231120",",3,N","","","14.0","3,,N,20,","29.1","3,,,N","",""
"US1KSMS0021","2023-12","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","9",",N","5",",N","0",",N","","","","","20231224",",,N","","","19.6",",,N,24,","49.0",",,,N","",""
"US1KSMS0021","2024-01","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","9","2,N","4","2,N","1","2,N","","","","","20240108",",2,N","","","25.7","2,,N,08,","51.2",",a,,N","",""
"US1KSMS0021","2024-02","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","3",",N","1",",N","0",",N","0","4,N","20240229","+,4,N","20240204",",,N","0","4,,N,29,+","24.1",",,N,04,","25.2",",,,N","0","4,,,N"
"US1KSMS0021","2024-03","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","3","3,N","2","3,N","0","3,N","","","","","20240314",",3,N","","","16.0","3,,N,14,","22.3","3,,,N","",""
"US1KSMS0021","2024-04","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","9","2,N","7","2,N","0","2,N","","","","","20240428",",2,N","","","23.9","2,,N,28,","73.3","2,,,N","",""
"US1KSMS0021","2024-05","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","12","2,N","10","2,N","3","2,N","","","","","20240502",",2,N","","","34.0","2,,N,02,","186.7","2,,,N","",""
"US1KSMS0021","2024-06","39.6831","-96.6836","359.7","BLUE RAPIDS 1.3 WNW, KS US","11",",N","8",",N","2",",N","","","","","20240608",",,N","","","44.7",",,N,08,","143.8",",,,N","",""
