"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSRN0072","2021-08","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","6","3,N","5","3,N","0","3,N","","","","","20210821",",3,N","","","24.9","3,,N,21,","70.8","3,,,N","",""
"US1KSRN0072","2021-09","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","4","5,N","4","5,N","1","5,N","","","","","20210904",",5,N","","","26.7","5,,N,04,","60.4","5,,,N","",""
"US1KSRN0072","2021-10","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","6","3,N","6","3,N","0","3,N","","","","","20211013",",3,N","","","22.4","3,,N,13,","65.5","3,,,N","",""
"US1KSRN0072","2021-11","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","1","3,N","1","3,N","0","3,N","0","4,N","20211130","+,4,N","20211103",",3,N","0","4,,N,30,+","6.1","3,,N,03,","6.1","3,,,N","0","4,,,N"
"US1KSRN0072","2021-12","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","0","3,N","0","3,N","0","3,N","0","3,N","20211231","+,3,N","20211231","+,3,N","0","3,,N,31,+","0.0","3,,N,31,+","0.0","3,,,N","0","3,,,N"
"US1KSRN0072","2022-08","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","3","4,N","1","4,N","0","4,N","","","","","20220828",",4,N","","","14.2","4,,N,28,","16.0","4,,,N","",""
"US1KSRN0072","2022-09","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","6","1,N","3","1,N","0","1,N","","","","","20220922",",1,N","","","9.4","1,,N,22,","22.1","1,,,N","",""
"US1KSRN0072","2022-10","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","2",",N","1",",N","0",",N","0","4,N","20221031","+,4,N","20221025",",,N","0","4,,N,31,+","5.3",",,N,25,","7.3",",,,N","0","4,,,N"
"US1KSRN0072","2022-11","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","2","2,N","2","2,N","1","2,N","","","","","20221105",",2,N","","","25.9","2,,N,05,","29.2","2,,,N","",""
"US1KSRN0072","2022-12","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","5",",N","2",",N","1",",N","","","","","20221213",",,N","","","25.4",",,N,13,","33.2",",,,N","",""
"US1KSRN0072","2023-01","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","5","1,N","4","1,N","0","1,N","","","","","20230118",",1,N","","","12.2","1,,N,18,","39.0","1,,,N","",""
"US1KSRN0072","2023-02","38.087597","-97.940964","472.4","HUTCHINSON 2.1 NW, KS US","3",",N","2",",N","0",",N","0","3,N","20230228","+,3,N","20230227",",,N","0","3,,N,28,+","21.1",",,N,27,","26.7",",,,N","0","3,,,N"
