"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSSA0057","2021-08","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","6",",N","4",",N","1",",N","","","","","20210830",",,N","","","58.9",",,N,30,","101.4",",,,N","",""
"US1KSSA0057","2021-09","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","6",",N","4",",N","1",",N","","","","","20210904",",,N","","","46.5",",,N,04,","63.8",",,,N","",""
"US1KSSA0057","2021-10","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","5",",N","5",",N","0",",N","","","","","20211013",",,N","","","18.5",",,N,13,","54.8",",,,N","",""
"US1KSSA0057","2021-11","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","1",",N","0",",N","0",",N","0","1,N","20211130","+,1,N","20211103",",,N","0","1,,N,30,+","0.8",",,N,03,","0.8",",,,N","0","1,,,N"
"US1KSSA0057","2022-01","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","0","4,N","0","4,N","0","4,N","0","4,N","20220131","+,4,N","20220131","+,4,N","0","4,,N,31,+","0.0","4,,N,31,+","0.0","4,,,N","0","4,,,N"
"US1KSSA0057","2022-02","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","0",",N","0",",N","0",",N","0",",N","20220228","+,,N","20220228","+,,N","0",",,N,28,+","0.0",",,N,28,+","0.0",",,,N","0",",,,N"
"US1KSSA0057","2022-03","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","7",",N","5",",N","0",",N","","","","","20220322",",,N","","","22.1",",,N,22,","56.3",",,,N","",""
"US1KSSA0057","2022-04","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","3",",N","2",",N","0",",N","0","4,N","20220430","+,4,N","20220413",",,N","0","4,,N,30,+","8.9",",,N,13,","14.5",",,,N","0","4,,,N"
"US1KSSA0057","2022-05","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","12",",N","8",",N","3",",N","","","","","20220531",",,N","","","94.7",",,N,31,","259.4",",,,N","",""
"US1KSSA0057","2022-06","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","10",",N","5",",N","1",",N","","","","","20220605",",,N","","","72.9",",,N,05,","108.6",",,,N","",""
"US1KSSA0057","2022-07","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","11",",N","3",",N","1",",N","","","","","20220702",",,N","","","59.9",",,N,02,","79.5",",,,N","",""
"US1KSSA0057","2022-08","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","3",",N","2",",N","1",",N","0","4,N","20220831","+,4,N","20220820",",,N","0","4,,N,31,+","38.4",",,N,20,","44.0",",,,N","0","4,,,N"
"US1KSSA0057","2022-10","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","3",",N","1",",N","0",",N","0","5,N","20221031","+,5,N","20221025",",,N","0","5,,N,31,+","6.6",",,N,25,","10.2",",,,N","0","5,,,N"
"US1KSSA0057","2022-11","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","5",",N","3",",N","0",",N","0","5,N","20221130","+,5,N","20221104",",,N","0","5,,N,30,+","16.5",",,N,04,","31.5",",,,N","0","5,,,N"
"US1KSSA0057","2022-12","38.638829","-97.80223","429.8","FALUN 3.2 SW, KS US","3",",N","2",",N","0",",N","0","4,N","20221231","+,4,N","20221213",",,N","0","4,,N,31,+","20.6",",,N,13,","29.0",",,,N","0","4,,,N"
