"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSSG0098","2013-12","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","1",",N","1",",N","0",",N","1","4,N","20131231",",4,N","20131231",",,N","38","4,,N,31,","3.0",",,N,31,","3.0",",,,N","38","4,,,N"
"US1KSSG0098","2014-01","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","0",",N","0",",N","0",",N","0",",N","20140131","+,,N","20140131","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1KSSG0098","2014-02","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","3",",N","3",",N","0",",N","2","1,N","20140204",",1,N","20140204",",,N","203","1,,N,04,","12.7",",,N,04,","20.8",",,,N","305","1,,,N"
"US1KSSG0098","2014-03","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","0",",N","0",",N","0",",N","0",",N","20140331","+,,N","20140331","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1KSSG0098","2014-04","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","4",",N","2",",N","0",",N","","","","","20140425",",,N","","","4.6",",,N,25,","9.2",",,,N","",""
"US1KSSG0098","2014-05","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","5",",N","4",",N","1",",N","","","","","20140512",",,N","","","31.8",",,N,12,","60.0",",,,N","",""
"US1KSSG0098","2014-06","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","10",",N","9",",N","3",",N","","","","","20140607",",,N","","","42.9",",,N,07,","188.0",",,,N","",""
"US1KSSG0098","2014-07","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","3",",N","2",",N","1",",N","0","5,N","20140731","+,5,N","20140710",",,N","0","5,,N,31,+","32.0",",,N,10,","39.7",",,,N","0","5,,,N"
"US1KSSG0098","2014-08","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","5",",N","4",",N","2",",N","","","","","20140807",",,N","","","42.2",",,N,07,","101.1",",,,N","",""
"US1KSSG0098","2014-09","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","6",",N","4",",N","0",",N","","","","","20140924",",,N","","","12.2",",,N,24,","24.4",",,,N","",""
"US1KSSG0098","2014-10","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","5",",N","3",",N","1",",N","0","5,N","20141031","+,5,N","20141013",",,N","0","5,,N,31,+","27.9",",,N,13,","53.1",",,,N","0","5,,,N"
"US1KSSG0098","2014-11","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","3","1,N","2","1,N","0","1,N","1","5,N","20141117",",5,N","20141117",",1,N","38","5,,N,17,","3.3","1,,N,17,","7.4","1,,,N","38","5,,,N"
"US1KSSG0098","2015-01","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","0",",N","0",",N","0",",N","0","1,N","20150131","+,1,N","20150131",",,N","0","1,,N,31,+","0.0",",T,N,31,","0.0",",T,,N","0","1,,,N"
"US1KSSG0098","2015-02","37.8874015808105","-97.5161590576172","423.7","BENTLEY 0.1 NNW, KS US","0",",N","0",",N","0",",N","0",",N","20150228","+,,N","20150228","+,,N","0",",,N,28,+","0.0",",,N,28,+","0.0",",,,N","0",",,,N"
