"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSSN0050","2023-04","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","4","2,N","4","2,N","1","2,N","","","","","20230420",",2,N","","","39.6","2,,N,20,","58.7","2,,,N","",""
"US1KSSN0050","2023-05","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","12","2,N","6","2,N","2","2,N","","","","","20230531",",2,N","","","86.4","2,,N,31,","161.3","2,,,N","",""
"US1KSSN0050","2023-07","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","8","5,N","3","5,N","1","5,N","","","","","20230731",",5,N","","","29.2","5,,N,31,","63.6","5,,,N","",""
"US1KSSN0050","2023-08","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","","","","","","","","","","","","","","","","","95.1","1,a,,N","",""
"US1KSSN0050","2023-09","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","7",",N","5",",N","0",",N","","","","","20230923",",,N","","","20.3",",,N,23,","52.5",",,,N","",""
"US1KSSN0050","2023-10","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","10",",N","4",",N","0",",N","","","","","20231029",",,N","","","11.9",",,N,29,","37.5",",,,N","",""
"US1KSSN0050","2023-11","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","3",",N","3",",N","0",",N","0","4,N","20231130","+,4,N","20231120",",,N","0","4,,N,30,+","19.1",",,N,20,","42.7",",,,N","0","4,,,N"
"US1KSSN0050","2023-12","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","10","1,N","5","1,N","2","1,N","","","","","20231225",",1,N","","","39.9","1,,N,25,","89.3","1,,,N","",""
"US1KSSN0050","2024-01","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","13",",N","8",",N","1",",N","","","","","20240109",",,N","","","30.0",",,N,09,","83.5",",,,N","",""
"US1KSSN0050","2024-02","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","4",",N","2",",N","0",",N","0","4,N","20240229","+,4,N","20240204",",,N","0","4,,N,29,+","22.6",",,N,04,","28.2",",,,N","0","4,,,N"
"US1KSSN0050","2024-03","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","7",",N","2",",N","0",",N","","","","","20240325",",,N","","","14.2",",,N,25,","28.8",",,,N","",""
"US1KSSN0050","2024-04","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","12",",N","8",",N","2",",N","","","","","20240426",",,N","","","44.2",",,N,26,","122.7",",,,N","",""
"US1KSSN0050","2024-05","38.98246","-95.72772","305.7","TOPEKA 4.3 SSW, KS US","15",",N","4",",N","1",",N","","","","","20240520",",,N","","","29.5",",,N,20,","62.8",",,,N","",""
