"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KYHS0001","2007-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","8","1,N","8","1,N","0","1,N","","","0","1,N","","","20071130","+,1,N","20071122",",1,N","","","0","1,,N,30,+","24.9","1,,N,22,","92.2","1,,,N","0","1,,,N"
"US1KYHS0001","2007-12","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","16",",N","13",",N","1",",N","","","0",",N","","","20071216",",,N","20071216",",,N","","","13",",,N,16,","25.9",",,N,16,","171.7",",,,N","13",",,,N"
"US1KYHS0001","2008-01","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9","5,N","5","5,N","0","5,N","","","1","5,N","","","20080117",",5,N","200801","5,,N","","","38","5,,N,17,","24.9","5,,N,  ,","52.9",",a,,N","48","5,,,N"
"US1KYHS0001","2008-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","15",",N","11",",N","2",",N","","","1",",N","","","20080308",",,N","20080319",",,N","","","61",",,N,08,","127.3",",,N,19,","267.0",",,,N","64",",,,N"
"US1KYHS0001","2008-04","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","17",",N","5",",N","3",",N","","","0",",N","","","20080430","+,,N","20080404",",,N","","","0",",,N,30,+","61.2",",,N,04,","187.6",",,,N","0",",,,N"
"US1KYHS0001","2008-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","15",",N","8",",N","0",",N","","","0",",N","","","20080531","+,,N","20080527",",,N","","","0",",,N,31,+","22.6",",,N,27,","117.3",",,,N","0",",,,N"
"US1KYHS0001","2008-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9",",N","3",",N","1",",N","","","0",",N","","","20080630","+,,N","20080614",",,N","","","0",",,N,30,+","28.7",",,N,14,","62.2",",,,N","0",",,,N"
"US1KYHS0001","2008-07","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10",",N","6",",N","2",",N","","","0",",N","","","20080731","+,,N","20080731",",,N","","","0",",,N,31,+","56.6",",,N,31,","125.2",",,,N","0",",,,N"
"US1KYHS0001","2008-08","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","3",",N","2",",N","0",",N","","","0",",N","","","20080831","+,,N","20080806",",,N","","","0",",,N,31,+","7.1",",,N,06,","10.2",",,,N","0",",,,N"
"US1KYHS0001","2008-10","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","6",",N","3",",N","0",",N","","","0",",N","","","20081031","+,,N","20081008",",,N","","","0",",,N,31,+","23.4",",,N,08,","41.2",",,,N","0",",,,N"
"US1KYHS0001","2008-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10","3,N","8","3,N","0","3,N","","","0","3,N","","","20081130","+,3,N","20081113",",3,N","","","0","3,,N,30,+","22.9","3,,N,13,","86.7",",a,,N","0","3,,,N"
"US1KYHS0001","2008-12","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","13","5,N","7","5,N","2","5,N","","","","","","","","","20081224",",5,N","","","","","36.1","5,,N,24,","139.6",",a,,N","",""
"US1KYHS0001","2009-01","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9","3,N","5","3,N","1","3,N","","","","","","","","","20090128",",3,N","","","","","54.1","3,,N,28,","90.9",",a,,N","",""
"US1KYHS0001","2009-02","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","8","1,N","5","1,N","0","1,N","","","","","","","","","20090211",",1,N","","","","","18.8","1,,N,11,","63.5","1,,,N","",""
"US1KYHS0001","2009-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10","2,N","5","2,N","1","2,N","","","","","","","","","20090325",",2,N","","","","","35.6","2,,N,25,","106.0","2,,,N","",""
"US1KYHS0001","2009-04","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","15",",N","12",",N","0",",N","","","","","","","","","20090420","+,,N","","","","","25.1",",,N,20,+","140.0",",,,N","",""
"US1KYHS0001","2009-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","18","1,N","11","1,N","1","1,N","","","","","","","","","20090501",",1,N","","","","","38.1","1,,N,01,","158.1","1,,,N","",""
"US1KYHS0001","2009-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9","3,N","5","3,N","0","3,N","","","","","","","","","20090611",",3,N","","","","","23.4","3,,N,11,","79.2","3,,,N","",""
"US1KYHS0001","2009-07","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","13",",N","8",",N","3",",N","","","","","","","","","20090731",",,N","","","","","84.1",",,N,31,","204.0",",,,N","",""
"US1KYHS0001","2009-08","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9",",N","5",",N","1",",N","","","","","","","","","20090802",",,N","","","","","31.5",",,N,02,","55.5",",,,N","",""
"US1KYHS0001","2009-09","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","11","1,N","8","1,N","2","1,N","","","","","","","","","20090906",",1,N","","","","","67.1","1,,N,06,","179.2","1,,,N","",""
"US1KYHS0001","2009-10","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","15",",N","10",",N","2",",N","","","","","","","","","20091009",",,N","","","","","104.6",",,N,09,","235.9",",,,N","",""
"US1KYHS0001","2009-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","4",",N","2",",N","1",",N","","","0","3,N","","","20091130","+,3,N","20091117",",,N","","","0","3,,N,30,+","31.2",",,N,17,","38.1",",,,N","0","3,,,N"
"US1KYHS0001","2010-01","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14","4,N","8","4,N","1","4,N","","","","","","","","","20100130",",4,N","","","","","26.4","4,,N,30,","80.8","4,,,N","",""
"US1KYHS0001","2010-02","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","8",",N","6",",N","0",",N","11",",N","4",",N","20100201",",,N","20100215",",,N","20100206","+,,N","104",",,N,01,","102",",,N,15,","10.9",",,N,06,+","42.7",",,,N","252",",,,N"
"US1KYHS0001","2010-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","11","1,N","6","1,N","1","1,N","0","4,N","0","4,N","20100331","+,4,N","20100331","+,4,N","20100322",",1,N","0","4,,N,31,+","0","4,,N,31,+","33.5","1,,N,22,","90.7","1,,,N","0","4,,,N"
"US1KYHS0001","2010-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9",",N","6",",N","2",",N","","","","","","","","","20100501",",,N","","","","","55.1",",,N,01,","131.9",",,,N","",""
"US1KYHS0001","2010-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10",",N","7",",N","0",",N","","","","","","","","","20100628",",,N","","","","","21.6",",,N,28,","71.2",",,,N","",""
"US1KYHS0001","2010-07","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10","2,N","6","2,N","2","2,N","","","","","","","","","20100720",",2,N","","","","","35.8","2,,N,20,","106.5","2,,,N","",""
"US1KYHS0001","2010-09","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","5","3,N","2","3,N","0","3,N","","","","","","","","","20100911",",3,N","","","","","8.1","3,,N,11,","16.2","3,,,N","",""
