"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MANF0075","2022-04","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","12",",N","7",",N","0",",N","","","","","","","","","20220419",",,N","","","","","21.6",",,N,19,","72.7",",,,N","",""
"US1MANF0075","2022-05","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","8",",N","3",",N","0",",N","","","","","","","","","20220503",",,N","","","","","8.9",",,N,03,","24.2",",,,N","",""
"US1MANF0075","2022-06","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","11","2,N","6","2,N","0","2,N","","","","","","","","","20220628",",2,N","","","","","18.5","2,,N,28,","74.4","2,,,N","",""
"US1MANF0075","2022-07","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","8","2,N","3","2,N","0","2,N","","","","","","","","","20220702",",2,N","","","","","6.9","2,,N,02,","19.5","2,,,N","",""
"US1MANF0075","2022-08","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","10",",N","4",",N","1",",N","","","","","","","","","20220823",",,N","","","","","28.7",",,N,23,","82.1",",,,N","",""
"US1MANF0075","2022-09","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","10",",N","6",",N","3",",N","","","","","","","","","20220923",",,N","","","","","41.4",",,N,23,","119.1",",,,N","",""
"US1MANF0075","2022-10","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","11",",N","7",",N","2",",N","","","","","","","","","20221014",",,N","","","","","43.9",",,N,14,","163.9",",,,N","",""
"US1MANF0075","2022-11","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","10",",N","6",",N","0",",N","","","","","","","","","20221112",",,N","","","","","16.5",",,N,12,","54.8",",,,N","",""
"US1MANF0075","2022-12","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","11",",N","9",",N","2",",N","","","","","","","","","20221217",",,N","","","","","49.0",",,N,17,","160.8",",,,N","",""
"US1MANF0075","2023-01","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","17","1,N","14","1,N","3","1,N","4","1,N","2","1,N","20230124",",1,N","20230124",",1,N","20230126",",1,N","76","1,,N,24,","76","1,,N,24,","32.3","1,,N,26,","192.8","1,,,N","147","1,,,N"
"US1MANF0075","2023-02","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","9",",N","4",",N","0",",N","3",",N","1",",N","20230228",",,N","20230228",",,N","20230223",",,N","51",",,N,28,","46",",,N,28,","13.5",",,N,23,","35.1",",,,N","88",",,,N"
"US1MANF0075","2023-03","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","13",",N","8",",N","2",",N","","","2","4,N","","","20230315",",4,N","20230315",",,N","","","51","4,,N,15,","51.8",",,N,15,","140.8",",,,N","79","4,,,N"
"US1MANF0075","2023-04","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","12",",N","5",",N","0",",N","","","","","","","","","20230430",",,N","","","","","17.8",",,N,30,","54.5",",,,N","",""
"US1MANF0075","2023-05","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","10",",N","3",",N","2",",N","","","","","","","","","20230521",",,N","","","","","57.7",",,N,21,","109.6",",,,N","",""
"US1MANF0075","2023-06","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","17",",N","11",",N","1",",N","","","","","","","","","20230618",",,N","","","","","28.2",",,N,18,","102.0",",,,N","",""
"US1MANF0075","2023-07","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","13",",N","11",",N","1",",N","","","","","","","","","20230717",",,N","","","","","61.7",",,N,17,","213.7",",,,N","",""
"US1MANF0075","2023-08","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","15","3,N","9","3,N","1","3,N","","","","","","","","","20230819",",3,N","","","","","32.3","3,,N,19,","127.5",",a,,N","",""
"US1MANF0075","2023-09","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","12","2,N","9","2,N","2","2,N","","","","","","","","","20230912",",2,N","","","","","26.9","2,,N,12,","123.1","2,,,N","",""
"US1MANF0075","2023-10","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","8","2,N","4","2,N","0","2,N","","","","","","","","","20231022",",2,N","","","","","15.2","2,,N,22,","44.5","2,,,N","",""
"US1MANF0075","2023-11","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","9",",N","3",",N","0",",N","","","","","","","","","20231123",",,N","","","","","19.6",",,N,23,","52.6",",,,N","",""
"US1MANF0075","2023-12","42.186657","-70.984391","55.5","BRAINTREE 1.5 SE, MA US","15","3,N","7","3,N","2","3,N","","","","","","","","","20231211",",3,N","","","","","52.1","3,,N,11,","168.2",",a,,N","",""
