"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MAWR0088","2020-09","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","3",",N","3",",N","0",",N","","","","","","","","","20200911",",,N","","","","","23.1",",,N,11,","48.0",",,,N","",""
"US1MAWR0088","2020-10","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","9",",N","8",",N","3",",N","1",",N","1",",N","20201031",",,N","20201031",",,N","20201014",",,N","130",",,N,31,","163",",,N,31,","43.2",",,N,14,","145.8",",,,N","178",",,,N"
"US1MAWR0088","2020-11","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","13",",N","7",",N","0",",N","1",",N","0",",N","20201101",",,N","20201103",",,N","20201124",",,N","51",",,N,01,","9",",,N,03,","21.3",",,N,24,","92.6",",,,N","14",",,,N"
"US1MAWR0088","2020-12","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","12",",N","9",",N","4",",N","16",",N","4",",N","20201218",",,N","20201217",",,N","20201201",",,N","307",",,N,18,","282",",,N,17,","62.5",",,N,01,","255.6",",,,N","588",",,,N"
"US1MAWR0088","2021-01","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","11",",N","4",",N","1",",N","7",",N","3",",N","20210127",",,N","20210127",",,N","20210116",",,N","122",",,N,27,","127",",,N,27,","41.4",",,N,16,","70.3",",,,N","230",",,,N"
"US1MAWR0088","2021-02","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","15",",N","8",",N","1",",N","28",",N","8",",N","20210210",",,N","20210202",",,N","20210202",",,N","521",",,N,10,","358",",,N,02,","29.5",",,N,02,","94.7",",,,N","913",",,,N"
"US1MAWR0088","2021-03","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","7",",N","4",",N","0",",N","12",",N","0",",N","20210303","+,,N","20210315",",,N","20210329",",,N","127",",,N,03,+","18",",,N,15,","18.3",",,N,29,","50.0",",,,N","18",",,,N"
"US1MAWR0088","2021-04","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","10",",N","6",",N","1",",N","2",",N","1",",N","20210416",",,N","20210416",",,N","20210416",",,N","107",",,N,16,","107",",,N,16,","46.0",",,N,16,","90.7",",,,N","130",",,,N"
"US1MAWR0088","2021-05","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","14",",N","9",",N","2",",N","0",",N","0",",N","20210531","+,,N","20210531","+,,N","20210529",",,N","0",",,N,31,+","0",",,N,31,+","48.0",",,N,29,","154.6",",,,N","0",",,,N"
"US1MAWR0088","2021-06","42.237427","-71.946129","281.3","LEICESTER 2.5 WSW, MA US","9",",N","4",",N","0",",N","0",",N","0",",N","20210630","+,,N","20210630","+,,N","20210615",",,N","0",",,N,30,+","0",",,N,30,+","17.5",",,N,15,","35.9",",,,N","0",",,,N"
