"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MAWR0090","2021-01","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","11",",N","5",",N","0",",N","3","4,N","20210127",",4,N","20210117",",,N","99","4,,N,27,","24.6",",,N,17,","69.8",",,,N","189","4,,,N"
"US1MAWR0090","2021-02","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","15",",N","9",",N","1",",N","6",",N","20210202",",,N","20210202",",,N","356",",,N,02,","36.8",",,N,02,","97.0",",,,N","788",",,,N"
"US1MAWR0090","2021-03","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","7",",N","4",",N","0",",N","0",",N","20210315",",,N","20210329",",,N","0",",T,N,15,","20.6",",,N,29,","51.9",",,,N","0",",T,,N"
"US1MAWR0090","2021-04","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","14",",N","7",",N","1",",N","","","","","20210416",",,N","","","27.2",",,N,16,","92.1",",,,N","",""
"US1MAWR0090","2021-05","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","14",",N","10",",N","1",",N","","","","","20210529",",,N","","","51.6",",,N,29,","143.0",",,,N","",""
"US1MAWR0090","2021-06","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","11",",N","4",",N","1",",N","","","","","20210615",",,N","","","26.9",",,N,15,","65.1",",,,N","",""
"US1MAWR0090","2021-07","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","23",",N","15",",N","2",",N","","","","","20210702",",,N","","","76.7",",,N,02,","312.8",",,,N","",""
"US1MAWR0090","2021-08","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","12",",N","6",",N","2",",N","","","","","20210820",",,N","","","83.1",",,N,20,","162.3",",,,N","",""
"US1MAWR0090","2021-09","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","17",",N","8",",N","1",",N","","","","","20210902",",,N","","","109.2",",,N,02,","199.1",",,,N","",""
"US1MAWR0090","2021-10","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","13",",N","9",",N","4",",N","","","","","20211031",",,N","","","36.3",",,N,31,","180.3",",,,N","",""
"US1MAWR0090","2021-11","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","9",",N","4",",N","1",",N","","","","","20211113",",,N","","","42.4",",,N,13,","69.8",",,,N","",""
"US1MAWR0090","2021-12","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","18",",N","7",",N","0",",N","","","","","20211219",",,N","","","21.1",",,N,19,","77.9",",,,N","",""
"US1MAWR0090","2022-01","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","15",",N","9",",N","1",",N","","","","","20220130",",,N","","","27.7",",,N,30,","114.5",",,,N","",""
"US1MAWR0090","2022-02","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","13",",N","8",",N","0",",N","","","","","20220204",",,N","","","24.1",",,N,04,","136.4",",,,N","",""
"US1MAWR0090","2022-03","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","14",",N","8",",N","0",",N","","","","","20220325",",,N","","","24.4",",,N,25,","72.7",",,,N","",""
"US1MAWR0090","2022-04","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","16",",N","9",",N","1",",N","","","","","20220419",",,N","","","31.5",",,N,19,","115.2",",,,N","",""
"US1MAWR0090","2022-05","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","10",",N","7",",N","0",",N","","","","","20220503",",,N","","","14.2",",,N,03,","38.7",",,,N","",""
"US1MAWR0090","2022-06","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","12",",N","8",",N","0",",N","","","","","20220628",",,N","","","14.2",",,N,28,","70.4",",,,N","",""
"US1MAWR0090","2022-07","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","8",",N","7",",N","0",",N","","","","","20220703",",,N","","","10.4",",,N,03,","45.3",",,,N","",""
"US1MAWR0090","2022-08","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","11",",N","7",",N","1",",N","","","","","20220827",",,N","","","27.4",",,N,27,","75.3",",,,N","",""
"US1MAWR0090","2022-09","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","12",",N","10",",N","2",",N","","","","","20220906",",,N","","","50.3",",,N,06,","160.7",",,,N","",""
"US1MAWR0090","2022-10","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","13",",N","9",",N","1",",N","","","","","20221014",",,N","","","26.2",",,N,14,","116.5",",,,N","",""
"US1MAWR0090","2022-11","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","11",",N","7",",N","0",",N","","","","","20221116",",,N","","","18.8",",,N,16,","62.1",",,,N","",""
"US1MAWR0090","2022-12","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","10",",N","9",",N","2",",N","","","","","20221223",",,N","","","53.1",",,N,23,","174.7",",,,N","",""
"US1MAWR0090","2023-01","42.1780348","-71.6009409",,"UPTON 0.4 NE, MA US","19",",N","10",",N","2",",N","","","","","20230120",",,N","","","33.5",",,N,20,","172.1",",,,N","",""
