"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MDAA0001","2012-11","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","7",",N","4",",N","0",",N","","","","","20121108",",,N","","","5.6",",,N,08,","18.7",",,,N","",""
"US1MDAA0001","2013-01","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","9",",N","4",",N","1",",N","","","","","20130131",",,N","","","27.4",",,N,31,","64.6",",,,N","",""
"US1MDAA0001","2013-02","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","14",",N","6",",N","0",",N","","","","","20130227",",,N","","","19.8",",,N,27,","61.0",",,,N","",""
"US1MDAA0001","2013-03","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","7",",N","6",",N","1",",N","","","","","20130307",",,N","","","32.0",",,N,07,","94.3",",,,N","",""
"US1MDAA0001","2013-04","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","11",",N","5",",N","0",",N","","","","","20130420",",,N","","","20.8",",,N,20,","77.1",",,,N","",""
"US1MDAA0001","2013-06","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","17",",N","11",",N","4",",N","","","","","20130603",",,N","","","63.8",",,N,03,","250.5",",,,N","",""
"US1MDAA0001","2013-07","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","12",",N","6",",N","1",",N","","","","","20130713",",,N","","","105.4",",,N,13,","156.4",",,,N","",""
"US1MDAA0001","2013-08","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","9",",N","5",",N","1",",N","","","","","20130814",",,N","","","28.2",",,N,14,","71.7",",,,N","",""
"US1MDAA0001","2013-09","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","3",",N","1",",N","0",",N","0","3,N","20130930","+,3,N","20130913",",,N","0","3,,N,30,+","13.0",",,N,13,","14.8",",,,N","0","3,,,N"
"US1MDAA0001","2013-10","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","8",",N","6",",N","2",",N","","","","","20131012",",,N","","","80.8",",,N,12,","190.3",",,,N","",""
"US1MDAA0001","2013-11","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","7",",N","5",",N","1",",N","","","","","20131127",",,N","","","63.8",",,N,27,","87.2",",,,N","",""
"US1MDAA0001","2014-01","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","10",",N","8",",N","0",",N","","","","","20140111",",,N","","","17.8",",,N,11,","79.3",",,,N","",""
"US1MDAA0001","2014-02","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","13",",N","10",",N","1",",N","","","","","20140213",",,N","","","33.3",",,N,13,","123.8",",,,N","",""
"US1MDAA0001","2014-03","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","10",",N","8",",N","2",",N","2","4,N","20140317",",4,N","20140330",",,N","163","4,,N,17,","34.5",",,N,30,","122.9",",,,N","281","4,,,N"
"US1MDAA0001","2014-04","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","8",",N","4",",N","1",",N","","","","","20140430",",,N","","","48.8",",,N,30,","93.3",",,,N","",""
"US1MDAA0001","2014-06","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","9",",N","7",",N","1",",N","","","","","20140613",",,N","","","61.7",",,N,13,","121.3",",,,N","",""
"US1MDAA0001","2014-07","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","9",",N","6",",N","0",",N","","","","","20140716",",,N","","","15.5",",,N,16,","41.9",",,,N","",""
"US1MDAA0001","2014-08","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","7",",N","5",",N","1",",N","","","","","20140813",",,N","","","66.0",",,N,13,","86.9",",,,N","",""
"US1MDAA0001","2014-10","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","8",",N","4",",N","1",",N","","","","","20141016",",,N","","","40.4",",,N,16,","74.6",",,,N","",""
"US1MDAA0001","2014-11","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","11",",N","7",",N","0",",N","","","","","20141127",",,N","","","22.9",",,N,27,","88.7",",,,N","",""
"US1MDAA0001","2015-01","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","9","4,N","6","4,N","1","4,N","","","","","20150124",",4,N","","","27.9","4,,N,24,","99.0",",a,,N","",""
"US1MDAA0001","2015-02","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","6","1,N","3","1,N","0","1,N","5","1,N","20150217",",1,N","20150217",",1,N","112","1,,N,17,","12.4","1,,N,17,","22.8","1,,,N","288","1,,,N"
"US1MDAA0001","2015-03","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","11","3,N","9","3,N","0","3,N","","","","","20150306",",3,N","","","20.6","3,,N,06,","125.3",",a,,N","",""
"US1MDAA0001","2015-04","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","13",",N","6",",N","1",",N","","","","","20150420",",,N","","","35.1",",,N,20,","97.9",",,,N","",""
"US1MDAA0001","2015-05","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","6",",N","4",",N","1",",N","","","","","20150519",",,N","","","28.2",",,N,19,","49.5",",,,N","",""
"US1MDAA0001","2015-06","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","16",",N","12",",N","3",",N","","","","","20150602",",,N","","","35.3",",,N,02,","227.1",",,,N","",""
"US1MDAA0001","2015-07","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","12",",N","3",",N","0",",N","","","","","20150701",",,N","","","19.1",",,N,01,","41.5",",,,N","",""
"US1MDAA0001","2015-08","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","6",",N","4",",N","0",",N","","","","","20150811",",,N","","","18.8",",,N,11,","46.8",",,,N","",""
"US1MDAA0001","2015-09","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","4",",N","3",",N","1",",N","","","","","20150930",",,N","","","43.4",",,N,30,","59.5",",,,N","",""
"US1MDAA0001","2015-10","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","9",",N","6",",N","1",",N","","","","","20151003",",,N","","","42.2",",,N,03,","110.3",",,,N","",""
"US1MDAA0001","2015-11","38.89776","-76.59653","46.0","BIRDSVILLE 0.2 WSW, MD US","10",",N","5",",N","0",",N","","","","","20151110",",,N","","","20.1",",,N,10,","55.8",",,,N","",""
