"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MELN0026","2016-02","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","13","1,N","8","1,N","2","1,N","13",",N","4",",N","20160216","+,,N","20160206",",,N","20160225",",1,N","241",",,N,16,+","203",",,N,06,","28.4","1,,N,25,","124.0","1,,,N","413",",,,N"
"US1MELN0026","2016-03","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","13",",N","10",",N","1",",N","","","","","","","","","20160329",",,N","","","","","26.4",",,N,29,","108.1",",,,N","",""
"US1MELN0026","2016-04","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","10","4,N","6","4,N","0","4,N","","","","","","","","","20160419",",4,N","","","","","15.0","4,,N,19,","59.2","2,a,,N","",""
"US1MELN0026","2016-06","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","8","5,N","5","5,N","1","5,N","","","","","","","","","20160606",",5,N","","","","","41.7","5,,N,06,","68.0","5,,,N","",""
"US1MELN0026","2016-07","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","9","2,N","8","2,N","0","2,N","","","","","","","","","20160718",",2,N","","","","","19.8","2,,N,18,","62.0","2,,,N","",""
"US1MELN0026","2016-08","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","8",",N","4",",N","2",",N","","","","","","","","","20160813",",,N","","","","","31.8",",,N,13,","87.6",",,,N","",""
"US1MELN0026","2016-09","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","9","3,N","2","3,N","0","3,N","","","","","","","","","20160920",",3,N","","","","","6.4","3,,N,20,","20.7","1,a,,N","",""
"US1MELN0026","2016-10","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","","","","","","","","","","","","","","","","","","","","","","","131.4","4,a,,N","",""
"US1MELN0026","2016-11","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","12",",N","5",",N","1",",N","","","","","","","","","20161130",",,N","","","","","45.2",",,N,30,","104.0",",,,N","",""
"US1MELN0026","2016-12","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","12","4,N","10","4,N","2","4,N","","","","","","","","","20161230",",4,N","","","","","47.2","4,,N,30,","137.5","4,,,N","",""
"US1MELN0026","2017-01","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","12","2,N","8","2,N","0","2,N","","","","","","","","","20170104",",2,N","","","","","24.6","2,,N,04,","106.4",",a,,N","",""
"US1MELN0026","2017-06","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","16","2,N","5","2,N","1","2,N","","","","","","","","","20170601",",2,N","","","","","26.7","2,,N,01,","70.1","2,,,N","",""
"US1MELN0026","2017-07","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","12",",N","3",",N","0",",N","","","","","","","","","20170725",",,N","","","","","7.6",",,N,25,","25.4",",,,N","",""
"US1MELN0026","2017-08","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","5",",N","5",",N","1",",N","","","","","","","","","20170819",",,N","","","","","34.3",",,N,19,","53.9",",,,N","",""
"US1MELN0026","2018-04","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","8","5,N","5","5,N","1","5,N","","","","","","","","","20180426",",5,N","","","","","34.8","5,,N,26,","71.8","5,,,N","",""
"US1MELN0026","2020-08","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","10","2,N","4","2,N","2","2,N","","","","","","","","","20200819",",2,N","","","","","41.1","2,,N,19,","102.4","2,,,N","",""
"US1MELN0026","2020-09","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","5","2,N","2","2,N","0","2,N","","","","","","","","","20200903",",2,N","","","","","6.4","2,,N,03,","12.8","2,,,N","",""
"US1MELN0026","2020-12","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","11","4,N","6","4,N","1","4,N","","","","","","","","","20201206",",4,N","","","","","64.8","4,,N,06,","135.3","4,,,N","",""
"US1MELN0026","2021-01","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","7","1,N","3","1,N","1","1,N","","","","","","","","","20210117",",1,N","","","","","28.7","1,,N,17,","48.3","1,,,N","",""
"US1MELN0026","2021-02","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","9","5,N","8","5,N","0","5,N","","","","","","","","","20210203",",5,N","","","","","22.9","5,,N,03,","98.9","5,,,N","",""
"US1MELN0026","2021-03","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","6","5,N","5","5,N","1","5,N","","","","","","","","","20210329",",5,N","","","","","50.5","5,,N,29,","77.7","5,,,N","",""
"US1MELN0026","2021-04","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","","","","","","","","","","","","","","","","","","","","","","","89.2","4,a,,N","",""
"US1MELN0026","2024-03","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","17","5,N","13","5,N","4","5,N","","","","","","","","","20240324",",5,N","","","","","51.3","5,,N,24,","206.5","5,,,N","",""
"US1MELN0026","2024-04","43.887802","-69.669032","14.6","TREVETT 0.3 NE, ME US","13",",N","7",",N","1",",N","","","","","","","","","20240404",",,N","","","","","26.2",",,N,04,","110.3",",,,N","",""
