"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MIKN0011","2008-10","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","13","1,N","7","1,N","0","1,N","0","1,N","20081031","+,1,N","20081025",",1,N","0","1,,N,31,+","18.3","1,,N,25,","56.9","1,,,N","0","1,,,N"
"US1MIKN0011","2009-01","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","16",",N","6",",N","0",",N","","","","","20090111",",,N","","","8.4",",,N,11,","43.0",",,,N","",""
"US1MIKN0011","2009-02","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","10",",N","5",",N","1",",N","","","","","20090227",",,N","","","31.2",",,N,27,","78.9",",,,N","",""
"US1MIKN0011","2009-03","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","6","5,N","4","5,N","0","5,N","","","","","20090309",",5,N","","","15.0","5,,N,09,","62.1",",a,,N","",""
"US1MIKN0011","2009-04","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","11",",N","8",",N","2",",N","0","2,N","20090430","+,2,N","20090426",",,N","0","2,,N,30,+","42.2",",,N,26,","123.2",",,,N","0","2,,,N"
"US1MIKN0011","2009-05","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","8",",N","6",",N","0",",N","0",",N","20090531","+,,N","20090514",",,N","0",",,N,31,+","17.0",",,N,14,","65.7",",,,N","0",",,,N"
"US1MIKN0011","2009-06","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","12",",N","7",",N","1",",N","","","","","20090620",",,N","","","33.8",",,N,20,","108.0",",,,N","",""
"US1MIKN0011","2009-07","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","12",",N","5",",N","0",",N","","","","","20090711",",,N","","","22.6",",,N,11,","48.7",",,,N","",""
"US1MIKN0011","2009-08","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","17",",N","11",",N","1",",N","","","","","20090809",",,N","","","30.7",",,N,09,","119.6",",,,N","",""
"US1MIKN0011","2009-10","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","17",",N","10",",N","2",",N","","","","","20091030",",,N","","","50.0",",,N,30,","185.7",",,,N","",""
"US1MIKN0011","2010-01","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","9",",N","2",",N","0",",N","","","","","20100108",",,N","","","10.2",",,N,08,","23.0",",,,N","",""
"US1MIKN0011","2010-02","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","13",",N","7",",N","0",",N","","","","","20100210",",,N","","","15.2",",,N,10,","51.5",",,,N","",""
"US1MIKN0011","2010-03","42.923687","-85.322221","215.8","LOWELL 1.4 ESE, MI US","5","4,N","3","4,N","0","4,N","","","","","20100312",",4,N","","","17.3","4,,N,12,","27.0",",a,,N","",""
