"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MIWY0132","2021-03","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","5","2,N","3","2,N","0","2,N","20210328",",2,N","15.0","2,,N,28,","23.7","2,,,N"
"US1MIWY0132","2021-04","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","12",",N","7",",N","0",",N","20210429","+,,N","11.7",",,N,29,+","68.8",",,,N"
"US1MIWY0132","2021-05","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","11",",N","10",",N","1",",N","20210524",",,N","47.5",",,N,24,","149.9",",,,N"
"US1MIWY0132","2021-06","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","8",",N","5",",N","2",",N","20210621",",,N","38.9",",,N,21,","114.0",",,,N"
"US1MIWY0132","2021-07","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","12",",N","10",",N","2",",N","20210717",",,N","59.4",",,N,17,","170.8",",,,N"
"US1MIWY0132","2021-08","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","5","4,N","4","4,N","1","4,N","20210813",",4,N","42.7","4,,N,13,","117.6","1,a,,N"
"US1MIWY0132","2021-09","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","9",",N","6",",N","1",",N","20210922",",,N","72.6",",,N,22,","140.1",",,,N"
"US1MIWY0132","2021-10","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","10","3,N","7","3,N","3","3,N","20211029","+,3,N","35.1","3,,N,29,+","214.0",",a,,N"
"US1MIWY0132","2021-11","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","8",",N","7",",N","0",",N","20211125",",,N","14.2",",,N,25,","54.8",",,,N"
"US1MIWY0132","2021-12","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","11",",N","8",",N","0",",N","20211205",",,N","18.0",",,N,05,","85.4",",,,N"
"US1MIWY0132","2022-01","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","1",",N","0",",N","0",",N","20220109",",,N","1.8",",,N,09,","1.8",",,,N"
"US1MIWY0132","2022-02","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","7",",N","7",",N","0",",N","20220217",",,N","24.1",",,N,17,","49.5",",,,N"
"US1MIWY0132","2022-03","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","11",",N","7",",N","0",",N","20220323",",,N","16.5",",,N,23,","63.2",",,,N"
"US1MIWY0132","2022-04","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","14",",N","10",",N","0",",N","20220423",",,N","17.8",",,N,23,","68.4",",,,N"
"US1MIWY0132","2022-05","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","9",",N","9",",N","1",",N","20220503",",,N","27.2",",,N,03,","116.4",",,,N"
"US1MIWY0132","2022-06","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","12",",N","4",",N","0",",N","20220607",",,N","19.8",",,N,07,","72.1",",,,N"
"US1MIWY0132","2022-07","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","7",",N","7",",N","0",",N","20220722",",,N","10.2",",,N,22,","49.3",",,,N"
"US1MIWY0132","2022-08","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","4","2,N","4","2,N","1","2,N","20220829",",2,N","34.3","2,,N,29,","61.1","2,,,N"
"US1MIWY0132","2022-09","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","5",",N","5",",N","0",",N","20220921",",,N","11.4",",,N,21,","29.0",",,,N"
"US1MIWY0132","2022-10","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","5",",N","3",",N","0",",N","20221031",",,N","17.0",",,N,31,","28.6",",,,N"
"US1MIWY0132","2022-11","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","5",",N","3",",N","1",",N","20221127",",,N","29.0",",,N,27,","39.2",",,,N"
"US1MIWY0132","2022-12","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","2","2,N","2","2,N","0","2,N","20221215",",2,N","16.3","2,,N,15,","31.8","2,,,N"
"US1MIWY0132","2023-01","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","6","1,N","4","1,N","1","1,N","20230119",",1,N","37.1","1,,N,19,","63.1","1,,,N"
"US1MIWY0132","2023-02","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","5","1,N","2","1,N","2","1,N","20230227",",1,N","37.3","1,,N,27,","68.0","1,,,N"
"US1MIWY0132","2023-03","42.091812","-83.22482","179.5","GIBRALTAR 1.2 W, MI US","11",",N","8",",N","0",",N","20230331",",,N","24.6",",,N,31,","105.6",",,,N"
