"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNBN0006","2019-04","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","14","2,N","6","2,N","1","2,N","","","","","20190418",",2,N","","","25.9","2,,N,18,","71.6","2,,,N","",""
"US1MNBN0006","2019-05","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","14",",N","9",",N","1",",N","","","","","20190518",",,N","","","32.8",",,N,18,","123.1",",,,N","",""
"US1MNBN0006","2019-06","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","10",",N","8",",N","1",",N","","","","","20190628",",,N","","","30.7",",,N,28,","88.6",",,,N","",""
"US1MNBN0006","2019-07","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","12","1,N","7","1,N","2","1,N","","","","","20190701",",1,N","","","34.8","1,,N,01,","119.9","1,,,N","",""
"US1MNBN0006","2019-08","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","10","1,N","8","1,N","1","1,N","","","","","20190814",",1,N","","","35.8","1,,N,14,","90.4","1,,,N","",""
"US1MNBN0006","2019-10","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","7","5,N","4","5,N","2","5,N","","","","","20191022",",5,N","","","34.3","5,,N,22,","87.1","1,a,,N","",""
"US1MNBN0006","2019-11","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","7",",N","4",",N","0",",N","2","5,N","20191127",",5,N","20191127",",,N","140","5,,N,27,","8.9",",,N,27,","26.0",",,,N","178","5,,,N"
"US1MNBN0006","2019-12","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","8","2,N","4","2,N","1","2,N","5","3,N","20191209",",3,N","20191229",",2,N","102","3,,N,09,","27.2","2,,N,29,","48.3","2,,,N","372","3,,,N"
"US1MNBN0006","2020-01","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","9",",N","3",",N","0",",N","5",",N","20200118",",,N","20200118",",,N","140",",,N,18,","11.4",",,N,18,","25.9",",,,N","341",",,,N"
"US1MNBN0006","2020-02","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","0","5,N","0","5,N","0","5,N","0","5,N","20200213","+,5,N","20200213","+,5,N","0","5,T,N,13,+","0.0","5,T,N,13,+","0.0","5,T,,N","0","5,T,,N"
"US1MNBN0006","2020-03","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","6","1,N","3","1,N","1","1,N","2","5,N","20200329",",5,N","20200329",",1,N","76","5,,N,29,","26.2","1,,N,29,","36.7","1,,,N","140","5,,,N"
"US1MNBN0006","2020-04","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","7","1,N","3","1,N","0","1,N","","","","","20200429",",1,N","","","18.3","1,,N,29,","37.5","1,,,N","",""
"US1MNBN0006","2020-05","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","7","1,N","2","1,N","0","1,N","","","","","20200517",",1,N","","","15.5","1,,N,17,","25.9","1,,,N","",""
"US1MNBN0006","2020-06","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","8",",N","5",",N","0",",N","","","","","20200630",",,N","","","24.6",",,N,30,","69.7",",,,N","",""
"US1MNBN0006","2020-07","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","12",",N","5",",N","1",",N","","","","","20200718",",,N","","","49.5",",,N,18,","129.3",",,,N","",""
"US1MNBN0006","2020-08","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","13","1,N","9","1,N","2","1,N","","","","","20200815",",1,N","","","62.2","1,,N,15,","173.4","1,,,N","",""
"US1MNBN0006","2020-09","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","9",",N","3",",N","0",",N","","","","","20200924",",,N","","","18.8",",,N,24,","42.4",",,,N","",""
"US1MNBN0006","2020-10","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","8",",N","3",",N","0",",N","2","3,N","20201021",",3,N","20201012",",,N","160","3,,N,21,","25.1",",,N,12,","47.1",",,,N","185","3,,,N"
"US1MNBN0006","2020-11","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","4",",N","2",",N","0",",N","1","2,N","20201111",",2,N","20201110",",,N","160","2,,N,11,","19.3",",,N,10,","34.3",",,,N","160","2,,,N"
"US1MNBN0006","2020-12","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","3","1,N","2","1,N","0","1,N","2","1,N","20201230",",1,N","20201230",",1,N","84","1,,N,30,","7.6","1,,N,30,","11.9","1,,,N","135","1,,,N"
"US1MNBN0006","2021-01","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","3",",N","2",",N","0",",N","2",",N","20210124",",,N","20210115",",,N","51",",,N,24,","12.4",",,N,15,","16.7",",,,N","76",",,,N"
"US1MNBN0006","2021-02","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","2","4,N","1","4,N","0","4,N","2","4,N","20210228",",4,N","20210228",",4,N","89","4,,N,28,","7.6","4,,N,28,","9.4","4,,,N","114","4,,,N"
"US1MNBN0006","2021-03","45.67037","-94.166798","331.3","RICE 6.5 SSE, MN US","8",",N","6",",N","0",",N","2","5,N","20210316",",5,N","20210311",",,N","76","5,,N,16,","17.5",",,N,11,","54.7",",,,N","101","5,,,N"
