"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MNDK0166","2022-05","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","17",",N","8",",N","1",",N","20220512",",,N","54.1",",,N,12,","118.2",",,,N"
"US1MNDK0166","2022-07","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","11",",N","6",",N","0",",N","20220713",",,N","11.4",",,N,13,","45.3",",,,N"
"US1MNDK0166","2022-08","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","10","2,N","9","2,N","1","2,N","20220828",",2,N","45.7","2,,N,28,","137.9","2,,,N"
"US1MNDK0166","2022-10","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","7",",N","1",",N","0",",N","20221025",",,N","3.6",",,N,25,","11.0",",,,N"
"US1MNDK0166","2023-05","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","8","4,N","6","4,N","0","4,N","20230514",",4,N","15.0","4,,N,14,","50.2","4,,,N"
"US1MNDK0166","2023-06","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","9",",N","4",",N","1",",N","20230611",",,N","41.1",",,N,11,","77.4",",,,N"
"US1MNDK0166","2023-07","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","10",",N","5",",N","1",",N","20230726",",,N","32.8",",,N,26,","82.1",",,,N"
"US1MNDK0166","2023-08","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","6",",N","5",",N","1",",N","20230814",",,N","38.6",",,N,14,","90.3",",,,N"
"US1MNDK0166","2023-09","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","10",",N","8",",N","2",",N","20230924",",,N","53.8",",,N,24,","133.3",",,,N"
"US1MNDK0166","2024-05","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","14","2,N","13","2,N","1","2,N","20240522",",2,N","58.4","2,,N,22,","154.8","2,,,N"
"US1MNDK0166","2024-06","44.906913","-93.100381","310.9","WEST SAINT PAUL 0.8 WNW, MN US","17","2,N","14","2,N","3","2,N","20240616",",2,N","41.9","2,,N,16,","239.4","2,,,N"
