"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOAN0013","2022-04","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","12","3,N","9","3,N","1","3,N","","","","","20220421",",3,N","","","30.5","3,,N,21,","119.2","3,,,N","",""
"US1MOAN0013","2022-05","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","13",",N","8",",N","2",",N","","","","","20220503",",,N","","","41.4",",,N,03,","130.3",",,,N","",""
"US1MOAN0013","2022-06","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","8",",N","4",",N","2",",N","","","","","20220601",",,N","","","46.0",",,N,01,","112.3",",,,N","",""
"US1MOAN0013","2022-07","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","11",",N","6",",N","2",",N","","","","","20220726",",,N","","","109.2",",,N,26,","192.5",",,,N","",""
"US1MOAN0013","2022-08","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","8",",N","4",",N","1",",N","","","","","20220816",",,N","","","41.7",",,N,16,","59.5",",,,N","",""
"US1MOAN0013","2022-09","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","7","1,N","4","1,N","0","1,N","","","","","20220911",",1,N","","","24.1","1,,N,11,","74.1","1,,,N","",""
"US1MOAN0013","2022-10","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","9",",N","5",",N","1",",N","","","","","20221026",",,N","","","26.4",",,N,26,","94.4",",,,N","",""
"US1MOAN0013","2022-11","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","7",",N","4",",N","1",",N","","","","","20221127",",,N","","","31.2",",,N,27,","56.0",",,,N","",""
"US1MOAN0013","2022-12","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","5",",N","1",",N","1",",N","","","","","20221214",",,N","","","34.8",",,N,14,","39.4",",,,N","",""
"US1MOAN0013","2023-01","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","7",",N","4",",N","0",",N","","","","","20230119",",,N","","","7.9",",,N,19,","27.6",",,,N","",""
"US1MOAN0013","2023-02","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","6","1,N","4","1,N","1","1,N","","","","","20230209",",1,N","","","29.5","1,,N,09,","67.1","1,,,N","",""
"US1MOAN0013","2023-03","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","12",",N","6",",N","0",",N","","","","","20230317",",,N","","","9.9",",,N,17,","47.1",",,,N","",""
"US1MOAN0013","2023-04","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","7",",N","4",",N","0",",N","","","","","20230416",",,N","","","23.1",",,N,16,","41.6",",,,N","",""
"US1MOAN0013","2023-05","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","7",",N","5",",N","0",",N","","","","","20230516",",,N","","","16.0",",,N,16,","54.6",",,,N","",""
"US1MOAN0013","2023-06","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","8",",N","2",",N","0",",N","","","","","20230611",",,N","","","14.5",",,N,11,","31.3",",,,N","",""
"US1MOAN0013","2023-07","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","11",",N","4",",N","1",",N","","","","","20230713",",,N","","","35.8",",,N,13,","56.9",",,,N","",""
"US1MOAN0013","2023-08","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","15",",N","7",",N","1",",N","","","","","20230802",",,N","","","103.4",",,N,02,","204.3",",,,N","",""
"US1MOAN0013","2023-09","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","7",",N","1",",N","0",",N","","","","","20230912",",,N","","","4.6",",,N,12,","8.7",",,,N","",""
"US1MOAN0013","2023-10","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","14",",N","8",",N","1",",N","","","","","20231029",",,N","","","38.4",",,N,29,","76.1",",,,N","",""
"US1MOAN0013","2023-11","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","4",",N","3",",N","0",",N","0","3,N","20231126",",3,N","20231121",",,N","13","3,,N,26,","5.1",",,N,21,","12.4",",,,N","13","3,,,N"
"US1MOAN0013","2023-12","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","15",",N","8",",N","1",",N","","","","","20231201",",,N","","","29.2",",,N,01,","80.2",",,,N","",""
"US1MOAN0013","2024-01","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","9",",N","5",",N","0",",N","","","","","20240109",",,N","","","14.7",",,N,09,","48.5",",,,N","",""
"US1MOAN0013","2024-02","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","2",",N","1",",N","0",",N","1","3,N","20240217",",3,N","20240217",",,N","64","3,,N,17,","4.6",",,N,17,","6.9",",,,N","64","3,,,N"
"US1MOAN0013","2024-03","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","9","1,N","7","1,N","1","1,N","","","","","20240326",",1,N","","","26.2","1,,N,26,","90.9","1,,,N","",""
"US1MOAN0013","2024-04","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","9","1,N","7","1,N","3","1,N","","","","","20240402",",1,N","","","31.0","1,,N,02,","126.2","1,,,N","",""
"US1MOAN0013","2024-05","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","13","1,N","7","1,N","0","1,N","","","","","20240503",",1,N","","","21.1","1,,N,03,","82.8","1,,,N","",""
"US1MOAN0013","2024-06","39.209138","-92.0111485","250.5","CENTRALIA 6.5 E, MO US","12",",N","9",",N","1",",N","","","","","20240626",",,N","","","41.4",",,N,26,","110.3",",,,N","",""
