"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOFR0010","2009-03","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","9","1,N","6","1,N","1","1,N","","","","","20090329",",1,N","","","27.7","1,,N,29,","84.0","1,,,N","",""
"US1MOFR0010","2009-04","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","11","2,N","7","2,N","0","2,N","","","","","20090428",",2,N","","","20.1","2,,N,28,","100.9","2,,,N","",""
"US1MOFR0010","2009-05","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","15",",N","12",",N","1",",N","","","","","20090528",",,N","","","33.0",",,N,28,","134.7",",,,N","",""
"US1MOFR0010","2009-07","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","7","4,N","4","4,N","2","4,N","","","","","20090704",",4,N","","","80.8","4,,N,04,","146.3","4,,,N","",""
"US1MOFR0010","2009-08","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","10","3,N","3","3,N","2","3,N","","","","","20090818",",3,N","","","35.3","3,,N,18,","78.1","3,,,N","",""
"US1MOFR0010","2009-11","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","6","3,N","5","3,N","0","3,N","","","","","20091116",",3,N","","","23.1","3,,N,16,","78.2","3,,,N","",""
"US1MOFR0010","2009-12","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","7","1,N","5","1,N","0","1,N","","","","","20091225",",1,N","","","23.6","1,,N,25,","77.6","1,,,N","",""
"US1MOFR0010","2010-01","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","7",",N","6",",N","1",",N","","","","","20100124",",,N","","","31.8",",,N,24,","65.3",",,,N","",""
"US1MOFR0010","2010-02","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","8",",N","5",",N","0",",N","2","3,N","20100209",",3,N","20100222",",,N","79","3,,N,09,","16.3",",,N,22,","48.6",",,,N","203","3,,,N"
"US1MOFR0010","2010-03","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","12",",N","9",",N","0",",N","","","","","20100326",",,N","","","17.0",",,N,26,","64.9",",,,N","",""
"US1MOFR0010","2010-04","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","9",",N","5",",N","1",",N","","","","","20100425",",,N","","","66.8",",,N,25,","118.8",",,,N","",""
"US1MOFR0010","2010-05","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","11","5,N","7","5,N","2","5,N","","","","","20100516",",5,N","","","30.0","5,,N,16,","116.1","5,,,N","",""
"US1MOFR0010","2010-06","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","9","1,N","8","1,N","1","1,N","","","","","20100616",",1,N","","","31.5","1,,N,16,","103.4","1,,,N","",""
"US1MOFR0010","2010-09","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","14",",N","10",",N","3",",N","","","","","20100919",",,N","","","71.9",",,N,19,","203.5",",,,N","",""
"US1MOFR0010","2010-10","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","1","4,N","1","4,N","0","4,N","","","","","20101026",",4,N","","","5.8","4,,N,26,","5.8","4,,,N","",""
"US1MOFR0010","2010-12","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","6","5,N","4","5,N","0","5,N","","","","","20101212",",5,N","","","5.6","5,,N,12,","16.2","5,,,N","",""
"US1MOFR0010","2011-02","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","11","2,N","7","2,N","0","2,N","","","","","20110225",",2,N","","","24.6","2,,N,25,","94.6","2,,,N","",""
"US1MOFR0010","2011-03","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","14",",N","7",",N","2",",N","","","","","20110305",",,N","","","43.9",",,N,05,","161.5",",,,N","",""
"US1MOFR0010","2011-05","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","16","3,N","11","3,N","0","3,N","","","","","20110520",",3,N","","","19.8","3,,N,20,","118.5",",a,,N","",""
"US1MOFR0010","2011-06","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","10",",N","7",",N","2",",N","","","","","20110611",",,N","","","50.3",",,N,11,","146.3",",,,N","",""
"US1MOFR0010","2011-07","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","5","3,N","3","3,N","2","3,N","","","","","20110708",",3,N","","","39.6","3,,N,08,","85.1","3,,,N","",""
"US1MOFR0010","2011-09","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","12","4,N","7","4,N","0","4,N","","","","","20110919",",4,N","","","23.9","4,,N,19,","105.4","4,,,N","",""
"US1MOFR0010","2011-12","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","8","4,N","6","4,N","1","4,N","","","","","20111220",",4,N","","","27.9","4,,N,20,","87.9","4,,,N","",""
"US1MOFR0010","2012-02","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","7","5,N","4","5,N","0","5,N","","","","","20120216",",5,N","","","8.6","5,,N,16,","27.3","5,,,N","",""
"US1MOFR0010","2012-03","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","11","2,N","8","2,N","0","2,N","","","","","20120312",",2,N","","","15.7","2,,N,12,","57.9","2,,,N","",""
"US1MOFR0010","2012-05","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","8","4,N","4","4,N","1","4,N","","","","","20120507",",4,N","","","27.9","4,,N,07,","47.2","4,,,N","",""
"US1MOFR0010","2012-06","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","3","4,N","2","4,N","0","4,N","","","","","20120617",",4,N","","","20.3","4,,N,17,","36.1","4,,,N","",""
"US1MOFR0010","2012-08","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","7","4,N","5","4,N","2","4,N","","","","","20120805",",4,N","","","68.1","4,,N,05,","156.7","4,,,N","",""
"US1MOFR0010","2012-10","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","10","3,N","6","3,N","0","3,N","","","","","20121014",",3,N","","","23.9","3,,N,14,","64.8","3,,,N","",""
"US1MOFR0010","2012-11","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","4","2,N","1","2,N","0","2,N","","","","","20121112",",2,N","","","17.3","2,,N,12,","21.6","2,,,N","",""
"US1MOFR0010","2012-12","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","5","5,N","4","5,N","0","5,N","","","","","20121204",",5,N","","","20.3","5,,N,04,","43.9","5,,,N","",""
"US1MOFR0010","2013-01","38.538601","-90.966879","161.2","WASHINGTON 2.7 ESE, MO US","7","3,N","5","3,N","1","3,N","","","","","20130130",",3,N","","","42.2","3,,N,30,","81.7","3,,,N","",""
