"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOFSA143","2006-05","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","11",",N","9",",N","1",",N","0",",N","20060531","+,,N","20060504",",,N","0",",,N,31,+","38.4",",,N,04,","117.7",",,,N","0",",,,N"
"US1MOFSA143","2006-06","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","4",",N","4",",N","1",",N","0",",N","20060630","+,,N","20060618",",,N","0",",,N,30,+","26.7",",,N,18,","52.6",",,,N","0",",,,N"
"US1MOFSA143","2006-07","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","8",",N","8",",N","3",",N","0",",N","20060731","+,,N","20060712",",,N","0",",,N,31,+","37.3",",,N,12,","136.0",",,,N","0",",,,N"
"US1MOFSA143","2006-08","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","3",",N","3",",N","1",",N","0",",N","20060831","+,,N","20060815",",,N","0",",,N,31,+","27.9",",,N,15,","41.6",",,,N","0",",,,N"
"US1MOFSA143","2006-09","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","7",",N","7",",N","3",",N","0",",N","20060930","+,,N","20060923",",,N","0",",,N,30,+","270.5",",,N,23,","386.8",",,,N","0",",,,N"
"US1MOFSA143","2006-10","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","6",",N","6",",N","2",",N","0",",N","20061031","+,,N","20061017",",,N","0",",,N,31,+","63.5",",,N,17,","135.7",",,,N","0",",,,N"
"US1MOFSA143","2006-11","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","10",",N","7",",N","3",",N","0",",N","20061130","+,,N","20061130",",,N","0",",,N,30,+","38.1",",,N,30,","142.2",",,,N","0",",,,N"
"US1MOFSA143","2006-12","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","6",",N","5",",N","3",",N","0",",N","20061231","+,,N","20061230",",,N","0",",,N,31,+","43.2",",,N,30,","142.5",",,,N","0",",,,N"
"US1MOFSA143","2007-01","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","7",",N","7",",N","3",",N","0",",N","20070131","+,,N","20070113",",,N","0",",,N,31,+","83.8",",,N,13,","197.0",",,,N","0",",,,N"
"US1MOFSA143","2007-02","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","7",",N","5",",N","3",",N","1",",N","20070217",",,N","20070213","+,,N","25",",,N,17,","29.2",",,N,13,+","94.2",",,,N","51",",,,N"
"US1MOFSA143","2007-03","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","7",",N","6",",N","1",",N","0",",N","20070331","+,,N","20070331",",,N","0",",,N,31,+","61.0",",,N,31,","92.0",",,,N","0",",,,N"
"US1MOFSA143","2007-04","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","6",",N","5",",N","1",",N","0",",N","20070430","+,,N","20070413",",,N","0",",,N,30,+","30.5",",,N,13,","78.9",",,,N","0",",,,N"
"US1MOFSA143","2007-05","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","6",",N","5",",N","1",",N","0",",N","20070531","+,,N","20070503",",,N","0",",,N,31,+","30.5",",,N,03,","60.2",",,,N","0",",,,N"
"US1MOFSA143","2007-06","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","7",",N","7",",N","0",",N","0",",N","20070630","+,,N","20070624",",,N","0",",,N,30,+","19.8",",,N,24,","82.5",",,,N","0",",,,N"
"US1MOFSA143","2007-07","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","3",",N","3",",N","2",",N","0",",N","20070731","+,,N","20070701",",,N","0",",,N,31,+","45.7",",,N,01,","77.2",",,,N","0",",,,N"
"US1MOFSA143","2007-08","36.5869","-89.5452","91.1","NEW MADRID 0.3 SE, MO US","0",",N","0",",N","0",",N","0",",N","20070831","+,,N","20070831","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
