"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOTX0006","2006-09","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","8",",N","4",",N","0",",N","0",",N","20060930","+,,N","20060923",",,N","0",",,N,30,+","14.7",",,N,23,","44.2",",,,N","0",",,,N"
"US1MOTX0006","2006-10","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","11",",N","7",",N","1",",N","0",",N","20061031","+,,N","20061017",",,N","0",",,N,31,+","45.0",",,N,17,","137.8",",,,N","0",",,,N"
"US1MOTX0006","2006-11","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","10",",N","8",",N","1",",N","0",",N","20061130","+,,N","20061130",",,N","0",",,N,30,+","56.9",",,N,30,","145.4",",,,N","0",",,,N"
"US1MOTX0006","2006-12","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","9",",N","6",",N","1",",N","0",",N","20061231","+,,N","20061201",",,N","0",",,N,31,+","64.3",",,N,01,","108.0",",,,N","0",",,,N"
"US1MOTX0006","2007-01","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","8",",N","5",",N","1",",N","0",",N","20070121",",,N","20070113",",,N","8",",,N,21,","41.4",",,N,13,","102.6",",,,N","8",",,,N"
"US1MOTX0006","2007-02","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","8",",N","4",",N","2",",N","1",",N","20070201",",,N","20070213",",,N","28",",,N,01,","34.8",",,N,13,","70.8",",,,N","41",",,,N"
"US1MOTX0006","2007-03","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","11",",N","3",",N","0",",N","0",",N","20070331","+,,N","20070320",",,N","0",",,N,31,+","22.4",",,N,20,","51.9",",,,N","0",",,,N"
"US1MOTX0006","2007-04","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","10",",N","5",",N","1",",N","0",",N","20070430","+,,N","20070414",",,N","0",",,N,30,+","54.9",",,N,14,","106.7",",,,N","0",",,,N"
"US1MOTX0006","2007-05","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","14",",N","10",",N","0",",N","0",",N","20070531","+,,N","20070504",",,N","0",",,N,31,+","21.3",",,N,04,","117.7",",,,N","0",",,,N"
"US1MOTX0006","2007-06","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","12",",N","8",",N","1",",N","0",",N","20070630","+,,N","20070603",",,N","0",",,N,30,+","26.2",",,N,03,","87.0",",,,N","0",",,,N"
"US1MOTX0006","2007-07","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","10",",N","4",",N","1",",N","0",",N","20070731","+,,N","20070701",",,N","0",",,N,31,+","99.3",",,N,01,","129.7",",,,N","0",",,,N"
"US1MOTX0006","2007-08","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","8",",N","6",",N","1",",N","0",",N","20070831","+,,N","20070821",",,N","0",",,N,31,+","25.4",",,N,21,","57.5",",,,N","0",",,,N"
"US1MOTX0006","2007-09","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","9",",N","4",",N","0",",N","0",",N","20070930","+,,N","20070909",",,N","0",",,N,30,+","24.9",",,N,09,","50.6",",,,N","0",",,,N"
"US1MOTX0006","2007-10","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","9",",N","6",",N","0",",N","0",",N","20071031","+,,N","20071023",",,N","0",",,N,31,+","19.6",",,N,23,","63.5",",,,N","0",",,,N"
"US1MOTX0006","2007-11","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","7",",N","4",",N","0",",N","0",",N","20071122",",,N","20071113",",,N","0",",T,N,22,","14.2",",,N,13,","33.1",",,,N","0",",T,,N"
"US1MOTX0006","2007-12","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","8","5,N","7","5,N","0","5,N","1","5,N","20071216",",5,N","20071215",",5,N","25","5,,N,16,","11.9","5,,N,15,","100.1",",a,,N","25","5,,,N"
"US1MOTX0006","2008-01","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","2",",N","2",",N","0",",N","0",",N","20080118","+,,N","20080109",",,N","0",",T,N,18,+","4.1",",,N,09,","7.1",",,,N","0",",T,,N"
"US1MOTX0006","2008-02","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","8",",N","6",",N","4",",N","0","1,N","20080201",",1,N","20080212",",,N","20","1,,N,01,","55.4",",,N,12,","197.5",",,,N","20","1,,,N"
"US1MOTX0006","2008-03","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","12","2,N","9","2,N","2","2,N","0","2,N","20080331","+,2,N","20080319",",2,N","0","2,,N,31,+","119.9","2,,N,19,","269.0",",a,,N","0","2,,,N"
"US1MOTX0006","2008-04","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","16","2,N","8","2,N","1","2,N","0","2,N","20080430","+,2,N","20080404",",2,N","0","2,,N,30,+","33.3","2,,N,04,","197.6",",a,,N","0","2,,,N"
"US1MOTX0006","2008-05","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","13",",N","10",",N","1",",N","0",",N","20080531","+,,N","20080516",",,N","0",",,N,31,+","45.5",",,N,16,","126.3",",,,N","0",",,,N"
"US1MOTX0006","2008-06","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","13",",N","9",",N","0",",N","0",",N","20080630","+,,N","20080601",",,N","0",",,N,30,+","21.3",",,N,01,","105.7",",,,N","0",",,,N"
"US1MOTX0006","2008-07","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","9",",N","7",",N","2",",N","0",",N","20080731","+,,N","20080731",",,N","0",",,N,31,+","53.3",",,N,31,","138.8",",,,N","0",",,,N"
"US1MOTX0006","2008-08","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","9",",N","7",",N","1",",N","0",",N","20080831","+,,N","20080822",",,N","0",",,N,31,+","30.0",",,N,22,","87.4",",,,N","0",",,,N"
"US1MOTX0006","2008-09","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","7","2,N","2","2,N","2","2,N","0","2,N","20080930","+,2,N","20080914",",2,N","0","2,,N,30,+","62.5","2,,N,14,","218.3",",a,,N","0","2,,,N"
"US1MOTX0006","2008-10","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","7",",N","3",",N","0",",N","0",",N","20081031","+,,N","20081016",",,N","0",",,N,31,+","17.5",",,N,16,","37.7",",,,N","0",",,,N"
"US1MOTX0006","2008-11","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","7",",N","4",",N","0",",N","0",",N","20081130",",,N","20081111",",,N","0",",T,N,30,","17.0",",,N,11,","33.6",",,,N","0",",T,,N"
"US1MOTX0006","2008-12","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","9",",N","8",",N","1",",N","","","","","20081228",",,N","","","25.9",",,N,28,","89.8",",,,N","",""
"US1MOTX0006","2009-02","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","3","4,N","2","4,N","1","4,N","","","","","20090211",",4,N","","","30.2","4,,N,11,","49.0","4,,,N","",""
"US1MOTX0006","2009-03","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","11",",N","8",",N","0",",N","","","","","20090325",",,N","","","16.5",",,N,25,","88.0",",,,N","",""
"US1MOTX0006","2009-04","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","11","2,N","9","2,N","2","2,N","","","","","20090419",",2,N","","","32.5","2,,N,19,","131.9",",a,,N","",""
"US1MOTX0006","2009-05","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","15","2,N","9","2,N","0","2,N","","","","","20090501",",2,N","","","25.1","2,,N,01,","143.1",",a,,N","",""
"US1MOTX0006","2009-06","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","9","2,N","5","2,N","2","2,N","","","","","20090610",",2,N","","","35.8","2,,N,10,","128.2",",a,,N","",""
"US1MOTX0006","2009-07","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","12","3,N","7","3,N","2","3,N","","","","","20090712",",3,N","","","44.5","3,,N,12,","169.1","1,a,,N","",""
"US1MOTX0006","2009-08","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","7","2,N","4","2,N","2","2,N","","","","","20090820",",2,N","","","28.2","2,,N,20,","80.2",",a,,N","",""
"US1MOTX0006","2009-09","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","8","2,N","6","2,N","3","2,N","","","","","20090910",",2,N","","","36.1","2,,N,10,","138.6",",a,,N","",""
"US1MOTX0006","2009-10","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","","","","","","","","","","","","","","","","","232.4",",a,,N","",""
"US1MOTX0006","2009-11","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","5",",N","5",",N","1",",N","","","","","20091116",",,N","","","36.8",",,N,16,","57.9",",,,N","",""
"US1MOTX0006","2009-12","37.256723","-91.709909","395.0","SUMMERSVILLE 6.1 NNW, MO US","","","","","","","","","","","","","","","","","53.6",",a,,N","",""
