"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MOWT0016","2022-03","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","11","1,N","8","1,N","1","1,N","20220331",",1,N","38.4","1,,N,31,","121.4","1,,,N"
"US1MOWT0016","2022-04","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","17","1,N","12","1,N","1","1,N","20220414",",1,N","29.7","1,,N,14,","152.3","1,,,N"
"US1MOWT0016","2022-05","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","14",",N","12",",N","3",",N","20220505",",,N","78.5",",,N,05,","246.8",",,,N"
"US1MOWT0016","2022-06","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","7",",N","4",",N","0",",N","20220626",",,N","7.4",",,N,26,","23.7",",,,N"
"US1MOWT0016","2022-07","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","7",",N","3",",N","0",",N","20220718",",,N","8.9",",,N,18,","22.1",",,,N"
"US1MOWT0016","2022-08","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","9",",N","7",",N","2",",N","20220817",",,N","30.2",",,N,17,","124.9",",,,N"
"US1MOWT0016","2022-09","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","6",",N","4",",N","1",",N","20220903",",,N","41.4",",,N,03,","61.5",",,,N"
"US1MOWT0016","2022-10","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","6",",N","4",",N","1",",N","20221025",",,N","64.0",",,N,25,","97.8",",,,N"
"US1MOWT0016","2022-11","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","7",",N","5",",N","2",",N","20221105",",,N","38.4",",,N,05,","88.7",",,,N"
"US1MOWT0016","2022-12","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","8",",N","3",",N","1",",N","20221210",",,N","27.9",",,N,10,","53.9",",,,N"
"US1MOWT0016","2023-01","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","10",",N","7",",N","1",",N","20230103",",,N","29.7",",,N,03,","102.3",",,,N"
"US1MOWT0016","2023-02","37.274581","-92.573807","433.1","HARTVILLE 3.8 WNW, MO US","11",",N","7",",N","1",",N","20230209",",,N","26.7",",,N,09,","86.4",",,,N"
