"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MSKM0004","2010-06","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","7","4,N","6","4,N","2","4,N","","","","","20100629",",4,N","","","42.9","4,,N,29,","112.6","1,a,,N","",""
"US1MSKM0004","2010-07","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","11","1,N","8","1,N","2","1,N","","","","","20100701",",1,N","","","57.2","1,,N,01,","155.0","1,,,N","",""
"US1MSKM0004","2010-09","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","3","5,N","2","5,N","1","5,N","","","","","20100926",",5,N","","","31.2","5,,N,26,","49.8","3,a,,N","",""
"US1MSKM0004","2010-10","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","3","3,N","2","3,N","0","3,N","0","5,N","20101031","+,5,N","20101025",",3,N","0","5,,N,31,+","17.3","3,,N,25,","32.1","3,,,N","0","5,,,N"
"US1MSKM0004","2010-11","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","12","1,N","9","1,N","1","1,N","","","","","20101130",",1,N","","","34.3","1,,N,30,","152.5","1,,,N","",""
"US1MSKM0004","2010-12","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","8","5,N","6","5,N","0","5,N","","","","","20101212",",5,N","","","19.3","5,,N,12,","37.7","5,,,N","",""
"US1MSKM0004","2011-01","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","9","4,N","7","4,N","1","4,N","","","","","20110101",",4,N","","","47.2","4,,N,01,","119.4","4,,,N","",""
"US1MSKM0004","2011-02","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","6","4,N","6","4,N","0","4,N","","","","","20110225",",4,N","","","23.4","4,,N,25,","71.6","4,,,N","",""
"US1MSKM0004","2011-03","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","211.9","2,a,,N","",""
"US1MSKM0004","2011-05","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","45.2","2,a,,N","",""
"US1MSKM0004","2011-06","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","7","3,N","5","3,N","1","3,N","","","","","20110622",",3,N","","","28.2","3,,N,22,","70.4","1,a,,N","",""
"US1MSKM0004","2011-07","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","17","1,N","11","1,N","2","1,N","","","","","20110713",",1,N","","","43.9","1,,N,13,","190.2","1,,,N","",""
"US1MSKM0004","2011-09","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","206.0","5,a,,N","",""
"US1MSKM0004","2012-03","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","5","2,N","4","2,N","3","2,N","","","","","20120323",",2,N","","","87.4","2,,N,23,","164.8","2,,,N","",""
"US1MSKM0004","2012-05","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","98.7","3,a,,N","",""
"US1MSKM0004","2012-07","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","227.2","4,a,,N","",""
"US1MSKM0004","2012-08","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","18","3,N","11","3,N","2","3,N","","","","","20120817",",3,N","","","66.0","3,,N,17,","180.7","3,,,N","",""
"US1MSKM0004","2012-09","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","71.6","3,a,,N","",""
"US1MSKM0004","2012-11","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","5","4,N","4","4,N","0","4,N","","","","","20121112",",4,N","","","21.6","4,,N,12,","54.2","4,,,N","",""
"US1MSKM0004","2012-12","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","234.8","5,a,,N","",""
"US1MSKM0004","2013-02","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","8","4,N","8","4,N","3","4,N","","","","","20130222",",4,N","","","61.0","4,,N,22,","208.7","4,,,N","",""
"US1MSKM0004","2013-05","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","91.5","4,a,,N","",""
"US1MSKM0004","2013-08","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","104.7","3,a,,N","",""
"US1MSKM0004","2013-10","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","33.6","5,a,,N","",""
"US1MSKM0004","2013-11","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","","","","","","","","","","","","","","","","","145.4","5,a,,N","",""
"US1MSKM0004","2014-09","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","4",",N","2",",N","1",",N","0","5,N","20140930","+,5,N","20140913",",,N","0","5,,N,30,+","34.0",",,N,13,","46.3",",,,N","0","5,,,N"
"US1MSKM0004","2015-01","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","9","2,N","5","2,N","3","2,N","","","","","20150104",",2,N","","","83.3","2,,N,04,","158.2","2,,,N","",""
"US1MSKM0004","2015-03","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","16","5,N","11","5,N","3","5,N","","","","","20150322",",5,N","","","37.8","5,,N,22,","158.5","5,,,N","",""
"US1MSKM0004","2015-04","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","14",",N","6",",N","2",",N","","","","","20150417",",,N","","","59.9",",,N,17,","140.8",",,,N","",""
"US1MSKM0004","2015-05","32.8284279","-88.4787031","63.4","SCOOBA 0.2 SSW, MS US","9","4,N","7","4,N","0","4,N","","","","","20150529",",4,N","","","13.0","4,,N,29,","70.2",",a,,N","",""
