"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1NCBR0082","2017-05","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","9","3,N","8","3,N","1","3,N","20170524",",3,N","54.6","3,,N,24,","129.7",",a,,N"
"US1NCBR0082","2017-06","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","11","1,N","6","1,N","2","1,N","20170621","+,1,N","25.9","1,,N,21,+","81.8","1,,,N"
"US1NCBR0082","2017-07","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","14",",N","9",",N","1",",N","20170727",",,N","39.6",",,N,27,","128.0",",,,N"
"US1NCBR0082","2017-08","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","","","","","","","","","","","189.3","3,a,,N"
"US1NCBR0082","2017-09","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","10","3,N","7","3,N","3","3,N","20170912",",3,N","80.0","3,,N,12,","196.3","3,,,N"
"US1NCBR0082","2017-12","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","11","2,N","7","2,N","1","2,N","20171221",",2,N","41.9","2,,N,21,","84.6","2,,,N"
"US1NCBR0082","2018-01","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","9","5,N","8","5,N","3","5,N","20180129",",5,N","51.6","5,,N,29,","172.2",",a,,N"
"US1NCBR0082","2018-04","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","11","3,N","5","3,N","2","3,N","20180424",",3,N","66.3","3,,N,24,","132.2","3,,,N"
"US1NCBR0082","2018-05","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","9","4,N","7","4,N","1","4,N","20180529",",4,N","66.3","4,,N,29,","266.5","1,a,,N"
"US1NCBR0082","2018-06","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","","","","","","","","","","","77.5","3,a,,N"
"US1NCBR0082","2018-07","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","19","1,N","16","1,N","6","1,N","20180718",",1,N","72.9","1,,N,18,","410.4","1,,,N"
"US1NCBR0082","2018-08","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","9","5,N","6","5,N","2","5,N","20180813",",5,N","36.1","5,,N,13,","129.3","5,,,N"
"US1NCBR0082","2018-09","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","","","","","","","","","","","654.1","1,a,,N"
"US1NCBR0082","2018-10","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","5","5,N","3","5,N","0","5,N","20181011",",5,N","8.9","5,,N,11,","43.0","3,a,,N"
"US1NCBR0082","2018-11","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","15","5,N","8","5,N","3","5,N","20181113",",5,N","53.6","5,,N,13,","182.5","2,a,,N"
"US1NCBR0082","2019-01","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","12","1,N","6","1,N","2","1,N","20190124",",1,N","39.6","1,,N,24,","125.3","1,,,N"
"US1NCBR0082","2019-03","33.904012","-78.076302","4.3","YAUPON BEACH 0.2 S, NC US","","","","","","","","","","","53.9","3,a,,N"
