"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCCM0058","2014-05","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","3","1,N","2","1,N","1","1,N","0","4,N","20140531","+,4,N","20140516",",1,N","0","4,,N,31,+","110.2","1,,N,16,","117.1","1,,,N","0","4,,,N"
"US1NCCM0058","2014-06","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","9",",N","6",",N","0",",N","","","","","20140620",",,N","","","16.3",",,N,20,","58.2",",,,N","",""
"US1NCCM0058","2014-07","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","10",",N","3",",N","1",",N","","","","","20140711",",,N","","","33.8",",,N,11,","54.0",",,,N","",""
"US1NCCM0058","2014-08","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","12",",N","3",",N","1",",N","","","","","20140810",",,N","","","31.2",",,N,10,","50.8",",,,N","",""
"US1NCCM0058","2014-09","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","20",",N","9",",N","3",",N","","","","","20140913",",,N","","","50.8",",,N,13,","169.8",",,,N","",""
"US1NCCM0058","2014-10","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","9","1,N","4","1,N","0","1,N","","","","","20141016",",1,N","","","10.7","1,,N,16,","33.5","1,,,N","",""
"US1NCCM0058","2014-11","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","10","1,N","7","1,N","1","1,N","","","","","20141126",",1,N","","","49.3","1,,N,26,","84.6","1,,,N","",""
"US1NCCM0058","2014-12","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","18",",N","7",",N","1",",N","","","","","20141224",",,N","","","59.7",",,N,24,","126.8",",,,N","",""
"US1NCCM0058","2015-01","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","12",",N","7",",N","2",",N","","","","","20150113",",,N","","","43.2",",,N,13,","124.2",",,,N","",""
"US1NCCM0058","2015-02","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","11",",N","8",",N","1",",N","","","","","20150226",",,N","","","30.7",",,N,26,","92.9",",,,N","",""
"US1NCCM0058","2015-03","34.969616","-78.94381","33.2","HOPE MILLS 0.6 ESE, NC US","15","1,N","8","1,N","1","1,N","","","","","20150315",",1,N","","","26.2","1,,N,15,","80.8","1,,,N","",""
