"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCHR0026","2013-07","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","18","2,N","14","2,N","2","2,N","","","","","20130701",",2,N","","","27.9","2,,N,01,","191.0","2,,,N","",""
"US1NCHR0026","2013-08","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","10","2,N","9","2,N","0","2,N","","","","","20130814",",2,N","","","14.7","2,,N,14,","66.8","2,,,N","",""
"US1NCHR0026","2013-09","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","7","1,N","6","1,N","1","1,N","","","","","20130922",",1,N","","","97.0","1,,N,22,","139.3","1,,,N","",""
"US1NCHR0026","2013-10","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","11","1,N","3","1,N","0","1,N","","","","","20131008",",1,N","","","16.5","1,,N,08,","31.5","1,,,N","",""
"US1NCHR0026","2013-11","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","9","1,N","5","1,N","2","1,N","","","","","20131127",",1,N","","","47.5","1,,N,27,","87.5","1,,,N","",""
"US1NCHR0026","2013-12","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","","","","","","","","","","","","","","","","","106.6","3,a,,N","",""
"US1NCHR0026","2014-03","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","12","1,N","8","1,N","2","1,N","","","","","20140307",",1,N","","","33.0","1,,N,07,","136.6","1,,,N","",""
"US1NCHR0026","2014-04","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","8","1,N","5","1,N","0","1,N","","","","","20140415",",1,N","","","24.4","1,,N,15,","74.3","1,,,N","",""
"US1NCHR0026","2014-05","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","2","3,N","2","3,N","1","3,N","","","","","20140516",",3,N","","","102.1","3,,N,16,","111.0","3,,,N","",""
"US1NCHR0026","2014-06","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","7","2,N","6","2,N","1","2,N","","","","","20140613",",2,N","","","32.3","2,,N,13,","84.9","2,,,N","",""
"US1NCHR0026","2014-07","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","9","5,N","8","5,N","0","5,N","","","","","20140716",",5,N","","","16.5","5,,N,16,","86.3","5,,,N","",""
"US1NCHR0026","2014-10","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","4","4,N","3","4,N","1","4,N","","","","","20141015",",4,N","","","25.9","4,,N,15,","39.6","4,,,N","",""
"US1NCHR0026","2014-11","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","8","2,N","6","2,N","0","2,N","","","","","20141124",",2,N","","","15.7","2,,N,24,","41.7","2,,,N","",""
"US1NCHR0026","2015-01","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","11","1,N","6","1,N","1","1,N","","","","","20150112",",1,N","","","39.4","1,,N,12,","118.1","1,,,N","",""
"US1NCHR0026","2015-02","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","11","2,N","6","2,N","1","2,N","","","","","20150226",",2,N","","","38.6","2,,N,26,","85.0","2,,,N","",""
"US1NCHR0026","2015-03","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","12","1,N","9","1,N","0","1,N","","","","","20150320",",1,N","","","18.0","1,,N,20,","87.1","1,,,N","",""
"US1NCHR0026","2015-04","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","15","1,N","6","1,N","0","1,N","","","","","20150420",",1,N","","","20.6","1,,N,20,","76.1","1,,,N","",""
"US1NCHR0026","2015-05","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","7","4,N","5","4,N","0","4,N","","","","","20150511",",4,N","","","16.3","4,,N,11,","56.8","4,,,N","",""
"US1NCHR0026","2015-09","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","11","5,N","9","5,N","0","5,N","","","","","20150925",",5,N","","","18.8","5,,N,25,","83.3","5,,,N","",""
"US1NCHR0026","2015-10","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","12","2,N","7","2,N","3","2,N","","","","","20151003",",2,N","","","59.2","2,,N,03,","178.8","2,,,N","",""
"US1NCHR0026","2015-11","35.5041198730469","-78.8170471191406","105.2","FUQUAY VARINA 6.1 SSW, NC US","13","4,N","10","4,N","4","4,N","","","","","20151110",",4,N","","","48.0","4,,N,10,","175.4","4,,,N","",""
