"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NHMR0011","2009-09","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","9",",N","5",",N","0",",N","","","","","20090928",",,N","","","13.0",",,N,28,","37.8",",,,N","",""
"US1NHMR0011","2009-10","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","15",",N","10",",N","2",",N","","","","","20091025",",,N","","","67.1",",,N,25,","171.0",",,,N","",""
"US1NHMR0011","2009-11","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","9",",N","5",",N","1",",N","","","","","20091115",",,N","","","39.1",",,N,15,","78.9",",,,N","",""
"US1NHMR0011","2009-12","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","10",",N","9",",N","3",",N","5",",N","20091210",",,N","20091210",",,N","241",",,N,10,","34.3",",,N,10,","129.4",",,,N","558",",,,N"
"US1NHMR0011","2010-01","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","9",",N","7",",N","1",",N","5",",N","20100118",",,N","20100126",",,N","165",",,N,18,","34.5",",,N,26,","75.4",",,,N","497",",,,N"
"US1NHMR0011","2010-02","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","6","1,N","4","1,N","1","1,N","5","1,N","20100225",",1,N","20100226",",1,N","206","1,,N,25,","52.6","1,,N,26,","93.3","1,,,N","642","1,,,N"
"US1NHMR0011","2010-03","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","10",",N","10",",N","3",",N","1",",N","20100301",",,N","20100315",",,N","25",",,N,01,","51.6",",,N,15,","190.4",",,,N","25",",,,N"
"US1NHMR0011","2010-04","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","12",",N","6",",N","1",",N","","","","","20100417",",,N","","","31.8",",,N,17,","60.9",",,,N","",""
"US1NHMR0011","2010-05","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","10","1,N","7","1,N","0","1,N","","","","","20100519",",1,N","","","8.4","1,,N,19,","44.6","1,,,N","",""
"US1NHMR0011","2010-06","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","17",",N","7",",N","1",",N","","","","","20100607",",,N","","","28.2",",,N,07,","62.2",",,,N","",""
"US1NHMR0011","2010-07","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","10",",N","6",",N","1",",N","","","","","20100714",",,N","","","59.4",",,N,14,","96.0",",,,N","",""
"US1NHMR0011","2010-08","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","11",",N","8",",N","0",",N","","","","","20100823",",,N","","","14.2",",,N,23,","71.1",",,,N","",""
"US1NHMR0011","2010-09","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","11",",N","5",",N","0",",N","","","","","20100917",",,N","","","17.5",",,N,17,","50.6",",,,N","",""
"US1NHMR0011","2010-10","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","13",",N","8",",N","5",",N","","","","","20101002",",,N","","","46.7",",,N,02,","220.7",",,,N","",""
"US1NHMR0011","2010-11","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","13","1,N","7","1,N","2","1,N","","","","","20101105",",1,N","","","31.8","1,,N,05,","88.6","1,,,N","",""
"US1NHMR0011","2010-12","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","7",",N","5",",N","3",",N","1","3,N","20101227",",3,N","20101213",",,N","241","3,,N,27,","38.6",",,N,13,","111.2",",,,N","256","3,,,N"
"US1NHMR0011","2011-01","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","13",",N","6",",N","0",",N","6",",N","20110113",",,N","20110112",",,N","231",",,N,13,","19.3",",,N,12,","65.2",",,,N","817",",,,N"
"US1NHMR0011","2011-02","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","8","1,N","8","1,N","1","1,N","7","1,N","20110226",",1,N","20110226",",1,N","249","1,,N,26,","30.2","1,,N,26,","88.8","1,,,N","776","1,,,N"
"US1NHMR0011","2011-03","43.284896","-71.9252503","290.5","SOUTH SUTTON 2.5 SSE, NH US","9",",N","6",",N","1",",N","2",",N","20110322",",,N","20110307",",,N","127",",,N,22,","65.0",",,N,07,","137.4",",,,N","183",",,,N"
