"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NHST0013","2009-07","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","12","5,N","9","5,N","2","5,N","","","","","","","","","20090724",",5,N","","","","","30.7","5,,N,24,","123.5","5,,,N","",""
"US1NHST0013","2009-08","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","10",",N","6",",N","2",",N","","","","","","","","","20090801",",,N","","","","","40.1",",,N,01,","141.0",",,,N","",""
"US1NHST0013","2009-09","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","6",",N","5",",N","0",",N","","","","","","","","","20090913",",,N","","","","","19.8",",,N,13,","49.4",",,,N","",""
"US1NHST0013","2010-05","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","10",",N","4",",N","1",",N","","","","","","","","","20100519",",,N","","","","","29.2",",,N,19,","77.1",",,,N","",""
"US1NHST0013","2010-06","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","16",",N","7",",N","0",",N","","","","","","","","","20100607",",,N","","","","","22.1",",,N,07,","91.3",",,,N","",""
"US1NHST0013","2010-07","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","10",",N","4",",N","1",",N","","","","","","","","","20100714",",,N","","","","","63.8",",,N,14,","111.6",",,,N","",""
"US1NHST0013","2010-08","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","11",",N","7",",N","2",",N","","","","","","","","","20100826",",,N","","","","","77.2",",,N,26,","146.4",",,,N","",""
"US1NHST0013","2010-09","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","12",",N","5",",N","0",",N","","","","","","","","","20100917",",,N","","","","","13.0",",,N,17,","39.8",",,,N","",""
"US1NHST0013","2010-10","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","14",",N","5",",N","2",",N","","","","","","","","","20101015",",,N","","","","","42.7",",,N,15,","117.7",",,,N","",""
"US1NHST0013","2010-11","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","12",",N","9",",N","3",",N","","","","","","","","","20101105",",,N","","","","","31.2",",,N,05,","118.6",",,,N","",""
"US1NHST0013","2010-12","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","6",",N","3",",N","1",",N","","","1","5,N","","","20101227",",5,N","20101213",",,N","","","119","5,,N,27,","58.4",",,N,13,","87.7",",,,N","132","5,,,N"
"US1NHST0013","2011-01","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","10",",N","7",",N","0",",N","20","1,N","7","1,N","20110127",",1,N","20110119",",1,N","20110119",",,N","432","1,,N,27,","173","1,,N,19,","16.5",",,N,19,","58.5",",,,N","785","1,,,N"
"US1NHST0013","2011-02","43.10351385","-70.97561023","32.9","DURHAM 3.6 SW, NH US","10",",N","8",",N","0",",N","28",",N","7","1,N","20110228","+,,N","20110202",",1,N","20110226",",,N","559",",,N,28,+","165","1,,N,02,","23.6",",,N,26,","86.2",",,,N","634","1,,,N"
