"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NJBT0086","2021-08","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","12","3,N","8","3,N","2","3,N","","","0","3,N","","","20210831","+,3,N","20210822",",3,N","","","0","3,,N,31,+","33.8","3,,N,22,","95.5",",a,,N","0","3,,,N"
"US1NJBT0086","2021-09","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","9",",N","6",",N","2",",N","0",",N","0",",N","20210930","+,,N","20210930","+,,N","20210924",",,N","0",",,N,30,+","0",",,N,30,+","52.3",",,N,24,","132.3",",,,N","0",",,,N"
"US1NJBT0086","2021-11","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","11",",N","3",",N","0",",N","0",",N","0",",N","20211130","+,,N","20211130","+,,N","20211113",",,N","0",",,N,30,+","0",",,N,30,+","5.8",",,N,13,","22.0",",,,N","0",",,,N"
"US1NJBT0086","2022-01","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","10","2,N","7","2,N","1","2,N","","","4","2,N","","","20220129",",2,N","20220117",",2,N","","","175","2,,N,29,","31.5","2,,N,17,","78.1","2,,,N","396","2,,,N"
"US1NJBT0086","2022-02","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","10",",N","8",",N","0",",N","5",",N","1","1,N","20220201",",,N","20220214",",1,N","20220225",",,N","152",",,N,01,","46","1,,N,14,","16.3",",,N,25,","77.7",",,,N","61","1,,,N"
"US1NJBT0086","2022-03","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","10",",N","7",",N","0",",N","0",",N","0",",N","20220313",",,N","20220313",",,N","20220325",",,N","0",",T,N,13,","5",",,N,13,","24.4",",,N,25,","86.5",",,,N","5",",,,N"
"US1NJBT0086","2022-04","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","11",",N","8",",N","1",",N","0",",N","0",",N","20220430","+,,N","20220430","+,,N","20220419",",,N","0",",,N,30,+","0",",,N,30,+","33.0",",,N,19,","99.6",",,,N","0",",,,N"
"US1NJBT0086","2022-05","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","16","4,N","7","4,N","2","4,N","0","4,N","0","4,N","20220531","+,4,N","20220531","+,4,N","20220507",",4,N","0","4,,N,31,+","0","4,,N,31,+","27.4","4,,N,07,","93.8","4,,,N","0","4,,,N"
"US1NJBT0086","2022-07","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","12",",N","6",",N","0",",N","0",",N","0",",N","20220731","+,,N","20220731","+,,N","20220729",",,N","0",",,N,31,+","0",",,N,31,+","17.8",",,N,29,","66.3",",,,N","0",",,,N"
"US1NJBT0086","2022-08","39.944103","-74.862998","15.8","MOUNT LAUREL TWP 2.2 E, NJ US","10",",N","5",",N","1",",N","0",",N","0",",N","20220831","+,,N","20220831","+,,N","20220811",",,N","0",",,N,31,+","0",",,N,31,+","30.7",",,N,11,","76.0",",,,N","0",",,,N"
