"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMHR0008","2018-09","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","8","2,N","3","2,N","0","2,N","","","","","","","","","20180901",",2,N","","","","","10.9","2,,N,01,","36.2",",a,,N","",""
"US1NMHR0008","2018-10","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","11","1,N","8","1,N","0","1,N","","","","","","","","","20181008",",1,N","","","","","17.8","1,,N,08,","68.8","1,,,N","",""
"US1NMHR0008","2019-01","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","1","5,N","0","5,N","0","5,N","","","","","","","","","20190119",",5,N","","","","","0.5","5,,N,19,","0.5","5,,,N","",""
"US1NMHR0008","2019-02","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","3","2,N","2","2,N","0","2,N","","","1","3,N","","","20190218",",3,N","20190223","+,2,N","","","51","3,,N,18,","5.8","2,,N,23,+","11.9","2,,,N","64","3,,,N"
"US1NMHR0008","2019-06","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","9","3,N","3","3,N","1","3,N","","","0","3,N","","","20190630","+,3,N","20190606",",3,N","","","0","3,,N,30,+","29.2","3,,N,06,","47.1","1,a,,N","0","3,,,N"
"US1NMHR0008","2019-07","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","","","","","","","","","","","","","","","","","","","","","","","29.7",",a,,N","",""
"US1NMHR0008","2019-08","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","7","3,N","2","3,N","0","3,N","","","0","3,N","","","20190831","+,3,N","20190810",",3,N","","","0","3,,N,31,+","23.9","3,,N,10,","33.1",",a,,N","0","3,,,N"
"US1NMHR0008","2019-09","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","6","2,N","3","2,N","0","2,N","","","0","2,N","","","20190930","+,2,N","20190901",",2,N","","","0","2,,N,30,+","8.6","2,,N,01,","21.8",",a,,N","0","2,,,N"
"US1NMHR0008","2020-01","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","4",",N","2",",N","0",",N","0",",N","0",",N","20200117",",,N","20200117",",,N","20200117",",,N","13",",,N,17,","15",",,N,17,","4.3",",,N,17,","8.9",",,,N","15",",,,N"
"US1NMHR0008","2020-02","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","","","","","","","","","","","","","","","","","","","","","","","9.4",",a,,N","",""
"US1NMHR0008","2020-04","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","1",",N","0",",N","0",",N","0","1,N","0",",N","20200430","+,1,N","20200413",",,N","20200414",",,N","0","1,,N,30,+","5",",,N,13,","2.0",",,N,14,","2.0",",,,N","8",",,,N"
"US1NMHR0008","2020-05","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","5",",N","3",",N","0",",N","0",",N","0",",N","20200531","+,,N","20200531","+,,N","20200511",",,N","0",",,N,31,+","0",",,N,31,+","12.7",",,N,11,","27.0",",,,N","0",",,,N"
"US1NMHR0008","2020-06","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","9",",N","6",",N","0",",N","0",",N","0",",N","20200630","+,,N","20200630","+,,N","20200623",",,N","0",",,N,30,+","0",",,N,30,+","20.8",",,N,23,","56.2",",,,N","0",",,,N"
"US1NMHR0008","2020-07","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","15","1,N","10","1,N","0","1,N","0","1,N","0","1,N","20200731","+,1,N","20200731","+,1,N","20200704",",1,N","0","1,,N,31,+","0","1,,N,31,+","18.5","1,,N,04,","96.2","1,,,N","0","1,,,N"
"US1NMHR0008","2020-08","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","7","4,N","3","4,N","0","4,N","","","","","","","","","20200830",",4,N","","","","","13.0","4,,N,30,","26.5",",a,,N","",""
"US1NMHR0008","2020-09","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","5","1,N","3","1,N","0","1,N","","","0","5,N","","","20200930","+,5,N","20200910",",1,N","","","0","5,,N,30,+","13.5","1,,N,10,","24.8","1,,,N","0","5,,,N"
"US1NMHR0008","2020-10","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","5","2,N","3","2,N","0","2,N","","","2","4,N","","","20201027",",4,N","20201028",",2,N","","","140","4,,N,27,","11.9","2,,N,28,","28.8",",a,,N","193","4,,,N"
"US1NMHR0008","2020-11","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","3","1,N","0","1,N","0","1,N","","","0","2,N","","","20201130","+,2,N","20201129",",1,N","","","0","2,,N,30,+","1.5","1,,N,29,","3.1","1,,,N","0","2,,,N"
"US1NMHR0008","2020-12","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","4","1,N","0","1,N","0","1,N","","","0","3,N","","","20201231","+,3,N","20201212",",1,N","","","0","3,,N,31,+","1.0","1,,N,12,","2.6","1,,,N","0","3,,,N"
"US1NMHR0008","2021-01","36.05522","-103.82542","1630.1","ROY 22.1 ENE, NM US","3","2,N","1","2,N","0","2,N","","","2","2,N","","","20210110",",2,N","20210110",",2,N","","","71","2,,N,10,","4.8","2,,N,10,","7.1","2,,,N","135","2,,,N"
