"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NVCK0034","2017-07","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","5",",N","3",",N","0",",N","","","","","20170719",",,N","","","9.4",",,N,19,","16.5",",,,N","",""
"US1NVCK0034","2017-08","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","4",",N","2",",N","1",",N","","","","","20170824",",,N","","","25.7",",,N,24,","32.3",",,,N","",""
"US1NVCK0034","2017-09","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","3",",N","2",",N","0",",N","","","","","20170908",",,N","","","5.8",",,N,08,","12.2",",,,N","",""
"US1NVCK0034","2017-10","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0",",N","20171031","+,,N","20171020",",,N","0",",,N,31,+","0.0",",T,N,20,","0.0",",T,,N","0",",,,N"
"US1NVCK0034","2017-11","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0",",N","20171130","+,,N","20171130","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1NVCK0034","2017-12","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0",",N","20171231","+,,N","20171231","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1NVCK0034","2018-01","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","2",",N","2",",N","1",",N","0","3,N","20180131","+,3,N","20180109",",,N","0","3,,N,31,+","27.7",",,N,09,","47.8",",,,N","0","3,,,N"
"US1NVCK0034","2018-02","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","2",",N","0",",N","0",",N","0","5,N","20180228","+,5,N","20180228","+,,N","0","5,,N,28,+","0.3",",,N,28,+","0.6",",,,N","0","5,,,N"
"US1NVCK0034","2018-03","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","4",",N","1",",N","0",",N","0","5,N","20180331","+,5,N","20180311",",,N","0","5,,N,31,+","13.0",",,N,11,","14.5",",,,N","0","5,,,N"
"US1NVCK0034","2018-04","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0","1,N","20180430","+,1,N","20180420",",,N","0","1,,N,30,+","0.0",",T,N,20,","0.0",",T,,N","0","1,,,N"
"US1NVCK0034","2018-05","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","1","2,N","1","2,N","0","2,N","0","5,N","20180531","+,5,N","20180502",",2,N","0","5,,N,31,+","7.9","2,,N,02,","7.9","2,,,N","0","5,,,N"
"US1NVCK0034","2018-06","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0",",N","20180630","+,,N","20180630","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1NVCK0034","2018-07","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","6",",N","3",",N","0",",N","","","","","20180710",",,N","","","13.0",",,N,10,","35.1",",,,N","",""
"US1NVCK0034","2018-08","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","2","2,N","1","2,N","0","2,N","","","","","20180812",",2,N","","","9.7","2,,N,12,","12.0","2,,,N","",""
"US1NVCK0034","2018-09","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0","3,N","0","3,N","0","3,N","0","4,N","20180930","+,4,N","20180904",",3,N","0","4,,N,30,+","0.0","3,T,N,04,","0.0","3,T,,N","0","4,,,N"
"US1NVCK0034","2018-10","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","5","1,N","4","1,N","0","1,N","","","","","20181001",",1,N","","","5.3","1,,N,01,","16.2","1,,,N","",""
"US1NVCK0034","2018-11","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","1","1,N","1","1,N","0","1,N","0","3,N","20181130","+,3,N","20181130",",1,N","0","3,,N,30,+","2.8","1,,N,30,","2.8","1,,,N","0","3,,,N"
"US1NVCK0034","2018-12","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","3",",N","1",",N","0",",N","","","","","20181207",",,N","","","3.6",",,N,07,","4.4",",,,N","",""
"US1NVCK0034","2019-01","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","5",",N","4",",N","0",",N","0","5,N","20190131","+,5,N","20190106",",,N","0","5,,N,31,+","11.2",",,N,06,","30.5",",,,N","0","5,,,N"
"US1NVCK0034","2019-02","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","10","2,N","5","2,N","0","2,N","","","","","20190215",",2,N","","","20.6","2,,N,15,","57.8","2,,,N","",""
"US1NVCK0034","2019-03","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","5","1,N","2","1,N","0","1,N","","","","","20190312","+,1,N","","","2.8","1,,N,12,+","9.4","1,,,N","",""
"US1NVCK0034","2019-04","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","3","2,N","2","2,N","0","2,N","","","","","20190430",",2,N","","","4.3","2,,N,30,","8.2","2,,,N","",""
"US1NVCK0034","2019-05","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","7",",N","1",",N","0",",N","","","","","20190510",",,N","","","17.8",",,N,10,","23.0",",,,N","",""
"US1NVCK0034","2019-06","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","1",",N","0",",N","0",",N","0","3,N","20190630","+,3,N","20190615",",,N","0","3,,N,30,+","0.3",",,N,15,","0.3",",,,N","0","3,,,N"
"US1NVCK0034","2019-07","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","2","1,N","1","1,N","0","1,N","0","5,N","20190731","+,5,N","20190724",",1,N","0","5,,N,31,+","3.6","1,,N,24,","4.1","1,,,N","0","5,,,N"
"US1NVCK0034","2019-08","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","3",",N","0",",N","0",",N","0","5,N","20190831","+,5,N","20190801",",,N","0","5,,N,31,+","1.0",",,N,01,","2.1",",,,N","0","5,,,N"
"US1NVCK0034","2019-09","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","3",",N","1",",N","0",",N","","","","","20190924",",,N","","","2.8",",,N,24,","4.3",",,,N","",""
"US1NVCK0034","2019-10","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0",",N","20191031","+,,N","20191031","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1NVCK0034","2019-11","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","4","3,N","4","3,N","1","3,N","","","","","20191120",",3,N","","","43.2","3,,N,20,","61.7","3,,,N","",""
"US1NVCK0034","2019-12","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","6","1,N","2","1,N","0","1,N","","","","","20191205",",1,N","","","11.2","1,,N,05,","24.2","1,,,N","",""
"US1NVCK0034","2020-01","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0",",N","20200131","+,,N","20200131","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1NVCK0034","2020-02","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","3",",N","1",",N","0",",N","0","3,N","20200229","+,3,N","20200223",",,N","0","3,,N,29,+","11.4",",,N,23,","12.4",",,,N","0","3,,,N"
"US1NVCK0034","2020-03","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","10",",N","4",",N","1",",N","","","","","20200313",",,N","","","27.9",",,N,13,","52.5",",,,N","",""
"US1NVCK0034","2020-04","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","5","1,N","0","1,N","0","1,N","","","","","20200421",",1,N","","","1.0","1,,N,21,","2.8","1,,,N","",""
"US1NVCK0034","2020-05","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0",",N","20200531","+,,N","20200531","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1NVCK0034","2020-06","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0",",N","0",",N","0",",N","0",",N","20200630","+,,N","20200630","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1NVCK0034","2020-07","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","1","2,N","0","2,N","0","2,N","0","3,N","20200731","+,3,N","20200720",",2,N","0","3,,N,31,+","0.8","2,,N,20,","0.8","2,,,N","0","3,,,N"
"US1NVCK0034","2020-08","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","1","2,N","0","2,N","0","2,N","0","2,N","20200831","+,2,N","20200824",",2,N","0","2,,N,31,+","0.5","2,,N,24,","0.5","2,,,N","0","2,,,N"
"US1NVCK0034","2020-10","36.006546","-114.973375","684.3","HENDERSON 2.5 SE, NV US","0","1,N","0","1,N","0","1,N","0","1,N","20201031","+,1,N","20201031","+,1,N","0","1,,N,31,+","0.0","1,,N,31,+","0.0","1,,,N","0","1,,,N"
