"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NYCQ0042","2020-11","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","17",",N","8",",N","0",",N","","","2",",N","","","20201118",",,N","20201102",",,N","","","38",",,N,18,","19.8",",,N,02,","82.1",",,,N","76",",,,N"
"US1NYCQ0042","2020-12","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","22","2,N","8","2,N","0","2,N","","","7",",N","","","20201226",",,N","20201201",",2,N","","","267",",,N,26,","21.3","2,,N,01,","90.7","2,,,N","746",",,,N"
"US1NYCQ0042","2021-01","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","","","","","","","","","7",",N","","","20210120",",,N","","","","","178",",,N,20,","","","","","568",",,,N"
"US1NYCQ0042","2021-02","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","","","","","","","","","13",",N","","","20210217",",,N","","","","","81",",,N,17,","","","","","729",",,,N"
"US1NYCQ0042","2021-03","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","17",",N","6",",N","0",",N","10",",N","0",",N","20210301",",,N","20210305",",,N","20210312",",,N","127",",,N,01,","13",",,N,05,","10.4",",,N,12,","46.1",",,,N","42",",,,N"
"US1NYCQ0042","2021-04","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","21",",N","7",",N","0",",N","2",",N","2",",N","20210422","+,,N","20210422",",,N","20210430",",,N","25",",,N,22,+","51",",,N,22,","25.1",",,N,30,","65.1",",,,N","89",",,,N"
"US1NYCQ0042","2021-05","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","12","2,N","6","2,N","0","2,N","0","2,N","0","2,N","20210531","+,2,N","20210531","+,2,N","20210529",",2,N","0","2,,N,31,+","0","2,,N,31,+","25.1","2,,N,29,","59.3","2,,,N","0","2,,,N"
"US1NYCQ0042","2021-06","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","12",",N","10",",N","0",",N","0",",N","0",",N","20210630","+,,N","20210630","+,,N","20210621",",,N","0",",,N,30,+","0",",,N,30,+","20.1",",,N,21,","80.9",",,,N","0",",,,N"
"US1NYCQ0042","2021-07","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","19",",N","17",",N","4",",N","0",",N","0",",N","20210731","+,,N","20210731","+,,N","20210703",",,N","0",",,N,31,+","0",",,N,31,+","43.9",",,N,03,","247.7",",,,N","0",",,,N"
"US1NYCQ0042","2021-08","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","16",",N","10",",N","2",",N","0",",N","0",",N","20210831","+,,N","20210831","+,,N","20210814",",,N","0",",,N,31,+","0",",,N,31,+","39.6",",,N,14,","140.4",",,,N","0",",,,N"
"US1NYCQ0042","2021-09","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","20",",N","11",",N","0",",N","0",",N","0",",N","20210930","+,,N","20210930","+,,N","20210923",",,N","0",",,N,30,+","0",",,N,30,+","15.5",",,N,23,","84.8",",,,N","0",",,,N"
"US1NYCQ0042","2021-10","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","28",",N","13",",N","1",",N","0",",N","0",",N","20211031","+,,N","20211031","+,,N","20211030",",,N","0",",,N,31,+","0",",,N,31,+","34.8",",,N,30,","157.6",",,,N","0",",,,N"
"US1NYCQ0042","2021-11","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","23","4,N","10","4,N","0","4,N","6",",N","8",",N","20211129",",,N","20211129",",,N","20211103",",4,N","152",",,N,29,","102",",,N,29,","16.3","4,,N,03,","102.5","4,,,N","419",",,,N"
"US1NYCQ0042","2021-12","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","23","1,N","11","1,N","0","1,N","6",",N","3",",N","20211201",",,N","20211207",",,N","20211212",",1,N","102",",,N,01,","76",",,N,07,","19.3","1,,N,12,","98.1","1,,,N","211",",,,N"
"US1NYCQ0042","2022-01","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","","","","","","","28",",N","13",",N","20220126",",,N","20220117","+,,N","","","533",",,N,26,","216",",,N,17,+","","","","","1477",",,,N"
"US1NYCQ0042","2022-02","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","","","","","","","27","1,N","11","1,N","20220205","+,1,N","20220204",",1,N","","","584","1,,N,05,+","241","1,,N,04,","","","","","896","1,,,N"
"US1NYCQ0042","2022-03","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","","","","","","","12",",N","6",",N","20220312",",,N","20220312",",,N","","","191",",,N,12,","191",",,N,12,","","","","","575",",,,N"
"US1NYCQ0042","2022-04","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","21","3,N","14","3,N","0","3,N","1","2,N","2","2,N","20220417",",2,N","20220417",",2,N","20220426",",3,N","25","2,,N,17,","41","2,,N,17,","24.4","3,,N,26,","114.1","3,,,N","112","2,,,N"
"US1NYCQ0042","2022-05","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","18",",N","8",",N","0",",N","0",",N","0",",N","20220531","+,,N","20220531","+,,N","20220502",",,N","0",",,N,31,+","0",",,N,31,+","18.0",",,N,02,","99.3",",,,N","0",",,,N"
"US1NYCQ0042","2022-06","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","15",",N","6",",N","0",",N","0",",N","0",",N","20220630","+,,N","20220630","+,,N","20220617",",,N","0",",,N,30,+","0",",,N,30,+","22.9",",,N,17,","66.1",",,,N","0",",,,N"
"US1NYCQ0042","2022-07","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","15",",N","6",",N","1",",N","0",",N","0",",N","20220731","+,,N","20220731","+,,N","20220702",",,N","0",",,N,31,+","0",",,N,31,+","31.5",",,N,02,","93.7",",,,N","0",",,,N"
"US1NYCQ0042","2022-08","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","25",",N","9",",N","2",",N","0",",N","0",",N","20220831","+,,N","20220831","+,,N","20220806",",,N","0",",,N,31,+","0",",,N,31,+","49.8",",,N,06,","169.0",",,,N","0",",,,N"
"US1NYCQ0042","2022-09","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","26",",N","12",",N","3",",N","0",",N","0",",N","20220930","+,,N","20220930","+,,N","20220927",",,N","0",",,N,30,+","0",",,N,30,+","43.2",",,N,27,","197.1",",,,N","0",",,,N"
"US1NYCQ0042","2022-10","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","21",",N","6",",N","0",",N","0",",N","0",",N","20221031","+,,N","20221031","+,,N","20221020",",,N","0",",,N,31,+","0",",,N,31,+","19.8",",,N,20,","90.9",",,,N","0",",,,N"
"US1NYCQ0042","2022-11","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","","","","","","","10","1,N","6",",N","20221120",",1,N","20221120",",,N","","","356","1,,N,20,","203",",,N,20,","","","","","590",",,,N"
"US1NYCQ0042","2022-12","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","22","5,N","9","5,N","0","5,N","12",",N","5",",N","20221226",",,N","20221201",",,N","20221201",",5,N","140",",,N,26,","89",",,N,01,","21.6","5,,N,01,","75.5","5,,,N","355",",,,N"
"US1NYCQ0042","2023-01","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","27",",N","14",",N","0",",N","17",",N","7",",N","20230127",",,N","20230127",",,N","20230113",",,N","229",",,N,27,","178",",,N,27,","22.4",",,N,13,","145.8",",,,N","594",",,,N"
"US1NYCQ0042","2023-02","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","19",",N","6",",N","0",",N","9",",N","6",",N","20230203","+,,N","20230218","+,,N","20230223",",,N","165",",,N,03,+","51",",,N,18,+","22.9",",,N,23,","75.5",",,,N","210",",,,N"
"US1NYCQ0042","2023-03","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","21",",N","11",",N","1",",N","13",",N","7",",N","20230315",",,N","20230311",",,N","20230304",",,N","229",",,N,15,","231",",,N,11,","27.7",",,N,04,","124.4",",,,N","753",",,,N"
"US1NYCQ0042","2023-04","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","17","1,N","9","1,N","0","1,N","0","1,N","0","1,N","20230430","+,1,N","20230418",",1,N","20230401",",1,N","0","1,,N,30,+","5","1,,N,18,","20.3","1,,N,01,","91.5","1,,,N","5","1,,,N"
"US1NYCQ0042","2023-05","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","8",",N","5",",N","0",",N","0",",N","0",",N","20230531","+,,N","20230531","+,,N","20230521",",,N","0",",,N,31,+","0",",,N,31,+","11.4",",,N,21,","47.2",",,,N","0",",,,N"
"US1NYCQ0042","2023-06","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","13",",N","6",",N","1",",N","0",",N","0",",N","20230630","+,,N","20230630","+,,N","20230627",",,N","0",",,N,30,+","0",",,N,30,+","53.8",",,N,27,","95.2",",,,N","0",",,,N"
"US1NYCQ0042","2023-07","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","19",",N","11",",N","1",",N","0",",N","0",",N","20230731","+,,N","20230731","+,,N","20230716",",,N","0",",,N,31,+","0",",,N,31,+","32.8",",,N,16,","121.4",",,,N","0",",,,N"
"US1NYCQ0042","2023-08","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","16",",N","7",",N","1",",N","0",",N","0",",N","20230831","+,,N","20230831","+,,N","20230825",",,N","0",",,N,31,+","0",",,N,31,+","32.0",",,N,25,","81.3",",,,N","0",",,,N"
"US1NYCQ0042","2023-09","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","10",",N","3",",N","0",",N","0",",N","0",",N","20230930","+,,N","20230930","+,,N","20230919",",,N","0",",,N,30,+","0",",,N,30,+","8.1",",,N,19,","20.8",",,,N","0",",,,N"
"US1NYCQ0042","2023-10","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","22",",N","12",",N","0",",N","0",",N","0",",N","20231031","+,,N","20231031","+,,N","20231009",",,N","0",",,N,31,+","0",",,N,31,+","25.1",",,N,09,","130.4",",,,N","0",",,,N"
"US1NYCQ0042","2023-11","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","13","3,N","6","3,N","0","3,N","4",",N","3",",N","20231129",",,N","20231128",",,N","20231118",",3,N","356",",,N,29,","343",",,N,28,","19.6","3,,N,18,","55.2","3,,,N","486",",,,N"
"US1NYCQ0042","2023-12","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","21",",N","11",",N","0",",N","10",",N","2",",N","20231201",",,N","20231219",",,N","20231204",",,N","178",",,N,01,","165",",,N,19,","20.6",",,N,04,","112.2",",,,N","226",",,,N"
"US1NYCQ0042","2024-01","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","28",",N","14",",N","0",",N","21",",N","11",",N","20240121","+,,N","20240120",",,N","20240110",",,N","229",",,N,21,+","109",",,N,20,","20.1",",,N,10,","123.2",",,,N","656",",,,N"
"US1NYCQ0042","2024-02","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","13",",N","6",",N","1",",N","5",",N","2",",N","20240217",",,N","20240217",",,N","20240228",",,N","76",",,N,17,","76",",,N,17,","30.2",",,N,28,","69.3",",,,N","124",",,,N"
"US1NYCQ0042","2024-03","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","21",",N","8",",N","0",",N","8","1,N","4",",N","20240311",",1,N","20240311",",,N","20240310",",,N","114","1,,N,11,","140",",,N,11,","10.9",",,N,10,","74.9",",,,N","302",",,,N"
"US1NYCQ0042","2024-04","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","22","1,N","14","1,N","3","1,N","1","1,N","1","1,N","20240405",",1,N","20240405",",1,N","20240404",",1,N","25","1,,N,05,","25","1,,N,05,","28.7","1,,N,04,","169.1","1,,,N","25","1,,,N"
"US1NYCQ0042","2024-05","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","22",",N","9",",N","0",",N","0",",N","0",",N","20240531","+,,N","20240531","+,,N","20240528",",,N","0",",,N,31,+","0",",,N,31,+","15.0",",,N,28,","84.7",",,,N","0",",,,N"
"US1NYCQ0042","2024-06","42.225406","-79.438151","409.7","DEWITTVILLE 1.0 SSE, NY US","17",",N","8",",N","2",",N","0",",N","0",",N","20240630","+,,N","20240630","+,,N","20240606",",,N","0",",,N,30,+","0",",,N,30,+","34.0",",,N,06,","128.3",",,,N","0",",,,N"
