"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OHCY0054","2020-07","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","8",",N","6",",N","1",",N","0",",N","0",",N","20200731","+,,N","20200731","+,,N","20200728",",,N","0",",,N,31,+","0",",,N,31,+","52.3",",,N,28,","98.3",",,,N","0",",,,N"
"US1OHCY0054","2020-08","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","9",",N","7",",N","2",",N","0",",N","0",",N","20200831","+,,N","20200831","+,,N","20200829",",,N","0",",,N,31,+","0",",,N,31,+","98.0",",,N,29,","166.4",",,,N","0",",,,N"
"US1OHCY0054","2020-09","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","5","2,N","3","2,N","1","2,N","","","0",",N","","","20200930","+,,N","20200929",",2,N","","","0",",,N,30,+","41.4","2,,N,29,","50.8","2,,,N","0",",,,N"
"US1OHCY0054","2020-10","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","21",",N","13",",N","2",",N","0",",N","0",",N","20201031","+,,N","20201031","+,,N","20201021",",,N","0",",,N,31,+","0",",,N,31,+","41.1",",,N,21,","186.9",",,,N","0",",,,N"
"US1OHCY0054","2020-11","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","13",",N","7",",N","0",",N","0",",N","0",",N","20201117",",,N","20201117","+,,N","20201126",",,N","0",",T,N,17,","5",",,N,17,+","16.8",",,N,26,","59.5",",,,N","10",",,,N"
"US1OHCY0054","2020-12","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","18",",N","10",",N","1",",N","20",",N","6",",N","20201202",",,N","20201202",",,N","20201201",",,N","381",",,N,02,","221",",,N,02,","44.2",",,N,01,","130.0",",,,N","836",",,,N"
"US1OHCY0054","2021-01","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","17",",N","5",",N","1",",N","5","1,N","2","1,N","20210120",",1,N","20210120",",1,N","20210102",",,N","76","1,,N,20,","58","1,,N,20,","25.9",",,N,02,","46.5",",,,N","143","1,,,N"
"US1OHCY0054","2021-02","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","17",",N","6",",N","0",",N","26",",N","5",",N","20210219",",,N","20210216",",,N","20210216",",,N","279",",,N,19,","107",",,N,16,","17.3",",,N,16,","47.7",",,,N","424",",,,N"
"US1OHCY0054","2021-03","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","8",",N","4",",N","0",",N","0",",N","0",",N","20210331","+,,N","20210305","+,,N","20210319",",,N","0",",,N,31,+","0",",T,N,05,+","18.3",",,N,19,","42.0",",,,N","0",",T,,N"
"US1OHCY0054","2021-04","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","14",",N","9",",N","1",",N","4","1,N","3","1,N","20210421",",1,N","20210421",",1,N","20210430",",,N","152","1,,N,21,","140","1,,N,21,","41.9",",,N,30,","106.9",",,,N","282","1,,,N"
"US1OHCY0054","2021-05","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","12",",N","8",",N","1",",N","0",",N","0",",N","20210531","+,,N","20210510",",,N","20210510",",,N","0",",,N,31,+","8",",,N,10,","32.5",",,N,10,","94.4",",,,N","8",",,,N"
"US1OHCY0054","2021-06","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","14",",N","8",",N","0",",N","0",",N","0",",N","20210630","+,,N","20210630","+,,N","20210621",",,N","0",",,N,30,+","0",",,N,30,+","11.7",",,N,21,","69.4",",,,N","0",",,,N"
"US1OHCY0054","2021-07","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","14",",N","10",",N","2",",N","0",",N","0",",N","20210731","+,,N","20210731","+,,N","20210717",",,N","0",",,N,31,+","0",",,N,31,+","47.5",",,N,17,","164.6",",,,N","0",",,,N"
"US1OHCY0054","2021-08","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","16",",N","9",",N","1",",N","0",",N","0",",N","20210831","+,,N","20210831","+,,N","20210809",",,N","0",",,N,31,+","0",",,N,31,+","27.7",",,N,09,","158.3",",,,N","0",",,,N"
"US1OHCY0054","2021-09","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","8",",N","4",",N","1",",N","0",",N","0",",N","20210930","+,,N","20210930","+,,N","20210923",",,N","0",",,N,30,+","0",",,N,30,+","41.9",",,N,23,","72.2",",,,N","0",",,,N"
"US1OHCY0054","2021-10","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","17",",N","10",",N","1",",N","0",",N","0",",N","20211031","+,,N","20211031","+,,N","20211025",",,N","0",",,N,31,+","0",",,N,31,+","33.0",",,N,25,","124.6",",,,N","0",",,,N"
"US1OHCY0054","2021-11","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","13",",N","6",",N","0",",N","3",",N","1",",N","20211130","+,,N","20211128",",,N","20211115",",,N","51",",,N,30,+","58",",,N,28,","9.9",",,N,15,","49.3",",,,N","114",",,,N"
"US1OHCY0054","2021-12","41.388117","-81.670986","280.7","SEVEN HILLS 0.6 NNE, OH US","15",",N","8",",N","0",",N","0",",N","0",",N","20211231","+,,N","20211229",",,N","20211206",",,N","0",",,N,31,+","10",",,N,29,","20.8",",,N,06,","82.3",",,,N","10",",,,N"
